Sig,Std Dev
9.09782048741698e-06,4.989344804189297e-09
9.437533194271952e-06,5.394768943117527e-09
9.974914989780987e-06,5.685870044146204e-09
1.019025986347399e-05,6.181093731094963e-09
1.0311674421147914e-05,6.056255757173674e-09
1.2712960069031976e-05,6.094799189621565e-09
1.1867320354991595e-05,6.038406378190586e-09
1.2295859563782478e-05,6.352404252263067e-09
1.2071854835130836e-05,6.4770079829371184e-09
1.285532296738943e-05,7.204893187536034e-09
1.477995195657848e-05,6.6015458165863205e-09
1.3809219588439084e-05,6.564053942737711e-09
1.3345558759445002e-05,6.744797940953369e-09
1.0979137447910098e-05,6.066794208035898e-09
1.1351117428591186e-05,6.5040249171043286e-09
1.4146820073273069e-05,7.004062682027164e-09
1.1328684857235012e-05,6.417410567837879e-09
1.0765401863959493e-05,5.63618468941271e-09
8.835087110353098e-06,5.73091296998968e-09
8.67852399645329e-06,5.1275683870075984e-09
9.615890878183471e-06,5.675945226796927e-09
1.0760988869710336e-05,6.139611576419558e-09
1.015676360702421e-05,6.001938955026808e-09
1.249805352894535e-05,7.061353681877934e-09
1.122574142601445e-05,6.323894585769675e-09
9.923054970246298e-06,5.9222531573620155e-09
1.0232466044163808e-05,5.48425281813459e-09
8.718674141047598e-06,5.335582258087312e-09
8.683106444481533e-06,5.167541134235582e-09
8.306536977509971e-06,4.854195210007929e-09
9.040196555202126e-06,5.822749496617005e-09
8.179033165902998e-06,5.398917631842957e-09
8.673174580223706e-06,5.4010882871215794e-09
8.728841345973883e-06,5.546595778410213e-09
9.247461662388922e-06,6.023238012144667e-09
8.809598589577492e-06,5.954200440200016e-09
9.277567698012981e-06,5.486510307887284e-09
9.153494817607217e-06,5.650000798585421e-09
8.861633427118883e-06,5.6146912297527885e-09
8.243473956680545e-06,5.248882261665767e-09
8.127477182085423e-06,5.150012069776726e-09
8.195925454051899e-06,5.411461563937309e-09
8.022626935791485e-06,4.770051502094833e-09
7.2287703382008365e-06,4.661154819128241e-09
7.086697823371718e-06,4.771699750359386e-09
7.255794686631437e-06,4.847747451839797e-09
7.205367462005655e-06,4.726669457252213e-09
7.344906205595441e-06,5.1203788228485405e-09
7.392176917985562e-06,4.938418075370612e-09
7.830388293153435e-06,5.026321207017057e-09
7.324866427406005e-06,4.908923505993491e-09
7.23004171721146e-06,4.191206239516539e-09
7.229375915820774e-06,4.4245309147080655e-09
7.878616389161574e-06,5.036938813016299e-09
7.564679694557685e-06,4.561440034815156e-09
7.78763865887935e-06,4.723262235312771e-09
7.531418109036328e-06,4.9573219666481946e-09
7.919921675018604e-06,4.901920144446483e-09
7.702074072530236e-06,4.809839070322495e-09
7.167530447071325e-06,4.577524224003438e-09
7.633872176008446e-06,5.456536310076239e-09
7.488503878019268e-06,4.907900310232462e-09
7.349003270177143e-06,4.9271721010048535e-09
7.172848619560363e-06,4.813166165740891e-09
7.65598873129471e-06,5.237061650721457e-09
7.2432031003630995e-06,4.462186213924328e-09
6.865237362787691e-06,4.531514239029249e-09
7.2968373934925825e-06,5.059230174811201e-09
6.80341599781552e-06,4.926623584073306e-09
7.723067328958237e-06,4.911459353620624e-09
7.5349400516077395e-06,4.86854601645544e-09
6.839948499270021e-06,4.278933992502194e-09
7.150427582567238e-06,4.327586729774346e-09
7.3859487249856465e-06,4.779041548789084e-09
7.0970156009558435e-06,4.7584071020833224e-09
6.990070997374841e-06,4.314756972011992e-09
7.705016019253071e-06,4.8351233456014485e-09
7.673678835485514e-06,4.879244914902115e-09
7.465376168837742e-06,4.678096699205429e-09
6.908848702383319e-06,4.25378900656954e-09
7.782925568017558e-06,4.847191122600641e-09
7.784603634849618e-06,4.891980888788726e-09
7.6318856982613e-06,4.732523953487734e-09
7.06635046659467e-06,4.431350605107701e-09
7.441352111209635e-06,4.674495483553583e-09
7.320270961504298e-06,4.802185061088997e-09
7.672375350822623e-06,4.90074577120617e-09
7.767107775829003e-06,4.9492987238842945e-09
7.079170805314052e-06,4.220060317634798e-09
7.692787284268892e-06,4.844864109636699e-09
8.119068538109066e-06,4.785694966242116e-09
8.404828032967454e-06,5.694890276747618e-09
8.444962576270913e-06,5.093125099512515e-09
8.322088933107263e-06,5.331566608327089e-09
8.631418629251926e-06,5.351622700990703e-09
8.326775198737575e-06,5.075373552525182e-09
8.050009992662972e-06,4.8580906973188e-09
8.702953111071575e-06,5.589101878064849e-09
8.796957590237645e-06,5.035574998838972e-09
8.683098594705152e-06,5.051159151709203e-09
9.054430217277928e-06,5.65961078497414e-09
8.6053029317896e-06,5.295117337565577e-09
7.967947853556216e-06,5.469342817372322e-09
7.856802213713785e-06,4.7395296666543084e-09
8.170843212922923e-06,5.104999981733004e-09
8.745470683739004e-06,5.322656327874483e-09
8.201110757164646e-06,4.954082582573992e-09
8.09503611812807e-06,5.157815827441929e-09
8.518062660419065e-06,5.393590971000662e-09
9.180658144815312e-06,5.768659439238339e-09
8.451665232065323e-06,5.257864305245744e-09
8.353974041794632e-06,5.007198405185867e-09
