Sig,Std Dev
9.986197437364294e-05,4.2960391755067474e-08
0.0001404068229419297,2.0435846678440756e-08
7.93455696556486e-05,3.0052606140704347e-08
4.043172192685775e-05,2.3477394697567362e-08
1.9437155608076887e-05,7.830672693666775e-09
3.9874105287816814e-05,2.357814558227642e-08
2.3896509551175098e-05,1.046599206525295e-08
8.121719756385797e-05,4.9602798981983255e-08
6.258402773275939e-05,1.8600728451772727e-08
8.547461580475474e-05,3.2665410490560217e-08
0.00013421022684530077,1.9508815192706315e-08
9.327021943889435e-05,2.6359119749531196e-08
5.707077736825828e-05,3.9259394767079086e-08
0.0001034620347029836,5.8805754101178765e-08
0.00010197001503874254,5.822832866229441e-08
0.00012707425964068265,4.235375470014936e-08
8.616518319503331e-05,3.487128081866068e-08
6.595746839381488e-05,4.383551880219504e-08
0.00011830958518070562,1.9897596726785418e-08
0.0001357902010345289,2.2094684704951878e-08
0.00010153690267681956,3.061684438211597e-08
0.00013961057092128678,3.250717236054869e-08
8.788666036835198e-05,4.9503577581766136e-08
9.966110627396322e-05,5.4370118861351604e-08
5.501807035587306e-05,2.479367570650331e-08
1.9936767869228302e-05,1.1444464679202864e-08
3.364699757972117e-05,1.821968006188872e-08
1.4981143535491463e-05,9.01658983301431e-09
2.8531474835544418e-05,1.1747859705857696e-08
5.487126359722458e-05,1.6975771527037686e-08
8.334774812225288e-05,3.277639838796537e-08
0.00010737469222455211,6.231412301780644e-08
0.00011946769560328493,1.2526171960868684e-07
6.225987791566286e-05,5.189065797817985e-08
4.352720463334369e-05,4.968612050121166e-08
6.701362629256316e-05,4.8909149591296484e-08
9.391246117459472e-05,3.681648243472961e-08
9.797675107443386e-05,1.468533401448347e-07
0.00010348443031363278,3.1104807642225053e-08
0.00011634070008400364,4.25560625063753e-08
0.00013236839968503152,1.2145870175845535e-08
0.00011731430311770382,2.6026322172746742e-08
0.0001836402152706156,1.8948711061427328e-07
0.0002158061943047679,2.1828913454588292e-07
0.0001808668706092019,1.7729370694425885e-07
0.00010870268529030789,1.0048401412540083e-07
6.959918907454516e-05,5.017299638520843e-08
0.00010887129526311598,1.5745364769391108e-08
9.623442753239798e-05,1.6798066396320552e-08
0.00011879823058725044,1.8477531270041152e-08
5.756426800861846e-05,2.3744125749701107e-08
5.0542016609856047e-05,4.3778479340490695e-08
5.5728866390124044e-05,3.750313004315272e-08
4.811257556918713e-05,1.0652673401465117e-08
8.022091666893167e-05,3.7338987129186236e-08
9.833807964568986e-05,5.606568639248496e-08
8.273444722729389e-05,3.59350448784663e-08
0.00012181995190954408,1.9221004947625487e-08
7.880985296377644e-05,5.201930831625303e-08
7.430906684984974e-05,5.1274481045216575e-08
9.327549148470691e-05,4.787019003066329e-08
9.23100976847823e-05,4.149225097428641e-08
8.507190670742653e-05,4.548629523374653e-08
7.27124091945117e-05,3.949828075164713e-08
0.00012140469374926002,1.7111398766044608e-08
9.751337680073758e-05,1.769799560835659e-08
0.00010433183695784925,1.241353344710974e-08
6.176254744010469e-05,2.8901349022356625e-08
9.970243049381708e-05,2.3943723671932632e-08
0.00010091696152657549,8.991008079986943e-08
8.57355763220287e-05,6.505758074174225e-08
7.585900552977509e-05,3.114735316987543e-08
1.9050884962948414e-05,1.1944300523357307e-08
2.2879223876875764e-05,9.231672085887456e-09
1.3738266161803985e-05,6.594751044930049e-09
0.00019833284614318244,2.4430336979839264e-07
7.978590104023851e-05,2.8832653337195094e-08
7.977593315448702e-05,1.7032912296263213e-08
8.88703829773929e-05,6.092781452385114e-08
4.0454860622039504e-05,1.4509298277543109e-08
1.4390140597666176e-05,1.0632883186559547e-08
5.228822933364479e-05,5.599249921300768e-08
8.669386072072861e-05,1.4764196241739688e-08
9.077328723270306e-05,1.867885054379665e-08
7.783676521817091e-05,2.272379342875308e-08
0.00025375184975298367,2.7282494134376505e-07
6.408853838574822e-05,3.561415876805743e-08
0.00011229036093080847,1.4751371925614966e-07
7.777618825693247e-05,1.1549161061696966e-08
0.00011659739601512333,1.1825538351349446e-07
7.196427433216602e-05,1.6375375648372205e-08
0.00011544814574838577,1.3160064851557173e-07
4.7321727296997356e-05,1.9872705967525115e-08
1.4088317905077903e-05,7.761959964349056e-09
1.341019982791751e-05,7.198123633190853e-09
2.0962041762603226e-05,1.5649657599151264e-08
2.8692204239584435e-05,2.2557623107505913e-08
7.377043564981567e-05,1.3057341585782681e-08
3.454258620751003e-05,8.753873067320343e-09
3.813184437318977e-05,1.1139782240849942e-08
3.8594589270977686e-05,1.0596910682709386e-08
2.0782255206871934e-05,1.1635336254878078e-08
2.6473077348486406e-05,8.530051636889234e-09
2.049053513274145e-05,8.623690241511371e-09
2.2757836771617737e-05,9.757873760259305e-09
4.972711622536053e-05,2.0654253183516566e-08
7.982972268789458e-05,1.1285731653630139e-08
8.255471918810119e-05,1.5524073099826632e-08
7.198701540035021e-05,1.9420632367506083e-08
8.879576627500473e-05,1.0782602928470704e-08
8.18762679104662e-05,1.0124462162557422e-08
6.495326451339116e-05,1.0284881645689962e-08
6.257062141666386e-05,1.1892404974565778e-08
4.430359921119048e-05,1.9174441903732762e-08
2.0104453541638256e-05,1.1178750608964148e-08
1.9609024552875952e-05,1.1118265322106514e-08
6.606983274709157e-05,1.2583309124192219e-08
6.858039984468928e-05,1.1827099332884052e-08
1.6350674996664846e-05,9.611580170166883e-09
2.8603454677998018e-05,9.619069725028134e-09
2.2712297007900047e-05,7.3471736186953236e-09
2.2730908268135474e-05,1.5530569897151043e-08
5.16177950076786e-05,1.876707573624993e-08
1.9230931161333732e-05,1.0588219230681566e-08
3.414916438367649e-05,1.971596698233964e-08
7.801033117319955e-05,1.0244543618867366e-08
6.854626177625337e-05,9.87384612080529e-09
6.85538477659389e-05,1.5053585473585975e-08
7.026345639270842e-05,1.3022345818589836e-08
4.85437525728351e-05,9.16786093925858e-09
0.00014807323402066502,2.422542238196302e-07
6.760245440849114e-05,1.8710995012278933e-08
7.671298449320333e-05,1.241890425053414e-08
7.914333385936081e-05,1.1510426187619254e-08
7.277951437396542e-05,1.2519505188989645e-08
4.945997016521733e-05,1.2889009996670645e-08
5.852675566853554e-05,1.1852740780957098e-08
6.515019316745332e-05,2.700999026389363e-08
