Sig,Std Dev
8.72589391538332e-06,5.618023752665347e-09
8.621174780204911e-06,5.168994459331884e-09
8.982572509859566e-06,5.4275667867025265e-09
8.967963803848997e-06,5.433410950844234e-09
9.268889797796638e-06,5.394501591605221e-09
8.873738090840443e-06,5.625714626147987e-09
8.919806195061996e-06,5.602402862673291e-09
9.454737038854464e-06,5.365659192468366e-09
9.214837620440944e-06,5.3967340259163e-09
8.666047086420063e-06,5.64512740982971e-09
8.640421377687097e-06,5.018355408946881e-09
8.184040884706118e-06,5.044861752508802e-09
8.414762279593484e-06,5.194333227759774e-09
8.385712957461825e-06,5.173150934388079e-09
9.07287215552201e-06,5.85595876766669e-09
9.160408690543698e-06,5.52500078355499e-09
8.44709090554641e-06,5.154563777853098e-09
8.628219674614541e-06,5.3984298262047595e-09
8.780745959917803e-06,5.701990208083671e-09
8.70921287278996e-06,5.87499297538454e-09
9.519803434386835e-06,5.9426589526802425e-09
9.113600987379354e-06,6.342445108998325e-09
8.84459130022658e-06,5.431093888071668e-09
9.06092579063194e-06,5.573864344753064e-09
8.988391754803918e-06,5.328433084294334e-09
9.1346273965957e-06,5.593324437388339e-09
9.00992680103268e-06,5.288318474953289e-09
8.868772410543047e-06,5.284656367512351e-09
8.962266850820603e-06,5.732651418554113e-09
9.106555923256536e-06,5.670863728405349e-09
9.148631179096218e-06,5.3765529228082014e-09
9.043348395639557e-06,5.714987282356844e-09
8.966237840242301e-06,5.694968028127221e-09
9.41787805276743e-06,5.746005768036656e-09
9.128337254059838e-06,5.8287052353047385e-09
9.505946429968888e-06,5.801239643133238e-09
8.73898337998819e-06,5.670649993167587e-09
9.1613974194188e-06,5.599907429781748e-09
8.789421448504952e-06,5.6235508095727134e-09
8.771254225995432e-06,5.8693204103568926e-09
9.104845681514908e-06,5.598939439132331e-09
8.89936172985262e-06,4.973686036850196e-09
8.618881853187383e-06,5.163297912864608e-09
8.947349537125949e-06,5.8337281788324545e-09
9.044058044691309e-06,6.123336686218549e-09
8.907206882355056e-06,5.456221351619985e-09
9.037581351539659e-06,6.012718792163845e-09
8.856616517907367e-06,5.604873924557519e-09
8.696986226557678e-06,5.341752069493072e-09
8.601250423258742e-06,5.574942304854857e-09
8.741876201758338e-06,5.361003082789367e-09
8.861890605418822e-06,5.597171950002634e-09
9.091059689614621e-06,6.003094451995474e-09
9.3617845617511e-06,5.986285555236766e-09
8.840522523930644e-06,5.713166615061798e-09
8.848832091341285e-06,5.9958395238539124e-09
8.973488449021058e-06,5.4119579133559234e-09
8.855106049767774e-06,5.8352230799120576e-09
8.749798392622578e-06,5.741070028106522e-09
8.884766511595281e-06,5.6530506681708575e-09
9.224496133305825e-06,5.8630544906617555e-09
8.780277420130761e-06,5.365121915808248e-09
8.650351062606825e-06,5.194984913069867e-09
8.876869050351267e-06,5.576053167074461e-09
8.776645853767115e-06,5.5358521468208016e-09
8.48571955267563e-06,5.2072362310425034e-09
7.978249183478505e-06,4.895267397042575e-09
8.15973426585073e-06,5.03866533261124e-09
8.481524304303878e-06,5.407414525225941e-09
8.177399890451334e-06,5.016852409180494e-09
8.242227416989129e-06,5.073426019592527e-09
8.429798527570625e-06,5.435886325437134e-09
8.83252921984315e-06,5.242711820659117e-09
8.95024441606186e-06,5.558340755006753e-09
8.452746077340304e-06,5.198656608584361e-09
8.795120920905438e-06,5.695394686689739e-09
9.09069056216167e-06,5.497420032816664e-09
9.188829442627528e-06,5.7015226485366815e-09
8.5588244850038e-06,5.257453547398399e-09
8.59294463704134e-06,5.426069715733068e-09
8.756304616070284e-06,5.280611507342703e-09
8.903138243384917e-06,5.242579758087048e-09
8.687205979765801e-06,5.5689345561657984e-09
9.047186401506667e-06,5.5534439956029405e-09
8.897555094292558e-06,5.781403462752004e-09
8.83624087950346e-06,5.542032267658983e-09
8.587189536280135e-06,5.480038738656109e-09
8.576919791673469e-06,5.705349458950446e-09
8.523130122640415e-06,5.558308965619114e-09
8.886827280758128e-06,5.3654667806507726e-09
8.229269836928948e-06,4.899380570591781e-09
8.49883805029376e-06,5.353552019136258e-09
8.519852599510555e-06,5.322225907241017e-09
8.777373475530717e-06,5.416587545838152e-09
9.09115855355468e-06,5.7093548826423e-09
8.837132373392236e-06,5.357822550751262e-09
8.190099095189958e-06,5.266976169870362e-09
8.651466830843587e-06,5.032541044317765e-09
8.755893893514798e-06,5.387680444654562e-09
8.37869568185192e-06,5.198648318021601e-09
9.069530881656792e-06,5.457459469820714e-09
8.803523308972184e-06,5.73724217277129e-09
8.850050767614254e-06,5.986953820568196e-09
8.689718944165668e-06,5.555925239608271e-09
8.929724905339018e-06,6.023728158353164e-09
9.005082492786656e-06,5.721496433334327e-09
9.106726874794821e-06,5.615905975546729e-09
8.437835546265312e-06,5.4374919293397115e-09
9.012860169165356e-06,5.7237553259891226e-09
8.647523412208854e-06,5.48250706262017e-09
8.94227081807067e-06,5.4619335169217585e-09
8.98929202173571e-06,5.582371453576764e-09
8.23966379592888e-06,5.416185062118421e-09
