Sig,Std Dev
1.3243973861546942e-05,6.942891283625434e-09
1.3101566686156947e-05,7.048323178652343e-09
1.433646797050489e-05,7.086363442511003e-09
1.385850691879005e-05,7.517578567731346e-09
1.3079886970775293e-05,6.998202560493851e-09
1.416709399989794e-05,7.72142628992196e-09
1.4355050888841798e-05,7.57840830942699e-09
1.2838912998677443e-05,7.310838143870029e-09
1.2600779153704332e-05,6.703233164098444e-09
1.2513294601678234e-05,7.010340078894098e-09
1.4364019616346313e-05,7.687698526729915e-09
1.2734571737019147e-05,7.161231039341386e-09
1.2337332815051892e-05,7.2029449808406126e-09
1.299709129992213e-05,6.804373668520855e-09
1.195161135833441e-05,7.409533008857329e-09
1.2894317782294093e-05,7.40189181557342e-09
1.4539261890116097e-05,7.586191050862471e-09
1.332257173028104e-05,6.541731318157426e-09
2.0274239501235616e-05,7.869015500822339e-09
1.6704713996073333e-05,8.883441539158026e-09
1.3824654654831677e-05,7.0752461583637964e-09
1.5157067236278737e-05,7.575344447976036e-09
1.2391178480487934e-05,7.133425242759861e-09
1.3317625241324175e-05,7.471012368020941e-09
1.1042456237035614e-05,6.252059109066425e-09
1.4522651622957559e-05,7.087165416573836e-09
1.4757869999280792e-05,7.448466127822164e-09
1.0842100769430734e-05,6.367508947066595e-09
1.3716541932132098e-05,7.173184219858767e-09
1.3965503881277348e-05,7.1284532806310224e-09
1.5129453116767584e-05,7.337684021168414e-09
1.694979179064201e-05,8.126188972094118e-09
1.3560506170134873e-05,6.978426253806577e-09
1.3770364143857144e-05,7.426911020438454e-09
1.3299850357275435e-05,7.58405121835783e-09
1.2566868427453431e-05,7.120807878724444e-09
1.8525739292733202e-05,8.49982049219401e-09
1.5222057009003884e-05,7.360772857500552e-09
1.5432709891356704e-05,7.856729210619499e-09
1.3091786670332463e-05,6.86055613110489e-09
1.1967142267776431e-05,6.997700023848432e-09
1.3146477040004769e-05,7.371734620879066e-09
1.7721501734341782e-05,7.181289635561744e-09
2.0425116719974884e-05,8.064846740423128e-09
1.8968332667478473e-05,1.0070079823195505e-08
1.1468336320983132e-05,6.769749807706332e-09
1.5685776653088717e-05,7.483172127380368e-09
1.5237673593784852e-05,7.3889230345128085e-09
1.4857936762211648e-05,6.962024387666034e-09
1.4015767095601844e-05,7.571217199453636e-09
2.0948291838580334e-05,8.328123744945712e-09
1.2430190071344775e-05,6.84139586369657e-09
1.1934351801371916e-05,6.544814165074507e-09
1.9795538866010616e-05,9.196008238902942e-09
1.7523122842622903e-05,7.820530662936469e-09
1.6397777382454533e-05,7.61749604214675e-09
1.7265526508637136e-05,7.64292405017291e-09
1.5255342296523618e-05,7.155124667092143e-09
1.5964286004228806e-05,7.501128509589331e-09
1.1922112880630546e-05,6.862146332611463e-09
1.1301118283825103e-05,6.600811114983486e-09
1.2939181611396519e-05,7.078537496330973e-09
1.8535725287627087e-05,7.986677809944703e-09
1.6060205170335367e-05,8.055042307011216e-09
1.8080193371745763e-05,7.853422336088796e-09
1.8142092411614124e-05,7.673470925521655e-09
1.3017753402021661e-05,7.3595891301470945e-09
1.3976136336170158e-05,7.686688932819315e-09
1.3794452221484311e-05,7.224086436997458e-09
1.8944272307127788e-05,8.084986993941478e-09
1.808179013696947e-05,7.851237055587892e-09
1.3006295479106222e-05,6.771371363860368e-09
1.3701048452589549e-05,7.1207937706173e-09
1.7930557321544223e-05,8.392575715161622e-09
1.4990065048001145e-05,7.798422039735535e-09
1.6835601226395123e-05,7.667669873691537e-09
1.9867411549571872e-05,8.106691393168086e-09
1.716145036037047e-05,8.01993739162056e-09
2.483496528764662e-05,8.02790268286602e-09
2.3052186255810815e-05,8.715488402992902e-09
2.0659125658734056e-05,7.981908001700588e-09
1.683050890758023e-05,7.523818840832472e-09
2.2124940110571157e-05,8.910865684602392e-09
1.7749137516821263e-05,7.892100943509741e-09
1.3199712224885165e-05,6.984966039308807e-09
1.6454220835566903e-05,7.947855952695303e-09
1.7475308802753098e-05,7.532047490622928e-09
1.3250975724754267e-05,7.225813160515049e-09
1.4069646762394827e-05,8.073173357077007e-09
2.7014534094908676e-05,8.351115623623139e-09
2.3519512338205233e-05,8.126658717422051e-09
1.6616896021002974e-05,8.08895258783246e-09
1.3452688844427175e-05,7.275132235073274e-09
1.229540666248946e-05,7.418866049877119e-09
1.6343509637739456e-05,8.185431471270989e-09
1.360223557607617e-05,7.452053509214718e-09
2.0638947839890323e-05,9.771192074485659e-09
1.923963027348166e-05,8.06758013866358e-09
1.5841843785013116e-05,7.372454272100624e-09
1.5416982754856483e-05,8.046219799424061e-09
1.4162881013646613e-05,6.92842093861792e-09
2.4149136481515534e-05,9.022086756722666e-09
2.974727724838347e-05,8.269969193222104e-09
2.413804141072022e-05,9.123682281329558e-09
2.3126332692928384e-05,8.036022063662131e-09
1.8298136800475058e-05,8.261437853600593e-09
1.372521669946987e-05,7.864932454740655e-09
1.669214355424558e-05,7.831369045299154e-09
1.919457726459335e-05,7.752081836835969e-09
2.0321908445657618e-05,8.38808923708942e-09
1.804697399878702e-05,7.768609597874435e-09
1.8303675978288892e-05,7.603349842899255e-09
1.943862640559834e-05,8.51015745200935e-09
2.4354464715882174e-05,9.068706273283635e-09
2.724509799568584e-05,8.424440057728273e-09
2.2515934918041456e-05,8.445483357072884e-09
2.0936606527407763e-05,7.919155765204609e-09
3.068991739102826e-05,9.601027831916651e-09
2.8785216345561637e-05,8.187746029658042e-09
2.85974043883445e-05,8.20206052333085e-09
2.7686710122167797e-05,8.007076275275738e-09
2.69763672189648e-05,9.133205388129903e-09
2.5959164946478202e-05,8.329982979807152e-09
2.230268648040377e-05,8.388373870798758e-09
2.170319308634427e-05,9.156456547280935e-09
2.3970309167686372e-05,8.28226359268691e-09
2.5671076565972064e-05,7.727402530761182e-09
