Sig,Std Dev
8.351296777035569e-06,5.156295240856999e-09
7.921097357582602e-06,4.932213609078235e-09
8.43603092094723e-06,5.091886413031378e-09
8.161905094427203e-06,5.221596334684511e-09
7.883238704089619e-06,4.986366597063866e-09
7.496059295305732e-06,4.645832316920878e-09
8.027413815623134e-06,4.942844317737696e-09
7.352246428568321e-06,4.672926664411814e-09
8.404775973968081e-06,5.309979278307125e-09
7.966833499695552e-06,4.589468858999809e-09
8.048456290568798e-06,5.0733571733463455e-09
7.70186202883533e-06,4.975559625225222e-09
7.866883903990225e-06,4.725269834072988e-09
7.504095964869458e-06,4.4504399911443464e-09
7.836739664321268e-06,4.971186673993068e-09
7.738857307698107e-06,4.7944329548145606e-09
7.695595139245213e-06,4.582962219683243e-09
7.91888797967914e-06,4.819857188878405e-09
8.01665509531674e-06,5.092569205006593e-09
7.519057154136431e-06,4.814429695024781e-09
7.596143196803866e-06,4.915197260903943e-09
7.698680075411054e-06,4.988865629808301e-09
7.570141384853312e-06,4.655752572436146e-09
7.652919418960281e-06,4.9594250930256074e-09
7.5989572988735285e-06,4.790602838996086e-09
7.412799967094199e-06,4.3612844599963576e-09
8.13717232620553e-06,5.1296030223800236e-09
8.130450275504977e-06,4.971760776026163e-09
7.899836953153208e-06,4.979588872259719e-09
8.151748403771275e-06,4.914547866586032e-09
8.01662380995092e-06,4.855112938912113e-09
7.998443268830767e-06,4.8377082800595736e-09
8.153830808330714e-06,5.0069913461795236e-09
8.06688745846325e-06,5.0772576499682346e-09
8.17055152048189e-06,5.1239220549857e-09
8.01819609693379e-06,4.941757163966653e-09
8.069965494035158e-06,4.8423130910406655e-09
8.412386092871468e-06,4.9592211549462e-09
7.886834621275157e-06,4.990393095153317e-09
8.07798358854469e-06,4.948019947970295e-09
8.126088510128935e-06,5.19767459081217e-09
7.943350197003733e-06,5.140478802911903e-09
7.719280529090217e-06,4.600538461663702e-09
8.479928301448614e-06,5.159301633078772e-09
8.186375870948995e-06,5.030850629969669e-09
8.07099197023685e-06,5.025291213987626e-09
8.097844860634644e-06,4.990227041660708e-09
8.108596371766463e-06,4.882872564972971e-09
8.206075392301713e-06,4.914760260230642e-09
8.271173688321529e-06,5.179323809053285e-09
7.966887182593245e-06,4.819114979477939e-09
7.861916037908835e-06,4.8169270233258895e-09
8.05380162961338e-06,5.004970464729844e-09
8.072361638541697e-06,5.164449328632687e-09
8.07127864239726e-06,5.0687895758950434e-09
7.785934776728519e-06,4.925570922493321e-09
8.26405060323668e-06,5.289550658112743e-09
8.140405710302019e-06,5.206582609498367e-09
8.035788989146535e-06,5.2359642652917644e-09
8.125518693914474e-06,5.068395946329756e-09
8.513540243342273e-06,5.3708336118466695e-09
8.774817149120231e-06,5.1548639209432405e-09
8.590585696373924e-06,5.074869523034716e-09
8.382848073822655e-06,5.252711563499896e-09
8.47892776547368e-06,5.201843841342925e-09
8.117375507521703e-06,4.824027812385267e-09
7.747207893345331e-06,5.000767024272635e-09
8.209170292528553e-06,5.012017552906271e-09
8.04851853572393e-06,4.838845931307252e-09
7.912620390561445e-06,5.025126950972048e-09
8.081494906315622e-06,4.9417692336325e-09
7.901031308995076e-06,4.9710147704975985e-09
8.200608350552706e-06,4.855818582761753e-09
7.765690891771322e-06,4.9291074550671035e-09
7.8612574859584e-06,4.806428249505781e-09
7.644116790523213e-06,4.765484268271695e-09
7.763298913118519e-06,4.679097710584093e-09
7.910091429042084e-06,5.0713848196397664e-09
8.182422691842249e-06,4.936619838760004e-09
7.864091671998486e-06,4.819822954530639e-09
7.911506225405818e-06,4.768744247315064e-09
7.322069339352822e-06,4.614133505390962e-09
7.500848375439204e-06,4.5344137881466075e-09
7.878370765726152e-06,5.06248488842298e-09
8.190689008947506e-06,5.076647476541299e-09
7.908840168381623e-06,4.972835986361392e-09
7.750577723159614e-06,4.8655434859543595e-09
7.931613323537922e-06,4.92375336210708e-09
8.044598476016462e-06,4.753870168237509e-09
