Sig,Std Dev
6.8137822739430884e-06,4.347631875303501e-09
6.769234234124075e-06,4.41685175490377e-09
6.7847369110732135e-06,4.139567283416933e-09
6.619663284542064e-06,4.5590519021764574e-09
7.206673138080923e-06,4.737814421880825e-09
7.093836898245475e-06,4.427816092852479e-09
6.498134038547475e-06,4.180158640189184e-09
6.547967968353763e-06,3.9284027378925845e-09
6.604438659125061e-06,4.0162309474873076e-09
6.68075091930095e-06,3.960305343705008e-09
7.06367480917691e-06,4.316336663094731e-09
6.818454647503992e-06,4.375017804775971e-09
6.676483236015342e-06,4.219768417294367e-09
6.920256193567373e-06,4.423156021073833e-09
6.870701265989967e-06,4.394498940185367e-09
6.490548906941366e-06,4.209899375699506e-09
6.666109695381638e-06,4.2096478993855235e-09
6.55606486267717e-06,4.4041545122324426e-09
6.756832520476791e-06,4.521999155244481e-09
6.720954201607777e-06,4.129550586507504e-09
6.657759868856938e-06,4.310009059729914e-09
6.602760043606962e-06,4.427463842700963e-09
6.69734335579693e-06,4.546141926362927e-09
6.631040659276701e-06,4.315100301757146e-09
6.678790377518246e-06,4.138795269883354e-09
6.771486857449365e-06,4.366819159803131e-09
6.653113057794001e-06,4.341347256004635e-09
6.3954827956058475e-06,4.255091040844775e-09
6.9211004970667726e-06,4.379039185931044e-09
6.642826655395431e-06,3.981323327125522e-09
6.386254827138251e-06,4.165417063497379e-09
6.732670510777819e-06,4.202501821131226e-09
7.003829229687718e-06,4.6299750929879844e-09
6.668066147555507e-06,4.382374999329322e-09
6.7327368054188395e-06,4.257266214748708e-09
6.776681715743008e-06,4.438456984894531e-09
6.800388100653824e-06,3.9157423626730785e-09
6.755779400155467e-06,4.407787921625488e-09
6.886824451784397e-06,4.33024472340886e-09
6.746779148380051e-06,4.249410649840855e-09
6.879163433905513e-06,4.506561665516313e-09
6.7609314609518636e-06,4.193589592155732e-09
6.6071898099049054e-06,4.122982244411194e-09
6.8026286880292105e-06,4.223401041262046e-09
6.894596152974579e-06,4.402504205018894e-09
6.65362159324208e-06,4.135862470616117e-09
6.490411143613592e-06,4.071820990706972e-09
6.597946084488816e-06,4.212168044960004e-09
6.934046334845444e-06,4.0887983055584755e-09
7.16251109940351e-06,4.58803508570871e-09
7.266519271364125e-06,4.623817466102723e-09
6.91358179269774e-06,4.2507085871450624e-09
6.822220426172685e-06,4.455488134805942e-09
7.024389090382198e-06,4.287732083848598e-09
6.970258828096617e-06,4.571717088876196e-09
7.197375419321039e-06,4.762757232281712e-09
7.312450620282079e-06,4.6399763351889246e-09
7.2642603325739255e-06,4.765059953157746e-09
7.320752799714122e-06,4.608672166935613e-09
6.8465550233856e-06,4.339651852705367e-09
7.010907639567589e-06,4.443084462753858e-09
7.172917498125213e-06,4.67487071363204e-09
7.145533189143052e-06,4.659129927662102e-09
7.2390468353418526e-06,4.665404820526303e-09
6.8330178051354556e-06,4.5076132831012706e-09
7.100846671663144e-06,4.615159375340145e-09
6.8963567776063205e-06,4.73189537813574e-09
6.827430945851771e-06,4.823956512459301e-09
7.037963963265557e-06,4.759663915775387e-09
6.875316399626495e-06,4.283449351507557e-09
6.895034427662672e-06,4.169392777796156e-09
7.112443637656762e-06,4.536483851391069e-09
6.545233001923957e-06,4.038650182222e-09
7.070633204396466e-06,4.742371252377655e-09
6.939976855981401e-06,4.385551381554329e-09
6.710362850923038e-06,4.461916455077696e-09
7.228481740966507e-06,4.695375575391617e-09
6.854401362724679e-06,4.487249552416167e-09
6.9388593009741e-06,4.6432806021427145e-09
6.8998733083237546e-06,4.13469362446224e-09
7.0553808596526545e-06,4.506854865031934e-09
6.791323741942046e-06,4.6982837763990494e-09
6.952787588310245e-06,4.517228546188983e-09
6.643580644860457e-06,4.208957885348e-09
6.70435125821089e-06,4.251801101606525e-09
6.835885582578335e-06,4.397075351198757e-09
7.139077853910633e-06,4.299893490719784e-09
6.969678705291715e-06,4.497893255260304e-09
7.033513756125471e-06,4.424888288600282e-09
7.2581865185348105e-06,4.631292461061628e-09
6.698322010989677e-06,4.4397225814247855e-09
