Sig,Std Dev
6.434169883356344e-06,4.02218657818836e-09
6.3231516977885355e-06,4.0892036509997866e-09
6.2955037764974525e-06,3.9033583582867305e-09
6.451514496465828e-06,4.000751638732105e-09
6.353694734223349e-06,4.152142534594122e-09
6.185270451471689e-06,3.6661897402057246e-09
6.3376252030767795e-06,4.389022155440849e-09
6.238922239464167e-06,3.849756779490779e-09
6.327406624230165e-06,3.900093193371634e-09
6.25729647336487e-06,4.067618749385657e-09
6.237500517507445e-06,3.855445614410051e-09
6.18449999925812e-06,3.922491258587318e-09
6.473248190836691e-06,4.158001931598689e-09
6.328278022253982e-06,3.8890400989206e-09
6.3660127647163136e-06,4.027465139882933e-09
6.438498182507877e-06,4.2981922586654365e-09
6.2096919010774165e-06,3.912130296741953e-09
6.43377463575295e-06,3.8838526012793006e-09
6.660775342029897e-06,4.287013099573442e-09
6.236239457074969e-06,3.793467467540864e-09
6.0094413242342715e-06,3.748999794396065e-09
6.8609871775561114e-06,4.393258095016382e-09
6.219373427024927e-06,4.000191592245737e-09
6.167107084124536e-06,3.857564377368428e-09
6.394122194080254e-06,3.976942038447607e-09
6.390611610518057e-06,3.8849192806940525e-09
6.253275211041369e-06,4.001188369468351e-09
6.390805672344574e-06,4.060897059630341e-09
6.356137158042736e-06,3.98591908515773e-09
6.411517673062199e-06,4.034950536097854e-09
6.552091283415643e-06,4.184169759108011e-09
6.630178554570974e-06,4.248341483599172e-09
6.261206898255106e-06,4.023322694403386e-09
5.905718586652657e-06,3.974205222496448e-09
6.057755410125925e-06,3.721470951538741e-09
6.458522843785747e-06,4.066993549240993e-09
6.626652544832945e-06,4.104797951367681e-09
6.574641880917331e-06,4.211593867552954e-09
6.48687248312101e-06,4.155558208236996e-09
6.388114765122041e-06,3.948275335457527e-09
6.390777227799282e-06,3.913486286664931e-09
6.593312438037422e-06,4.2531022294518844e-09
6.304080106368823e-06,4.140593219406327e-09
6.561220892888269e-06,4.140093947180171e-09
6.0200049463274095e-06,3.7755526327463225e-09
6.371828428862998e-06,4.077736686063122e-09
6.468557031528976e-06,4.3608750673261284e-09
6.742725221648742e-06,3.994471716382586e-09
6.17496224929829e-06,3.8707754676976615e-09
6.694102767658438e-06,4.2636094678657775e-09
6.742637072756463e-06,4.188399284448022e-09
6.247241793097682e-06,4.208508156369827e-09
6.439975818674971e-06,4.199932717315901e-09
6.640963768372972e-06,4.081848077643785e-09
6.506940534445459e-06,4.111203903317373e-09
6.5492353655799476e-06,4.128007011838237e-09
6.448772408661631e-06,4.311383680996493e-09
6.399611793507906e-06,4.075095896193701e-09
6.206471597233314e-06,3.825203257017587e-09
6.651038651817556e-06,4.048181235113395e-09
6.4155999275523446e-06,4.062102168264508e-09
6.587061242970702e-06,4.080402112703846e-09
6.3949168591369515e-06,4.125631077008388e-09
6.867373840305572e-06,4.2577237700038515e-09
6.351097334140702e-06,3.960347585875891e-09
6.56905587179493e-06,3.83180148601655e-09
6.091197290825999e-06,3.818106991757092e-09
6.4580997496620866e-06,4.3541445912288384e-09
6.172071816259828e-06,4.1727810622934136e-09
6.463508670675288e-06,3.905479552186652e-09
6.278046871758775e-06,4.055493385724801e-09
6.432929328548024e-06,4.429079642940702e-09
6.16856644401735e-06,3.96132968564792e-09
6.279816010782567e-06,3.87604492128595e-09
6.3610337532418056e-06,4.353320482887151e-09
6.532301985360354e-06,3.923524527564049e-09
6.571644831793619e-06,3.7687799875557475e-09
6.3815223677219085e-06,4.060215382197126e-09
6.462183727466458e-06,4.230700887287665e-09
6.5895757930562076e-06,4.152633125391981e-09
6.274706053458923e-06,3.905559423159451e-09
6.3657835192221184e-06,3.849222297322049e-09
6.67808365720229e-06,4.265174477862546e-09
6.237841667802882e-06,3.987787973191542e-09
6.300397021539297e-06,3.908630858622217e-09
6.564152717463539e-06,4.0023456185271e-09
6.3965719424271595e-06,4.071208157828006e-09
6.194602667945244e-06,3.978025912709578e-09
6.666879706095339e-06,4.073413353196842e-09
6.6274509563458936e-06,4.110184058024652e-09
6.749474056087497e-06,4.310460852203153e-09
6.870397000292043e-06,4.228891606253512e-09
6.4061224520520435e-06,4.140198638685647e-09
6.369740379736404e-06,4.0880946049854195e-09
6.481214238887572e-06,4.086400650415771e-09
6.4502673832490055e-06,3.885858457591416e-09
6.631244738171665e-06,4.203987368833852e-09
6.6696810565062874e-06,4.294570866768007e-09
6.0973831639540906e-06,3.811537351356636e-09
6.1672767389527294e-06,3.717025791787355e-09
6.546026150575147e-06,4.237916474641458e-09
6.550872544232573e-06,4.350959480227643e-09
6.3588310639239975e-06,3.982952144673611e-09
6.686839846747662e-06,4.0961757329861005e-09
6.847150447713753e-06,4.367738851797716e-09
6.542829806193131e-06,4.126419112302057e-09
7.018926073787407e-06,4.47261595434636e-09
6.469946706231074e-06,4.000310758679996e-09
6.407732921136842e-06,4.374498039182443e-09
6.41631376426723e-06,4.24871945638951e-09
6.462681248965195e-06,4.185079703659653e-09
6.479639693052367e-06,4.065614464428726e-09
6.494761626590438e-06,4.1477738643871284e-09
6.792254398156567e-06,4.310459826862475e-09
6.705208231603184e-06,4.277128642810902e-09
6.461591468857766e-06,4.0501726372871856e-09
6.348799189073414e-06,4.170845037142558e-09
7.073133411268993e-06,4.207812430595235e-09
6.8550455734316815e-06,4.1386466724381134e-09
6.820543339328426e-06,4.1254759409653415e-09
6.810714829323283e-06,4.474218746614672e-09
6.251061198933557e-06,4.308638375507599e-09
6.794529028322019e-06,4.222262189380143e-09
6.849915192504032e-06,4.325779652414085e-09
