Sig,Std Dev
1.790127080720146e-05,6.9497436134023e-09
1.437522084457726e-05,8.225263302058555e-09
1.4442678878041507e-05,1.0681958021008077e-08
1.2955069904427762e-05,1.3407018248682337e-08
1.8399244355926848e-05,8.479297347625736e-09
2.565841511284033e-05,1.0061362249062864e-08
2.5591229104930254e-05,1.832443311808069e-08
2.7227388015142445e-05,7.6192804952924e-09
3.083164548398217e-05,8.08523247243161e-09
1.9351363599307467e-05,7.990358107844062e-09
1.6716397578694644e-05,6.651131108442478e-09
2.1000839430015155e-05,8.031358305459507e-09
1.3625319430553092e-05,5.557187058106318e-09
1.8515118472008528e-05,1.0348165147358056e-08
1.815722186433741e-05,1.2421123472281302e-08
1.8064472094779693e-05,7.828307632748326e-09
1.639466347960125e-05,6.550941923057163e-09
2.4940041587130077e-05,6.405578477919243e-09
2.3745384339331276e-05,7.0783960475135566e-09
1.5073454689561526e-05,7.232923101254983e-09
1.8769269616990283e-05,5.9160532168120616e-09
1.0750900190006775e-05,5.748063206341128e-09
2.9841849414239654e-05,1.1319977286864938e-08
4.350888468376973e-05,9.274908550011106e-09
4.1521401727378276e-05,1.8882484707298665e-08
4.1425992959126866e-05,1.3416142666287649e-08
4.355072940062623e-05,7.23092387048036e-09
3.562173894839937e-05,9.546468768545993e-09
3.0377551773808793e-05,6.4851893965269364e-09
2.173009790591657e-05,1.0519058886177008e-08
2.624807960097975e-05,7.597849899050769e-09
4.1193055359900004e-05,6.907929039282636e-09
4.433401620982385e-05,6.832920498892506e-09
3.477213500861835e-05,2.290270228286671e-08
3.556817146587665e-05,1.1076008057965922e-08
1.2454809927390634e-05,6.23965172984749e-09
1.0810056445125522e-05,7.024301381120243e-09
2.48660171146199e-05,1.4993556135120376e-08
4.548843071770779e-05,8.41424276105928e-09
5.671798263314408e-05,8.529425019299804e-09
5.989890699944062e-05,8.694905449238205e-09
3.0322491799240565e-05,1.0308387668744835e-08
4.1052863432034725e-05,1.669788225210958e-08
5.2050674057495846e-05,9.099358039273817e-09
4.6964751929603644e-05,6.887147389672523e-09
6.514797312530422e-05,8.89903530459553e-09
5.331016644158257e-05,1.2247591280465778e-08
3.4213427234565237e-05,1.2989889157454338e-08
3.3496291221305615e-05,9.021462598503703e-09
4.745183885504631e-05,8.21835995481998e-09
4.4213390829238315e-05,1.562421589908122e-08
1.8437287389724435e-05,7.885918209848461e-09
9.937066261143934e-06,6.131462884469001e-09
2.2836014706960845e-05,1.015449940612171e-08
5.8685492777134566e-05,8.33192287303193e-09
5.9231647477827636e-05,6.405073288875133e-09
4.0927243629239636e-05,1.2193975003246553e-08
4.179139948420809e-05,1.158456700342224e-08
5.278880539023071e-05,7.0830198626579745e-09
4.835879315369433e-05,1.038597174788397e-08
4.977564169857187e-05,1.2210028179045166e-08
6.077156504049783e-05,7.737502834854794e-09
5.289867082161999e-05,8.794049875608224e-09
3.8586015899771814e-05,1.2780565034089321e-08
1.9242798299364587e-05,6.340542667074942e-09
2.74387198621804e-05,1.3720224444793263e-08
6.241015990771459e-05,8.775931171133198e-09
5.556423335426984e-05,7.853729744765685e-09
5.25381032523464e-05,1.3931471108759042e-08
6.053892808943469e-05,7.352706298846649e-09
4.901770804054611e-05,6.986517958142007e-09
3.188421755903352e-05,6.709566772306607e-09
4.2561951326880405e-05,1.341385570722929e-08
5.7864806859551964e-05,6.9594801642372256e-09
4.276290447754062e-05,1.0324629590150755e-08
5.242863206356042e-05,7.433843727840806e-09
6.179580577807687e-05,1.554846955992352e-08
5.018083212532892e-05,1.0590460836127532e-08
6.738227444406352e-05,1.0570982825925786e-08
7.025031239821812e-05,1.1508722612811823e-08
6.455527564066381e-05,1.737016130945513e-08
5.0515986240885725e-05,1.6799276445470094e-08
5.891773331651248e-05,1.021532124877746e-08
7.294339606822327e-05,9.236290963941922e-09
6.169707754857107e-05,7.770185779194474e-09
4.132721210566912e-05,8.245312233079018e-09
4.3756711186995375e-05,8.139075179875336e-09
6.723139659310082e-05,1.1856861228286186e-08
3.910804726554123e-05,1.927192379717637e-08
4.651665061646217e-05,9.745588653327157e-09
8.873333604055203e-05,1.2658131683633028e-08
7.998977561003769e-05,1.4837482206687356e-08
6.669760745308243e-05,8.108132732996506e-09
7.92320073069639e-05,8.77684370167079e-09
6.08059751133301e-05,1.2872171022834482e-08
5.621308868277621e-05,1.0200663098691076e-08
5.793262775168515e-05,2.2342310854279965e-08
8.309534044823672e-05,8.195178122225774e-09
8.041672267945606e-05,8.809790442125149e-09
