Sig,Std Dev
7.0738531033745105e-06,4.721116629488912e-09
6.17916489547467e-06,4.012743281178801e-09
6.543814515067057e-06,4.295506309385676e-09
6.795280789915107e-06,4.165936350607491e-09
6.701140057130937e-06,4.0203406257290766e-09
6.995441451781605e-06,4.266595084836185e-09
6.915031823799591e-06,4.489439916241782e-09
6.798805874835259e-06,4.283994539200619e-09
6.900731449096099e-06,4.091398076003618e-09
6.558844902312576e-06,4.309277869372845e-09
6.8997502199031094e-06,4.47344060412706e-09
6.753402442486417e-06,4.4915033282140895e-09
6.648688060090686e-06,4.336411663647642e-09
6.956825114266254e-06,4.664792463420634e-09
6.91894032539538e-06,4.299312693989485e-09
7.121604043255764e-06,4.6527608887890196e-09
6.822975045300948e-06,4.393308621410843e-09
6.671151180168388e-06,4.475327833707196e-09
6.606601255326435e-06,4.420764066107443e-09
6.769416568353822e-06,4.175597560114232e-09
6.7362407087661284e-06,4.475568995605375e-09
6.145116839823754e-06,4.333310279455403e-09
6.406656212897729e-06,4.324574455593009e-09
6.428047946239261e-06,4.188552897959942e-09
6.793021739973177e-06,4.314837476480926e-09
6.765837602122455e-06,4.194402021056187e-09
6.677005537398857e-06,4.39715834831372e-09
6.542987392558273e-06,4.455291100851298e-09
6.614638142216743e-06,4.457135355073833e-09
6.412513312424262e-06,4.13481933592296e-09
6.469009361940015e-06,4.2322095307996136e-09
6.385106291867081e-06,4.381172356671448e-09
6.568546008062698e-06,4.322199145036686e-09
6.728191727537858e-06,4.090068502916049e-09
6.442671769877391e-06,4.2298169617646954e-09
6.444610719631036e-06,4.168508937888821e-09
6.406208303277265e-06,4.189619957325765e-09
6.400232535020831e-06,4.384703726382177e-09
6.521451085811643e-06,4.1249752023653354e-09
6.674550211371436e-06,3.984847136710814e-09
6.148733441052242e-06,3.917159012133774e-09
6.515421754422441e-06,4.385752089218075e-09
6.546346252983183e-06,4.641820356361188e-09
6.41673894407693e-06,4.072162439910265e-09
6.361738804732792e-06,4.206670158109771e-09
6.441052991639885e-06,4.4146654151640936e-09
6.8498364090271706e-06,4.424048485475163e-09
6.77423213434145e-06,4.345531216367931e-09
6.6453900254887995e-06,4.248428402094165e-09
6.364549920355312e-06,4.11582829197948e-09
6.5909277023857885e-06,4.23791794618175e-09
6.387955334802325e-06,4.217437318333209e-09
6.523747247601417e-06,4.0483038472980966e-09
6.617232817475773e-06,4.279847959548373e-09
6.237499992640996e-06,4.471883587728718e-09
6.593230367814831e-06,4.365017979871334e-09
6.352829747600492e-06,4.146045548909639e-09
6.713352829622654e-06,4.247110804510237e-09
6.614278495135205e-06,4.412768675957242e-09
6.339235040312212e-06,4.274356987176561e-09
6.443234244703077e-06,4.247601614692144e-09
6.6417625282492506e-06,4.210481512391375e-09
6.619610963613077e-06,4.4931287618168175e-09
6.96953845607509e-06,4.463558112115885e-09
6.874373240221505e-06,4.450101807372351e-09
6.570408350817778e-06,4.358953042190129e-09
6.8890012070303605e-06,4.496178192720345e-09
6.4437156427030725e-06,4.232120051578733e-09
6.314939801505941e-06,4.1170852250657245e-09
6.444396795682779e-06,4.12315294968497e-09
6.5293952242974154e-06,4.587718502788363e-09
6.738810243502263e-06,4.307040337358533e-09
6.772003193442718e-06,4.247798610872819e-09
6.804230791994402e-06,4.334378223088528e-09
6.907247227313509e-06,4.365083871127328e-09
6.4929141192598504e-06,4.0924748975292904e-09
6.566723855994229e-06,3.978721809059398e-09
6.873903660637878e-06,4.0437894017836665e-09
6.3444460371273775e-06,3.848764545399859e-09
6.634374090004349e-06,4.374691817699255e-09
6.432651294289133e-06,4.0279690140178954e-09
6.356874382175141e-06,4.057357105687609e-09
6.511350270158562e-06,4.188952582867196e-09
6.732259809920144e-06,4.600351402036787e-09
6.489836413169406e-06,4.199244226473413e-09
6.664887681225459e-06,4.525889925191746e-09
6.482275654808417e-06,4.3675764334888046e-09
6.826224422142514e-06,4.337272847837779e-09
6.912895632221283e-06,4.419444527730093e-09
6.421914079032966e-06,4.3299414251466844e-09
6.7019104573290345e-06,4.120938873573714e-09
6.642924902146894e-06,4.1761645726684545e-09
6.5124163001014914e-06,4.433923299054846e-09
6.606906984908653e-06,4.091852837638274e-09
6.748154366912205e-06,4.182398684278378e-09
6.620975821989096e-06,4.354678807076652e-09
6.825439391793157e-06,4.558982553944855e-09
6.608597329975531e-06,4.100496352196577e-09
6.619434038844126e-06,4.1684746693206516e-09
6.826577626078473e-06,4.337002176686861e-09
6.926402744042138e-06,4.174908732358065e-09
6.79983443588612e-06,4.433294543600655e-09
6.87271475462889e-06,4.32142756082075e-09
6.620523448611264e-06,4.2740086326930855e-09
6.934693237931748e-06,4.63108972241838e-09
6.677246500321435e-06,4.124681937761008e-09
6.606073382159894e-06,4.1296079750791785e-09
6.7833875607019226e-06,4.267134456658933e-09
6.932234102808129e-06,4.393537134546119e-09
7.028024350634559e-06,4.262460221692984e-09
