Sig,Std Dev
7.1652458767876165e-06,4.482482328854187e-09
6.623443840552234e-06,4.022901331619864e-09
6.884941252148014e-06,4.21409775920809e-09
7.047913074440871e-06,4.186408276080078e-09
7.319721554417693e-06,4.509669715124592e-09
6.886138782424315e-06,4.366192538369058e-09
7.457584491861158e-06,4.5580081437111694e-09
7.190612572201461e-06,4.570642680665555e-09
7.199442932290116e-06,4.646912982582381e-09
6.562660128653173e-06,4.0076402588584316e-09
7.0331099788860355e-06,4.734634165539292e-09
7.039118592420773e-06,4.429905947937883e-09
6.6167151663304325e-06,4.202991116922787e-09
7.448950971293348e-06,4.62498009383097e-09
6.940667182174103e-06,4.310468437156929e-09
7.003309602113932e-06,4.416920986130553e-09
6.7331834816927415e-06,4.5583466487745855e-09
6.780335329814754e-06,4.430273914989738e-09
6.861995390321313e-06,4.18712739511773e-09
6.807238835346157e-06,4.350885351513432e-09
7.105288338256849e-06,4.459053876456696e-09
6.984704237013684e-06,4.686755342814576e-09
6.579419196122597e-06,4.069523462290579e-09
7.3437308524174655e-06,4.504676541758531e-09
6.970846794597164e-06,4.3865807151440774e-09
6.919076378857707e-06,4.256208058384527e-09
6.845964736598234e-06,4.501702156724199e-09
6.884907776763941e-06,4.194838016411466e-09
7.196929430021548e-06,4.689606856788643e-09
6.458320714994397e-06,4.09899413660296e-09
6.7308264313047445e-06,4.0980026763055914e-09
7.0518708607797946e-06,4.286010421214579e-09
6.811564315050253e-06,4.2617272927724005e-09
6.785786138104711e-06,4.233122781328334e-09
7.0426819793713675e-06,4.535060768786064e-09
7.003817109394465e-06,4.546604332876664e-09
6.840045581864505e-06,4.7416533872473845e-09
7.203808179230905e-06,4.510043614132861e-09
7.209181559751661e-06,4.560693893916565e-09
7.30224559328823e-06,4.560099480474416e-09
6.7747682405658315e-06,4.4248223752368185e-09
7.386543480331417e-06,4.517108406425281e-09
6.872195636644937e-06,4.4759226274116025e-09
7.1529399912500065e-06,4.324362552983445e-09
7.463243205196291e-06,4.7623523489558596e-09
6.996060470104809e-06,4.559155341795405e-09
7.152814614761732e-06,4.595016243876506e-09
6.978673031682546e-06,4.416169525985351e-09
7.0786110278354055e-06,4.757966864956303e-09
7.162069734537326e-06,4.58475354244042e-09
6.995086684463003e-06,4.376189243042506e-09
7.393553662992233e-06,4.592374068499536e-09
7.25873278235681e-06,4.6594600111816645e-09
7.257904830392897e-06,4.537770043070525e-09
6.9739105551677275e-06,4.498787361782848e-09
6.798612947057873e-06,4.640605592152739e-09
7.1893331990546105e-06,4.569449374403965e-09
7.2557241361934345e-06,4.3756728660820005e-09
6.747482024578669e-06,4.174292629217509e-09
7.139124847361188e-06,4.812366417436074e-09
7.635569802047358e-06,4.942617778769981e-09
7.238367476980981e-06,4.647040508175833e-09
6.772465148734042e-06,4.214572617548799e-09
6.551280786680592e-06,4.263136396024249e-09
7.467150654745576e-06,4.65628367475166e-09
7.396683840189357e-06,4.495757853436409e-09
7.637655741907246e-06,4.815678574224831e-09
