Sig,Std Dev
5.750136615656048e-06,3.720304583468683e-09
5.7481926017368314e-06,3.6987496998939383e-09
5.529684972604396e-06,3.5002036534595765e-09
5.610115526202044e-06,3.7715024271414105e-09
5.329357090599418e-06,3.3930493435647513e-09
5.695820461992183e-06,3.5750726768046676e-09
5.970822134752528e-06,3.560811501432588e-09
5.751873090978894e-06,3.559327492704867e-09
5.36564248693403e-06,3.51980487822242e-09
5.81719563975861e-06,3.6252687709659823e-09
5.339609241321349e-06,3.242577494646007e-09
5.581380921780649e-06,3.688138560586365e-09
5.276701206827554e-06,3.2713405866009556e-09
5.597899628573335e-06,3.618048509051814e-09
5.74761931431573e-06,3.557943895760454e-09
5.85796866702225e-06,3.740930653818997e-09
5.39210792456319e-06,3.4739575488955595e-09
5.795113276383123e-06,3.7060997415880573e-09
5.856796836562014e-06,3.6126088759802455e-09
5.830039567153564e-06,3.713505434304256e-09
5.136919272005102e-06,3.454763436140574e-09
5.506259329053045e-06,3.4786397090765563e-09
5.765758040020683e-06,3.799628952678791e-09
5.7793284510693685e-06,3.740097961411251e-09
5.62633978015741e-06,3.995478679609018e-09
5.488604399947523e-06,3.410060150304151e-09
5.694777668073786e-06,3.4998333117632033e-09
5.7838758365238634e-06,3.664598618815691e-09
5.570433871243968e-06,3.4633643952576677e-09
5.349403180017409e-06,3.4135509120174304e-09
5.516171564467937e-06,3.343962267373308e-09
5.697213467858923e-06,3.707947042345541e-09
5.7771615963819555e-06,3.4628038339297663e-09
5.68981381725871e-06,3.586173213768439e-09
5.728242956494108e-06,3.656623186349097e-09
5.8400186716956585e-06,3.814798344326747e-09
5.568008193436862e-06,3.708464503680209e-09
5.697167472106447e-06,3.6940818546288683e-09
5.799600913103047e-06,3.5824473772448852e-09
5.862559767469683e-06,3.759805135512691e-09
5.504743558479836e-06,3.246955583583437e-09
5.4734566280567885e-06,3.5675051336162267e-09
5.6586092486514005e-06,3.689763736560809e-09
5.710076900109973e-06,3.6446477054855995e-09
5.758960253968557e-06,3.6274759469637127e-09
5.511555456373041e-06,3.6979941501287052e-09
5.4490788146486795e-06,3.3455740728913327e-09
5.6820788896696195e-06,3.847028645181935e-09
5.570841985814189e-06,3.3748965942436925e-09
5.980080843698188e-06,3.78053259886344e-09
5.6864719119210975e-06,3.5378636374421033e-09
5.569732966791429e-06,3.3312227317646756e-09
5.876806399791513e-06,3.724791045490566e-09
5.5347186445156855e-06,3.3497019497110467e-09
5.6152887294364536e-06,3.6945104151067876e-09
5.573215082349297e-06,3.383079772454411e-09
5.704744212801313e-06,3.6845347135850657e-09
5.896899262485579e-06,3.9496777530945195e-09
5.652505849791778e-06,3.5828378343693695e-09
5.773987302346038e-06,3.797006712841903e-09
5.447308251037728e-06,3.401942684579398e-09
5.452737393023756e-06,3.6214492757418635e-09
5.585536974204019e-06,3.5736533886576074e-09
5.2758879711109624e-06,3.4418739875577526e-09
5.931301151529708e-06,3.575129498537056e-09
5.636202196137161e-06,3.567980896702099e-09
5.966170806311852e-06,3.6754881682658374e-09
5.706906587017373e-06,3.595390341413346e-09
5.577631095599623e-06,3.470988017321772e-09
5.679881952455807e-06,3.5402890966728344e-09
5.970898041643286e-06,3.715411832924768e-09
5.391396790380247e-06,3.391479287977759e-09
5.378430292787476e-06,3.3822249420524853e-09
5.807291280673837e-06,3.5599763397127605e-09
5.454147771511705e-06,3.5431188556495506e-09
5.752614236708328e-06,3.6596404337705676e-09
5.702615778323998e-06,3.699051264029012e-09
5.727704209264004e-06,3.3639989961182995e-09
5.787412160047107e-06,3.3965977064749652e-09
5.8584106799621684e-06,3.5309717211347798e-09
5.742736001498565e-06,3.730720651659321e-09
5.522564868315135e-06,3.6049957149753813e-09
5.271877194431216e-06,3.2792042376645245e-09
5.473951666842697e-06,3.638957273729591e-09
5.663640090568177e-06,3.672792330135079e-09
5.775117914373139e-06,3.651183961792343e-09
5.5930342801869346e-06,3.3232351350899544e-09
5.386017108010676e-06,3.4821527564206864e-09
5.810077131366646e-06,3.577062417712338e-09
5.765463858303555e-06,3.659349326724461e-09
5.711325237672498e-06,3.543695984645148e-09
5.752942526075342e-06,3.748854747636898e-09
5.789909515247513e-06,3.6566583353857443e-09
5.372694517797458e-06,3.4473143024734014e-09
5.272436698105376e-06,3.4654734194764774e-09
5.5993451822720624e-06,3.5590625766233973e-09
5.60981892993912e-06,3.7148244037860027e-09
5.723759898573981e-06,3.6000020416261514e-09
5.481694573409133e-06,3.566383231461968e-09
6.147673984735582e-06,3.780351039718884e-09
5.457473018464062e-06,3.338631441058498e-09
5.711054617088311e-06,3.5564098429724593e-09
5.804705284006129e-06,3.590660483473421e-09
5.760823818470004e-06,3.7075995142360494e-09
5.916530091530114e-06,3.6263563118070647e-09
5.5296254130802895e-06,3.4428525955153724e-09
5.898993989453555e-06,3.8486209083808395e-09
5.669045076787823e-06,3.71104512316076e-09
5.852461809314971e-06,3.843647282727098e-09
5.552081007156207e-06,3.5161185477220943e-09
5.562056954737583e-06,3.421163743836855e-09
5.581741069725883e-06,3.5679913491437364e-09
5.6559301261277314e-06,3.553883874530625e-09
5.426758394420876e-06,3.6066763397327008e-09
5.668485725923841e-06,3.4106235987480765e-09
5.629494932531626e-06,3.773029427843001e-09
5.796419189401085e-06,3.786732740977738e-09
5.58644349982413e-06,3.4207783504295786e-09
5.875345943210182e-06,3.6555263123404087e-09
5.521524866943899e-06,3.5740887183301847e-09
5.849790417820076e-06,4.0027357678958644e-09
5.689219592025761e-06,3.592679732525824e-09
5.500414050261396e-06,3.588479271758651e-09
5.380830626519708e-06,3.6156540906820144e-09
5.813345986887339e-06,3.614282330602518e-09
5.594840294728909e-06,3.6871302922168475e-09
5.7304535539888246e-06,3.7170197799633297e-09
5.539876033416713e-06,3.517714390355244e-09
5.586197870209015e-06,3.594199668634801e-09
5.519150915410563e-06,3.532243214050265e-09
5.517144304892071e-06,3.585966111072185e-09
5.441347559177871e-06,3.3729540760619953e-09
5.724449602795107e-06,3.380882608909547e-09
5.418966101976415e-06,3.394182241799038e-09
5.738443327239887e-06,3.4885481543633667e-09
5.749409621534816e-06,3.670305264599735e-09
5.994426810138029e-06,3.837815128792402e-09
5.454794368990878e-06,3.5993262554253695e-09
5.291481693347575e-06,3.2246101835300765e-09
