Sig,Std Dev
5.817306836446956e-06,3.4641511682042777e-09
5.273928934014198e-06,3.2359635940683254e-09
5.590630845219579e-06,3.5797698561882567e-09
5.603743078471694e-06,3.6673007464604637e-09
5.564257545900518e-06,3.742079522350718e-09
5.334872692395396e-06,3.296193417380127e-09
5.315943564337799e-06,3.29066226181753e-09
5.434565862651862e-06,3.6740605525511737e-09
5.716933903081352e-06,3.369179653681219e-09
5.654277317248538e-06,3.7079154457208904e-09
5.46930735413573e-06,3.3057191850527597e-09
5.296934390793276e-06,3.5517214022013314e-09
5.410055235993797e-06,3.250820243491802e-09
5.439648104342309e-06,3.409135873733973e-09
5.205006569943592e-06,3.403765119269035e-09
5.617906405540608e-06,3.513192828564151e-09
5.4395780153117885e-06,3.386819358594789e-09
5.802296152560681e-06,3.673772112941443e-09
5.412732259573874e-06,3.5905537122365474e-09
5.570853800939726e-06,3.4610784558635576e-09
5.424046676428866e-06,3.4737719668372323e-09
5.3755136054260836e-06,3.4558099325546735e-09
5.643788528735717e-06,3.603681703545037e-09
5.245219168696722e-06,3.3402364573583602e-09
5.477971628728922e-06,3.2992718427252845e-09
5.791987106091293e-06,3.6777756253257126e-09
5.4615400347080114e-06,3.591338812650718e-09
5.900794780481554e-06,3.7986826544134e-09
5.352923855057592e-06,3.343348848276154e-09
5.392550198689292e-06,3.4840165458927607e-09
5.180215878870839e-06,3.244688274287442e-09
6.04967041615587e-06,4.075671441971019e-09
5.5733479365947525e-06,3.4938386121975445e-09
5.136113771901838e-06,3.4417684396258897e-09
5.59897127278806e-06,3.322334777106344e-09
5.290095767684565e-06,3.322642725590356e-09
5.218220585162897e-06,3.3199907709728617e-09
5.451512684128191e-06,3.4098473204631937e-09
5.556395779964644e-06,3.534881238513769e-09
5.471135962554779e-06,3.2911924246985254e-09
5.5852829144298415e-06,3.4754822455862432e-09
5.528911758262447e-06,3.4936161039312683e-09
5.221214289171979e-06,3.302704569860741e-09
5.496282159653058e-06,3.615189694315001e-09
5.209111197012406e-06,3.2673121390660825e-09
5.699397294583213e-06,3.476117760644076e-09
5.613673474999905e-06,3.516700816769003e-09
5.526199971555935e-06,3.461157346887943e-09
5.503344334008591e-06,3.510717518946094e-09
5.883138735798033e-06,3.839782963471685e-09
5.487261095431542e-06,3.5455159868310414e-09
5.579654977222692e-06,3.4012659804963754e-09
5.648671374861621e-06,3.5910543418195043e-09
