Sig,Std Dev
5.932746962783403e-06,3.5604376689002033e-09
5.8517450844990615e-06,3.659675660702473e-09
5.8157949117041005e-06,3.495724686273222e-09
5.722934340720268e-06,3.6404050202632163e-09
5.84686436082658e-06,3.7229205146715693e-09
5.604896581345397e-06,3.5846564565356256e-09
5.677471215424413e-06,3.7048995745477586e-09
6.000232649742342e-06,3.734445893512694e-09
5.8031584170766345e-06,3.6580341745476332e-09
5.8723444840442444e-06,3.5505071350712775e-09
5.8637049228449e-06,3.557591332199348e-09
5.736488374548761e-06,3.748705492907968e-09
6.1092972745011786e-06,3.749395509067836e-09
5.7975168391254665e-06,3.708996118073328e-09
5.87996250588844e-06,3.849035033154761e-09
5.7846355056612126e-06,3.73586353420626e-09
5.753618339982049e-06,3.890245394427974e-09
6.04593431690822e-06,3.970141099761735e-09
6.002828665173239e-06,3.737403763462701e-09
5.919499581902661e-06,3.8162178676612325e-09
5.732048062318401e-06,3.933923635605715e-09
5.7158840646191264e-06,3.791122824293908e-09
5.912150903387188e-06,3.799746744756801e-09
5.783355902543725e-06,3.6998196306046624e-09
6.02238158862238e-06,3.6820894690221724e-09
5.819996549097868e-06,3.7162731986540438e-09
5.78149003492224e-06,3.4272812524588624e-09
5.785253724236268e-06,3.700566047017781e-09
5.940419904683681e-06,3.622264221376131e-09
5.8476688833596254e-06,3.6521785999721295e-09
5.986547596226441e-06,3.867930791752849e-09
5.859441666684056e-06,3.6020898038439764e-09
5.8666636314927165e-06,3.6565717347658697e-09
5.910777668108146e-06,3.998085126188246e-09
5.730380004100466e-06,3.700179898906068e-09
5.942776708884868e-06,3.7014921607857148e-09
5.698513509277895e-06,3.8657037931124595e-09
5.560603168717725e-06,3.555379209219661e-09
5.9954415005571745e-06,4.0885428782968885e-09
5.732322840860718e-06,3.7033386785198944e-09
6.0519875840246255e-06,3.73449799196908e-09
5.776506459245593e-06,3.756622325189196e-09
5.627871502923013e-06,3.5526963306828264e-09
5.800632438306825e-06,3.7491104000410544e-09
6.030243869285487e-06,3.834634641024572e-09
5.542374962768655e-06,3.5033880380516855e-09
5.847077641802771e-06,4.006472680288396e-09
5.767876440443096e-06,3.950159685583801e-09
5.7186551366654315e-06,3.6425915625944216e-09
6.1509697900995805e-06,3.997529095846572e-09
5.923862029520738e-06,3.768540711221897e-09
5.961995828953874e-06,4.039721033642884e-09
5.820533477867524e-06,3.604076515333168e-09
6.074981483813621e-06,3.702030578064192e-09
5.70571615579413e-06,3.727815258293707e-09
5.883966881730762e-06,3.922682722332819e-09
5.779570641860443e-06,3.8158557507171494e-09
5.720680007975938e-06,3.8506499159555705e-09
5.693526727697278e-06,3.727583533987861e-09
5.8117542012337466e-06,3.753602404303464e-09
5.925697967843913e-06,3.848284848738395e-09
5.933605633962855e-06,3.66446124627347e-09
5.640941374516317e-06,3.3608178773123736e-09
