Sig,Std Dev
8.09634953335733e-06,4.371845591071535e-09
7.757686170627888e-06,4.313185857438505e-09
6.744946365088376e-06,3.836992745112087e-09
8.181420033654966e-06,4.6535757384928765e-09
7.934561740178013e-06,4.254098887548954e-09
7.633437480516389e-06,4.12945706999461e-09
6.772506858088634e-06,4.088713297531112e-09
7.455244459894386e-06,4.04646819964933e-09
7.507314662841793e-06,4.332226038794452e-09
6.8947116313523545e-06,4.005666813517234e-09
7.11593735882806e-06,4.110160962646273e-09
7.225863302454901e-06,4.087957457737036e-09
7.253837634718422e-06,4.363611833520375e-09
7.87290419307746e-06,4.530581019039998e-09
6.925966968201023e-06,4.0432505323658145e-09
6.652619731480774e-06,3.899296417359996e-09
6.369031414036567e-06,3.794065614547405e-09
7.1616985226229876e-06,4.4694200536343504e-09
7.985976327910571e-06,4.335186371294845e-09
7.608433692925936e-06,4.207332398315855e-09
6.672913445116686e-06,3.815633317020716e-09
6.303786391501154e-06,3.843950965794309e-09
7.648216529204906e-06,4.2053679879325235e-09
6.932073429663171e-06,3.975950387689926e-09
7.017314783236016e-06,4.0981501494008785e-09
6.057039749492743e-06,3.835129905771962e-09
6.5429301713529365e-06,3.948997777673377e-09
8.073337507552925e-06,4.2997781994361276e-09
8.222244871861707e-06,4.560796498825699e-09
6.8314543835664795e-06,4.064224476058308e-09
6.635953963650577e-06,3.835395111996281e-09
6.291323501174486e-06,3.762975105361867e-09
7.035348024804367e-06,4.23307760468303e-09
7.193102684744381e-06,4.365100546729685e-09
7.214522520815042e-06,4.251697027458926e-09
7.235178112473648e-06,4.246576221090238e-09
7.313826577718689e-06,4.35099877595282e-09
7.502493851232597e-06,4.362901301772105e-09
7.616003676899508e-06,4.350318698960386e-09
7.8777450347321e-06,4.464991113246139e-09
7.639036876733522e-06,4.209217558664633e-09
7.52041263922851e-06,4.140902771845361e-09
7.859759931940336e-06,4.562563383438872e-09
8.445648509613846e-06,4.533251239957108e-09
7.704731394998945e-06,4.463608469176346e-09
7.9877547686633e-06,4.4285859303210794e-09
8.060882162661373e-06,4.1963604432323034e-09
8.098089316060129e-06,4.624070697577754e-09
8.296906376922299e-06,4.466484336696707e-09
7.62800750604251e-06,4.260154318311378e-09
7.050468745279563e-06,4.183158535538694e-09
6.488865582557882e-06,3.978233926140976e-09
7.340645152902395e-06,4.1928474869870395e-09
7.779923058533512e-06,4.432386005574287e-09
8.218390837424248e-06,4.58550989698798e-09
6.8558112699251325e-06,4.122392386978249e-09
7.024491172904781e-06,4.2454491538288455e-09
7.393895643716967e-06,4.356658365862153e-09
7.646389738734583e-06,4.347003787646868e-09
7.390704774362113e-06,4.0538587751496224e-09
7.740515423666703e-06,4.3252950123309175e-09
7.4869503697954126e-06,4.183564641977201e-09
7.4310765849754165e-06,4.263215606513498e-09
7.986599286668377e-06,4.423287302418231e-09
7.0170947718550746e-06,4.213349000736352e-09
