Sig,Std Dev
5.852278762972565e-06,3.5624458230328323e-09
5.7913713099278316e-06,3.516733107694015e-09
5.650762692558142e-06,3.5764441920697465e-09
6.07268760328833e-06,3.719679367572772e-09
5.484570793541852e-06,3.3976391333518607e-09
5.652828033392396e-06,3.4666041072735138e-09
6.044871526515505e-06,1.8841696763871375e-08
5.83801786603936e-06,3.645788036911035e-09
5.965402634485559e-06,3.7846258978143054e-09
5.694320836415069e-06,3.4868995236753524e-09
5.8945055887305e-06,3.790373548729847e-09
5.974854621826588e-06,3.59664525903455e-09
5.664450351564104e-06,3.3757714454890738e-09
5.445694245607725e-06,3.391177670499308e-09
5.749056614767039e-06,3.6694049936624272e-09
5.438907305446521e-06,3.295462908367238e-09
5.581027037136103e-06,3.47364446663055e-09
5.5091720850521035e-06,3.3579828171372236e-09
5.375458807236222e-06,3.3867781697398795e-09
5.554151800168788e-06,3.6036938844206355e-09
5.79813666650079e-06,3.564325869789723e-09
5.581084528946082e-06,3.596577299231621e-09
5.6384630613880114e-06,3.6793013755936555e-09
6.104107849890027e-06,3.978594685365201e-09
5.576615817568059e-06,3.3728361502783782e-09
5.887644538019704e-06,3.6974724274679893e-09
5.620692018113895e-06,3.6709468676430236e-09
5.770636322571577e-06,3.825286935879463e-09
5.467996719710151e-06,3.51208670774996e-09
5.537547307112144e-06,3.2711383637099634e-09
5.678353279186717e-06,3.5870718631086296e-09
5.829374792150542e-06,3.520779967327091e-09
5.366368306261872e-06,3.289132404615747e-09
5.593395749460092e-06,3.578515345480405e-09
5.574040273345078e-06,3.398289124045976e-09
5.749408837192198e-06,3.808664462634337e-09
5.422848120600379e-06,3.5435369659908333e-09
5.603353208477164e-06,3.507858397246578e-09
5.360748713975362e-06,3.653924645518953e-09
5.765624800782522e-06,3.550483255479771e-09
5.429679136657354e-06,3.555638257422192e-09
5.496715699958951e-06,3.438500481022485e-09
5.569163361973021e-06,3.4480504508604242e-09
5.913600402606095e-06,3.855225693774626e-09
5.746435414406181e-06,3.4856857907659612e-09
6.030399638155461e-06,3.7047609691910975e-09
5.566404068743228e-06,3.5146286106579966e-09
5.495635914001533e-06,3.346947320958828e-09
5.373240544518983e-06,3.641611107534094e-09
5.600919759548566e-06,3.5420196732235817e-09
5.735889227239198e-06,3.67608406538969e-09
5.545536888087134e-06,3.3783375653827323e-09
5.753337415929592e-06,4.059271998236278e-09
5.5092916060140245e-06,3.447453492079447e-09
5.314964067939809e-06,3.5582457078774755e-09
5.510123479016697e-06,3.5665070530331073e-09
5.335061574149874e-06,3.346450345496802e-09
5.634603338819308e-06,3.531682577939113e-09
5.447089838350173e-06,3.420027586222696e-09
5.614454762648595e-06,3.577314965979042e-09
5.489366813859104e-06,3.4148306919617993e-09
5.942745378796333e-06,3.7112415191942647e-09
5.893749144712905e-06,3.7968406518469046e-09
5.50064169170303e-06,3.350236604863173e-09
5.919501647316874e-06,3.812650414638871e-09
5.469009405746406e-06,3.5373865487471515e-09
5.532176124698731e-06,3.412742585538562e-09
5.631667207098744e-06,3.684536697281053e-09
5.721443880546276e-06,3.39588658307318e-09
5.465448456327307e-06,3.394971777253077e-09
5.494271506717972e-06,3.401730012661703e-09
5.580495748418544e-06,3.4793490161911693e-09
5.4717636557791905e-06,3.3668770129533102e-09
5.440885412507865e-06,3.5514447793392482e-09
5.578454954095211e-06,3.6920381199718807e-09
5.740179705527935e-06,3.50612047696103e-09
5.423304437115185e-06,3.483511291119858e-09
5.9245175906750415e-06,3.784661565093166e-09
5.607038643680025e-06,3.4876757910871558e-09
5.503745147876581e-06,3.395003492057495e-09
5.246659100178921e-06,3.256832268328733e-09
5.770012283973769e-06,3.6966729168392775e-09
5.678977233457754e-06,3.6274186900941758e-09
5.459340221975827e-06,3.441177618522937e-09
5.630984424882432e-06,3.3960335116297617e-09
