Sig,Std Dev
7.5524748495296165e-06,4.853605451542796e-09
7.154966485103904e-06,4.331967684008149e-09
6.929975782556705e-06,4.412134349439828e-09
6.858325793095881e-06,4.1541635291247435e-09
7.2921072555026545e-06,4.424014593671476e-09
6.762352094777361e-06,4.321436694702673e-09
6.803001262648075e-06,4.243478498010488e-09
6.96025515698799e-06,4.1880956860657785e-09
7.113440791366275e-06,4.3384960076316476e-09
6.922179779783844e-06,4.448387888758628e-09
6.766984452181112e-06,4.1802833618745104e-09
7.0029637234195874e-06,4.441191070523885e-09
6.765563081981001e-06,4.289549468654665e-09
7.0571353582737105e-06,4.516200736097879e-09
6.915375575092986e-06,4.157056108449195e-09
7.12415804490514e-06,4.719531530041789e-09
7.206211158873671e-06,4.440222528424957e-09
6.899550185366269e-06,4.299096054794416e-09
7.120615225711432e-06,4.414075690716955e-09
7.4012174409435804e-06,4.500236689469525e-09
7.4330552338349345e-06,4.547666025363878e-09
6.9803011582521575e-06,4.571393227930912e-09
7.0332719988315224e-06,4.314482042780735e-09
6.9113735998208106e-06,4.2116215622235615e-09
7.1967517765979195e-06,4.564974117148141e-09
6.743591090052017e-06,4.5205606432251155e-09
6.881648571360408e-06,4.27682677922756e-09
7.170381787790723e-06,4.448742603511982e-09
7.033497368964949e-06,4.4657065670523465e-09
7.188216914819235e-06,4.290458207735011e-09
7.0559085170796625e-06,4.686672617580355e-09
6.6609715821268905e-06,4.2325018324489155e-09
7.030811610190057e-06,4.377473472871238e-09
7.0437803395835084e-06,4.297235502966037e-09
6.924886233186856e-06,4.434994751253315e-09
7.17218836917768e-06,4.3796702604808715e-09
7.221820277484474e-06,4.441132422565359e-09
6.7198305256169205e-06,4.329026050313903e-09
7.077064042503284e-06,4.403451083840682e-09
7.173766145704368e-06,4.1802918913707745e-09
6.9511620672409955e-06,4.204969040092575e-09
7.1056612114307506e-06,4.391425109760217e-09
7.1583768129668755e-06,4.412216309047727e-09
7.227618432862902e-06,4.567475851168274e-09
7.42729517625522e-06,4.522561908433874e-09
7.016075520323605e-06,4.583846892806475e-09
7.17826686636555e-06,4.369487330940005e-09
6.781045098506541e-06,4.332513154447716e-09
7.271862359418814e-06,4.443506826639827e-09
6.930540419289471e-06,4.43616431110057e-09
7.148686492945003e-06,4.344936192330444e-09
7.121041909282826e-06,4.596851496476239e-09
6.997203293056231e-06,4.36504626218806e-09
7.013253343672634e-06,4.32850335720645e-09
6.951887691007019e-06,4.411392872744771e-09
6.835454880828397e-06,4.365087919588741e-09
6.9449754405437344e-06,4.254847520243787e-09
7.125129161465644e-06,4.476227586867595e-09
6.830574408264968e-06,4.340777278349922e-09
7.076861527957345e-06,4.204144568901658e-09
7.23086372312037e-06,4.468554038317808e-09
7.01698714359097e-06,4.1032966446417645e-09
6.616238195895052e-06,4.077629652153009e-09
6.993660543776982e-06,4.375750111118743e-09
6.7139346122851104e-06,4.323276602906688e-09
7.028930488497761e-06,4.212648227103465e-09
