Sig,Std Dev
6.1485987489295306e-06,3.72948377767507e-09
6.9400129375188046e-06,4.096190170687632e-09
7.017682186183629e-06,4.237853514033603e-09
7.376684741622519e-06,4.452835845989831e-09
7.096520271679955e-06,4.3087341270461586e-09
6.848567171314859e-06,4.1906372605709425e-09
6.329103492514435e-06,3.782561566790016e-09
5.607073333545504e-06,3.5770595658558694e-09
6.506744747332472e-06,3.9112574984489425e-09
6.924076455718238e-06,4.1914347781025875e-09
6.713006205181064e-06,4.22678966837523e-09
6.50744017914299e-06,3.9961151670145975e-09
6.688759539729259e-06,4.28701553520723e-09
6.6276544039967485e-06,4.282700735775131e-09
6.2081757933756564e-06,3.847173872792208e-09
6.55166002711569e-06,4.0094361110081715e-09
6.605852827356879e-06,4.154440369588785e-09
6.57833282036242e-06,3.9473592329818666e-09
6.571931598548423e-06,3.995053156606068e-09
7.405280828174585e-06,4.349715054624208e-09
7.77654794690214e-06,4.353053774664518e-09
7.209382169847984e-06,4.332020968284753e-09
7.0628162400380055e-06,4.350722169011336e-09
6.460204428989447e-06,4.047079280723136e-09
6.385656363038071e-06,3.932478166455305e-09
5.978993040192168e-06,3.6302184335396057e-09
6.118120531597528e-06,3.989384714845994e-09
6.0894622055853225e-06,3.8044008944838535e-09
6.517905106253139e-06,4.2928020791138e-09
7.216989166169284e-06,4.3744806770640065e-09
6.861491944384468e-06,4.101659177063207e-09
7.651307544637577e-06,4.629908525427685e-09
6.694227866300735e-06,4.395218048483393e-09
6.518317758667408e-06,4.052161368743266e-09
6.734176152184715e-06,4.288857918678803e-09
7.410709420541501e-06,4.292628044129999e-09
7.577870262911295e-06,4.4859758373208186e-09
7.1134919972471475e-06,4.497830364908663e-09
7.412150600256151e-06,4.41889850407142e-09
6.85627031014178e-06,3.962216375802084e-09
6.496659274126514e-06,3.823570916766349e-09
6.1719440887943365e-06,3.792358636897735e-09
6.5304450690900465e-06,4.068187362992156e-09
7.081577190726627e-06,4.066583474147765e-09
7.372191400492533e-06,4.290385061330742e-09
7.429715789756879e-06,4.443770305480028e-09
6.879470962213433e-06,4.363085834963262e-09
6.246240872228189e-06,4.0775294615148164e-09
