Sig,Std Dev
7.262563060576689e-06,4.275641487679251e-09
6.757782549595119e-06,4.401709967629269e-09
6.556964505176158e-06,4.001171143050249e-09
6.837399873790742e-06,4.062221833429811e-09
6.398003343227507e-06,4.110631837891166e-09
6.800256174759443e-06,3.963278426813812e-09
6.4215562436549405e-06,3.843442754772666e-09
6.197779643520614e-06,3.754266344854316e-09
6.184188055418113e-06,3.780109901004495e-09
7.088627668277353e-06,4.202637078871773e-09
6.158001656902245e-06,3.8737165298956195e-09
6.000647298368952e-06,4.058715390803496e-09
6.034594929812444e-06,3.6891526516356717e-09
6.431632341941375e-06,3.7309725067633455e-09
6.337412309031795e-06,3.9592482972481296e-09
6.306610768054306e-06,3.70014112345325e-09
6.43903941217597e-06,4.099541692670852e-09
6.742786155085798e-06,4.258214757510679e-09
6.5085979650104235e-06,3.86026967414517e-09
6.737171359209898e-06,3.963824834241189e-09
6.619657748899522e-06,3.910832040558105e-09
6.327191296329108e-06,3.908557725852886e-09
6.8425690249332785e-06,4.039116088582815e-09
6.881861210965115e-06,4.1400586773911635e-09
7.3709335285923036e-06,4.29996243769917e-09
6.44009331683744e-06,3.887043774447867e-09
7.022103240186627e-06,4.304550636445487e-09
6.865249152846688e-06,4.509518332527388e-09
6.99582461819837e-06,4.174498155478425e-09
6.5171133932539485e-06,3.699451471038499e-09
6.77858332056736e-06,4.025234820539814e-09
5.588727311496031e-06,3.6340574449028367e-09
6.801083265917673e-06,4.153857638768139e-09
7.089252275722607e-06,4.3286550008187635e-09
7.294552393353076e-06,4.609273102348824e-09
7.496471564511902e-06,4.226093209179113e-09
6.757139621335644e-06,4.134496435180153e-09
7.575962983055858e-06,4.425868906521036e-09
6.88406768383651e-06,4.036283664160545e-09
7.837450599933363e-06,4.298060244258205e-09
7.06382925496281e-06,4.287164173308735e-09
6.932194005149514e-06,3.974267118048338e-09
7.040313514088027e-06,4.104612930768361e-09
7.3693126591620384e-06,3.955344949931088e-09
7.170425361711615e-06,4.0461979946853874e-09
7.394744320245173e-06,4.3509371165847e-09
7.439343409309156e-06,3.937689227540874e-09
8.027018918666195e-06,4.0151926585958095e-09
8.874991592083902e-06,4.638960106305534e-09
7.868100143724984e-06,4.242337932452699e-09
8.456219334959746e-06,4.494867513263911e-09
8.164033372138271e-06,4.645361121491162e-09
8.054221996093223e-06,4.3775646987089255e-09
7.614996873173012e-06,4.362110028898671e-09
7.753891040723471e-06,4.330525059227807e-09
8.496656580012281e-06,4.479055893631548e-09
7.673678504768052e-06,4.3891387628638795e-09
9.409889657532964e-06,4.686774371355008e-09
8.681351548535822e-06,4.301785905572406e-09
8.706370721571023e-06,4.565986167816989e-09
8.929381495500428e-06,4.884050503017837e-09
9.41661051339122e-06,4.903398028273048e-09
8.988598870145361e-06,4.5973365525129874e-09
9.572410966381911e-06,4.608352077809494e-09
1.0406723910515694e-05,4.776627664530475e-09
8.392442090043454e-06,4.2962016568355756e-09
1.0930095396102146e-05,4.983725369746142e-09
1.1234878251765139e-05,4.800858894481776e-09
1.0651638942795865e-05,5.0586399957173e-09
1.2069743704862743e-05,4.77521084566894e-09
1.1636284482800815e-05,4.78870091412465e-09
1.2754017921525758e-05,4.907514515805669e-09
1.1339205936349868e-05,5.232180347777063e-09
1.1658200381985679e-05,5.307767354860646e-09
1.3971615360840689e-05,5.512131199291222e-09
1.4053461603295881e-05,5.023340365376469e-09
1.2693936984670684e-05,5.208455004255028e-09
1.5113836423188749e-05,4.913360649401467e-09
1.6681948622976366e-05,4.986618500311673e-09
1.6378387662593132e-05,5.074211080148848e-09
1.8860095184097294e-05,4.867378887239416e-09
1.9645103011398252e-05,5.2523227595059744e-09
2.1147583266050983e-05,5.291458815807231e-09
2.2157327295750945e-05,5.578174783859733e-09
2.2031233136210715e-05,5.0712270717582126e-09
2.5469265888310155e-05,5.312256290387498e-09
2.6193327458109278e-05,5.036583878482949e-09
3.197175721787547e-05,5.069969543569537e-09
3.458234424511548e-05,5.57109474431376e-09
3.5989523853385906e-05,5.2288097384545825e-09
3.6776091099239726e-05,5.767871150095201e-09
4.0574988026682545e-05,5.601058299324389e-09
4.5452663924418926e-05,5.300325334474044e-09
4.395985727256444e-05,5.667198793396895e-09
5.1946211944409214e-05,5.6055545004968156e-09
5.5096585046673266e-05,6.306996523366459e-09
5.269837677622117e-05,5.177255969830254e-09
5.213403468976941e-05,5.232936722343376e-09
4.920496354204738e-05,6.6289233891127015e-09
4.940480082421784e-05,6.715572478076221e-09
5.026461249619867e-05,5.471312850651149e-09
4.7498493168947674e-05,6.251097887940595e-09
4.729457402004793e-05,5.706159135338433e-09
5.096280163121259e-05,7.7378600015146e-09
3.1995384339297815e-05,6.763024961716904e-09
1.7479253679992147e-05,6.5376881993040634e-09
1.4552649698993415e-05,5.405720270969091e-09
1.6997471561277518e-05,7.686565054249876e-09
4.388316615035187e-05,6.934543168371673e-09
3.9025291431779344e-05,7.535367626475638e-09
3.330042645428763e-05,6.25939133091663e-09
1.4972517913099607e-05,6.668939319819649e-09
1.5808432013152206e-05,6.096818137877745e-09
1.4192172549568347e-05,5.340269963767691e-09
2.3212718833455417e-05,5.888772786227908e-09
1.0273924459049349e-05,5.2138423123943376e-09
7.610520396496273e-06,4.468009016326427e-09
9.302832087050775e-06,5.439481357681934e-09
9.581942969417042e-06,5.1415771695444695e-09
1.0318142136373411e-05,5.268715424524813e-09
1.5903151029409516e-05,6.116345449504625e-09
2.23307388542419e-05,5.24840657769696e-09
1.4402385088777125e-05,7.088080720372215e-09
2.7826937051912268e-05,1.106526182236178e-08
3.787013994415395e-05,8.745517286904986e-09
1.4255357887672102e-05,9.458608916561593e-09
4.6844065643542476e-05,7.3859769692976845e-09
5.675866393488492e-05,7.0621815531673314e-09
6.135878194256023e-05,6.905931435997206e-09
6.094504300272505e-05,6.595280587237587e-09
5.387386065595022e-05,7.986059935713856e-09
3.232769225825719e-05,1.0723297466228424e-08
2.166398403908073e-05,7.209630434354521e-09
1.7645017556056928e-05,5.928033269626037e-09
1.885103460314403e-05,7.101895865232178e-09
1.4805646147887357e-05,5.9200762487824536e-09
1.5479613028205213e-05,5.946815510393702e-09
2.2497499203151213e-05,6.012223582683452e-09
1.591975187201334e-05,6.107791797655378e-09
1.4709287211570627e-05,5.28190672699331e-09
1.4764987182954058e-05,5.578521209697221e-09
1.2949455778188105e-05,5.062409343521031e-09
1.3777510661855992e-05,5.261774228332178e-09
1.199637716882702e-05,5.030413581280029e-09
1.0791182366948091e-05,4.931688895444842e-09
1.035846155758419e-05,4.965209235947126e-09
1.0195479858516156e-05,5.111279797717365e-09
9.5234379503564e-06,4.565494451998817e-09
8.5332729763115e-06,4.612837987513797e-09
8.743414804796627e-06,4.463191905360407e-09
8.851830496984662e-06,4.621087528831075e-09
8.178344273855941e-06,4.67966005221462e-09
6.680510563972703e-06,4.459742893205706e-09
6.8885660462533665e-06,4.542165679310557e-09
7.972668630252747e-06,4.494284965060686e-09
7.846714293112316e-06,4.386299216081951e-09
7.35059099963975e-06,4.660266891716827e-09
7.33591256856198e-06,4.347826059702025e-09
7.490468671950852e-06,4.358004243681465e-09
7.811873128011483e-06,4.620200154127301e-09
6.7761667092524665e-06,4.159104699211651e-09
6.977729388754364e-06,4.270133086362268e-09
6.373658669124061e-06,3.8253639546382645e-09
7.342565799489001e-06,4.2431901163720274e-09
6.183044374718572e-06,3.731983861936275e-09
6.559166205179311e-06,4.046467815133992e-09
6.839787334107729e-06,4.153196824925612e-09
6.4242068778024635e-06,4.010168020771379e-09
6.405700518072628e-06,3.736438348086621e-09
6.504071720157296e-06,3.927621665963097e-09
6.417018138233055e-06,4.011776229215974e-09
6.896919072349035e-06,4.474154126787078e-09
7.348928222271612e-06,4.3073011116511054e-09
7.098250591719132e-06,4.18692238205102e-09
5.744259156814609e-06,3.7274387743345015e-09
5.58004799922502e-06,3.5491446021205005e-09
6.8546240829872545e-06,4.435402213514416e-09
6.497415064994086e-06,3.770434149998965e-09
6.537358172945659e-06,4.2965802757133955e-09
5.849153965769005e-06,3.7088125028983967e-09
5.596599824029736e-06,3.4544089964318782e-09
6.376943337070148e-06,4.042412129770045e-09
6.515871060043467e-06,3.913832496023564e-09
6.254940720351558e-06,4.1368031038074216e-09
6.046938528124419e-06,3.635539261122542e-09
6.140354484780781e-06,3.910973424341207e-09
5.7005700536711125e-06,3.5044401410334614e-09
5.4482886326203155e-06,3.486821684606958e-09
5.6370426672241235e-06,3.475847511325241e-09
5.863111378078951e-06,3.709990337578801e-09
5.32841363305222e-06,3.48162480993079e-09
5.97861594202955e-06,3.75294686296443e-09
5.565968339713987e-06,3.593575904715802e-09
5.598571083838695e-06,3.613195085361536e-09
5.864876945921727e-06,3.904420772947968e-09
5.791449382252559e-06,3.7029523794780554e-09
5.715834159764544e-06,3.3173467648133156e-09
5.899822231679792e-06,3.529224409475369e-09
5.89850024126151e-06,3.694651670874213e-09
5.768294784937468e-06,3.4231700948676296e-09
5.755468401613553e-06,3.666707764253065e-09
5.755328874292083e-06,3.6110629146715952e-09
5.853892370056192e-06,3.6373709493421223e-09
