Sig,Std Dev
2.3496748522575657e-06,1.3887889597721837e-09
2.240130074041535e-06,1.3680903281931412e-09
2.313210105292547e-06,1.413227461597195e-09
2.3097277984961236e-06,1.3682973417587165e-09
2.254618908479472e-06,1.3363764109221854e-09
2.224634944300332e-06,1.433440451905735e-09
2.092308377824381e-06,1.3063820806620956e-09
2.2415346813010465e-06,1.3598637893939903e-09
2.0941287484283023e-06,1.386167671546059e-09
2.0882975538737555e-06,1.2479591435879745e-09
2.120447569103485e-06,1.2959118687179073e-09
2.1268097973446636e-06,1.34827185626253e-09
2.0967443865973116e-06,1.292517350176391e-09
2.1081504079590782e-06,1.3108243165243995e-09
2.141919805357509e-06,1.2435023546210267e-09
2.0382859911603397e-06,1.2259420549099403e-09
1.9625598286341516e-06,1.2410295635504398e-09
1.915008518717909e-06,1.159669690501397e-09
1.9172180347066483e-06,1.1526708866326221e-09
1.8787189410526055e-06,1.21083606575896e-09
1.992409026459076e-06,1.22839123614199e-09
1.9808599415482046e-06,1.2178255952959034e-09
2.016141965992697e-06,1.1601187472371675e-09
2.0099463458136547e-06,1.1706411608140863e-09
1.922052578416811e-06,1.1368005638905233e-09
1.940711779523785e-06,1.236609322258943e-09
1.9341291292072634e-06,1.1332767383802703e-09
1.8141078054620655e-06,1.1972917334121465e-09
1.8995979005070127e-06,1.1253825771206236e-09
1.91870621187947e-06,1.1502823171636846e-09
1.9302899118414263e-06,1.186137101857545e-09
1.8786927205615563e-06,1.0885788415808588e-09
1.8236126328457866e-06,1.1661443901747944e-09
1.8780666627055317e-06,1.0867414588581367e-09
1.8726181986253784e-06,1.1536482118404948e-09
1.7873920699134047e-06,1.1056912904571109e-09
1.8421315072753795e-06,1.1347898871673153e-09
1.795545994745137e-06,1.1237279918188731e-09
1.857685038724582e-06,1.1840109905206192e-09
1.761784365647008e-06,1.0909076234868048e-09
1.711605858935409e-06,1.0160892952520134e-09
1.7277439657611988e-06,1.00780541763563e-09
1.690589777720543e-06,1.0098891793361327e-09
1.7196144406923464e-06,1.1288567093881103e-09
