Sig,Std Dev
1.890972395473386e-05,2.443331260978061e-09
1.917126491812024e-05,2.891997630121351e-09
2.322734313002811e-05,3.391382615706146e-09
2.2523754298185325e-05,2.732025770963525e-09
2.232845620908864e-05,4.090466414537833e-09
2.319003904858922e-05,2.0904092038954e-09
1.812337436265349e-05,2.272033652429773e-09
2.4088202489922416e-05,3.873343099853065e-09
2.236261587131111e-05,2.7787346039599347e-09
2.2606429974433408e-05,2.6464224817385772e-09
2.289362570997294e-05,3.578431658477278e-09
2.5616741765499782e-05,2.8304310404341823e-09
2.296239485734651e-05,3.119794363520559e-09
2.229056219108733e-05,3.2984120785799846e-09
2.6379533743790196e-05,2.931569906220953e-09
2.616445100720823e-05,3.1627986252006888e-09
2.7550371285245393e-05,2.898478743079035e-09
2.732519066750031e-05,3.5171126229582487e-09
2.484690554603178e-05,2.716922143843321e-09
3.037610906241136e-05,2.337111370705883e-09
2.827902470785738e-05,2.438711297821193e-09
3.0033840403008325e-05,2.4223697524856654e-09
2.6130195118713953e-05,2.493947324444111e-09
3.071898230726401e-05,2.0668997271964854e-09
2.8213969071158428e-05,2.0702560310941603e-09
3.3404741373886944e-05,2.4511981290178977e-09
2.7047826029243037e-05,2.9420665373091983e-09
3.19585602938375e-05,3.6411833259621945e-09
3.342987335088094e-05,2.423307710432953e-09
3.0720940961659546e-05,2.5084034931934443e-09
3.304565011615537e-05,2.1692239719066755e-09
3.2310975750664004e-05,1.8998002372262457e-09
3.391446646948084e-05,2.314924615066312e-09
3.4320838971985434e-05,2.1033739598354115e-09
3.3173150162560096e-05,3.767315027867808e-09
3.7916053339351464e-05,1.878842426656552e-09
3.950599260932984e-05,2.0074306808802725e-09
3.94105555229342e-05,2.1530194648623303e-09
3.648172187924791e-05,2.138623429591315e-09
3.951442141007085e-05,1.866693899636302e-09
4.159009944742605e-05,2.0339530606420042e-09
3.7059998753170755e-05,2.314754562350105e-09
4.171082492434066e-05,1.944066634321238e-09
4.460166642345895e-05,3.1859750094236004e-09
4.437280137452162e-05,2.0964923711078137e-09
4.9064381838992326e-05,1.8741517905097253e-09
4.620879483057382e-05,2.5371438586174388e-09
4.541613746341095e-05,2.631558524287896e-09
4.3626973101139786e-05,1.8149968318063217e-09
4.656406342195803e-05,2.1423210681167146e-09
4.9322723523466874e-05,2.1705728126049222e-09
5.411080613378681e-05,1.646320802413377e-09
5.633974930348126e-05,1.686553582416336e-09
5.274465220870129e-05,2.0173271756033013e-09
5.790728325248522e-05,1.7875360685183984e-09
5.932919132772727e-05,2.337162065525556e-09
6.41154301165519e-05,2.3218416164759696e-09
6.456844872903992e-05,1.8621781304468513e-09
6.592560806385222e-05,1.8573421243717478e-09
6.91184900828614e-05,2.7243561238033847e-09
6.566018116117331e-05,2.6712307395826825e-09
7.247365019381023e-05,2.8345728461230456e-09
7.701781159798314e-05,2.010943431690194e-09
8.04619465002218e-05,1.987941412502836e-09
8.366146577304239e-05,3.880839536186465e-09
8.42617714669446e-05,2.1366266558135044e-09
8.889867813128989e-05,2.784438384009434e-09
9.634015975703841e-05,2.67479943687728e-09
0.0001010809343446583,2.719236478628008e-09
0.00010196021773825209,2.8086602354782973e-09
0.00010689668360105102,3.300400430053566e-09
0.00011700122584671318,4.086713383817884e-09
0.00011790908812832111,3.890111349573231e-09
0.00013036995876924737,2.3218425218794846e-09
0.00013478567699766196,4.733732508728129e-09
0.00014233714465102114,4.1444213549442505e-09
0.00015387629839060026,5.4025587860696106e-09
0.00016368991774211815,5.970580453720053e-09
0.00017637533202691244,8.816770018347619e-09
0.00018734696676759295,4.951944463872713e-09
0.00019778262925927243,3.9136290005841115e-09
0.00022390741321177163,2.913874142341452e-09
0.0002420991487101665,3.476823405246019e-09
0.00025189977896211083,9.984489550550052e-09
0.00026576110798510474,8.105541146566094e-09
0.0002973621665487432,7.323981772816511e-09
0.00032308644702405627,4.779982397919289e-09
0.00034777663770353337,4.9717376927946966e-09
0.00037508753681720475,8.579165828312239e-09
0.0003243344124644671,2.3340827893223323e-08
0.00030487411721728894,1.4966975771294242e-08
0.00037023032880883914,3.093662772148393e-08
0.0004683866058022735,9.041245984067589e-09
0.000488700746553937,1.0102079855783136e-08
0.00047853934662087837,2.703743602332462e-08
0.00037275330044855566,2.3200708978224765e-08
0.00038691488557629885,3.1492525234858645e-08
0.00030570821032887326,2.5020651595295878e-08
0.00025615370335835286,9.710557621187515e-09
0.00034544289652456943,7.714056924811296e-08
0.0005737145542473647,2.7471461959571207e-08
0.000544478043837284,5.1438627496635843e-08
0.00044041828720164765,6.838181642502364e-08
0.00036371522006078765,3.4471227854592605e-08
0.0004895058371353836,5.0393700122168453e-08
0.0006653245116624318,4.185000108213215e-08
0.000646979155084476,4.6454674347780654e-08
0.0007184147621211312,2.0954829862541545e-08
0.0007168068896411721,3.366752483946444e-08
0.0006667188568260614,5.504462557525944e-08
0.0005202780868393473,4.122307874717532e-08
0.000484564710221913,4.7524549311342136e-08
0.0004650065381822215,3.577205730445178e-08
0.0004705699060300375,1.7430240906075116e-08
0.0004692399225335672,2.4462761103651013e-08
0.00048689101411845617,3.055837066665101e-08
0.0005117901271536069,1.7389932757109124e-08
0.0005687813265638225,3.693165561951992e-08
0.000579069907666127,4.707234544085211e-08
0.0005062119634008779,1.7562876814692475e-08
0.0004080648466804489,1.3881286702195924e-08
0.00045230868803581095,2.4643924637461727e-08
0.0005417831072339549,2.6283465939609917e-08
0.0003137523216423873,3.5912890256585355e-08
0.00031891317116752795,1.1273777615956865e-07
0.00015786825358624296,6.641436686335982e-08
6.751697503693331e-05,5.5469037665145473e-08
0.00039628877918346125,1.0775901537686251e-07
0.00039558716302166754,5.2056022292561415e-08
0.0002211228449471097,6.859196556419007e-08
0.00017111497984408083,5.629342103541339e-08
0.00013419842021605155,5.665639016099963e-08
0.00043436856080020307,4.2960612685854706e-08
0.00022564865507156178,7.669504614524914e-08
0.0001440535482327828,1.54042491969646e-08
0.00011327395867507972,2.198576644283925e-08
9.233606091721472e-05,8.906283063768735e-09
0.00013116840996903206,2.4806602356093135e-08
8.655786085299049e-05,5.138963750435161e-09
8.110135950123565e-05,3.756558570463906e-09
0.00010332441446582864,5.562521332106892e-09
8.194469367966057e-05,9.404340730978912e-09
7.203807658769798e-05,4.926777700048105e-09
7.053691500838737e-05,6.594392035471811e-09
7.237994320055887e-05,5.964785895482215e-09
7.681260549353519e-05,3.8487814170332875e-09
5.7475100783252615e-05,4.899886235747965e-09
3.781799986852378e-05,4.7581338488452674e-09
3.9780815154315584e-05,5.111515412100781e-09
4.074233046120164e-05,5.9385461994432044e-09
5.201690998641756e-05,3.6825226918582976e-09
4.313220400881726e-05,5.010259757266917e-09
3.7744592539931804e-05,1.0293627058328659e-08
3.3604515217027874e-05,5.437878806073652e-09
2.9596789613882074e-05,5.870489443023102e-09
2.8623349233005257e-05,4.777890146085576e-09
3.523263626490828e-05,5.427830307723421e-09
1.7107531130226576e-05,4.126484917296917e-09
1.4100586450460973e-05,3.806667831142218e-09
1.2355328596920117e-05,3.6839196128245157e-09
1.5231712224242382e-05,4.1516882414319495e-09
5.964973002219752e-06,3.1018293411869527e-09
1.3667727308432887e-05,7.06165845136746e-09
6.514901328220503e-06,4.883785921031314e-09
6.718448261736792e-06,4.10162872347963e-09
8.34774156276235e-06,2.8374837747099255e-09
1.545274896067688e-05,4.1810964635562955e-09
1.7014119012387903e-05,6.870044895050901e-09
3.17069796544245e-05,3.56662306180922e-09
2.8168130277829264e-05,4.750290843119849e-09
2.270318028509218e-05,4.8514416085946796e-09
2.794176564105044e-05,5.8148962154347835e-09
3.149382942818285e-05,2.1653620157314527e-09
3.422427674395793e-05,2.3183300319630987e-09
2.8696551846700654e-05,4.591784519764428e-09
3.0041263245834222e-05,3.0053350459779484e-09
2.927973974828966e-05,3.0484690386354524e-09
3.3330445060001454e-05,3.363467360557427e-09
3.485094673713462e-05,5.046287294809577e-09
2.413275215013215e-05,4.171613831590794e-09
2.0162754187001043e-05,4.345641744683122e-09
3.247270648986684e-05,3.187798401560744e-09
3.4609118216738204e-05,2.9593909490625144e-09
2.493463104054033e-05,2.8981480311314636e-09
2.400569545331083e-05,2.212851709955602e-09
2.5418864236423744e-05,2.9220622955170277e-09
2.1965282726327407e-05,5.937826283096325e-09
4.394793806798065e-06,3.275336182705757e-09
2.0694967480325422e-05,8.092248545629247e-09
2.9946199084001032e-05,1.6249878765014818e-09
2.3182408847771884e-05,2.9230737023033893e-09
2.769127992790889e-05,2.5588716735788665e-09
2.5507469813240583e-05,1.9477389093962517e-09
2.165438695233488e-05,2.008163743817635e-09
1.2155865079640644e-05,5.296572860438486e-09
1.7577573200837575e-05,2.279987753215763e-09
1.0815771907047818e-05,3.960911208264357e-09
1.0121000545597095e-05,2.931567381435622e-09
8.465914148788305e-06,2.0340267481929417e-09
3.3929435505546e-06,1.5789531963255196e-09
4.207151411313773e-06,2.275918937276495e-09
7.617419569855102e-06,2.1225739201783936e-09
1.0629843016203509e-05,2.1657525385972217e-09
7.583727524982224e-06,1.7185068872106854e-09
8.288937376410934e-06,1.7667992589347677e-09
8.054785132468855e-06,1.1805398021047241e-09
8.674815738730833e-06,2.2302822708018563e-09
6.186492389470073e-06,1.527758766487386e-09
6.3201719313914774e-06,1.4627077488026647e-09
1.1036636035024422e-05,1.644289974590632e-09
9.569191772183595e-06,1.5210548975139566e-09
9.34996481121602e-06,1.1506095183602378e-09
8.410793604808441e-06,1.7348097194677233e-09
1.0390071887390462e-05,2.3422590465547955e-09
9.28342402245885e-06,1.1797484418004976e-09
1.1198114688358118e-05,1.1006958677646713e-09
1.2148394322314702e-05,1.7794316144660024e-09
1.1195029552425721e-05,1.9169503587021015e-09
1.4925989416450451e-05,1.576181260139361e-09
1.5440099514241954e-05,1.585517340137441e-09
1.724633670785432e-05,1.8794883579298658e-09
1.885147970045948e-05,1.3956508515906072e-09
1.69260432927319e-05,1.4735752390848643e-09
1.719913256225191e-05,1.587625337213308e-09
1.3118775712514575e-05,2.2796880442724073e-09
1.6817466223972933e-05,1.33310523131124e-09
1.8077473994078626e-05,1.6331424611210982e-09
1.8988185414551685e-05,1.4023909783692045e-09
1.4627904279541315e-05,2.9780247314125315e-09
1.2714310416333816e-05,1.9523170993948537e-09
1.7758160420460216e-05,1.5950759994528984e-09
1.9270030426596982e-05,1.6768219253179538e-09
1.9618039221067184e-05,2.2852888055860848e-09
1.69852501019406e-05,1.565974718713865e-09
1.3395280862178107e-05,1.778182543533611e-09
1.568752190198388e-05,1.757332133126039e-09
1.3468383396540695e-05,2.377793360294902e-09
1.3719814445997909e-05,2.243713973877463e-09
1.094289570242597e-05,2.27150288271834e-09
1.2199307222295722e-05,2.0882726190772047e-09
1.3530857528673034e-05,1.410648165586504e-09
1.1410932565177483e-05,1.9608069653117185e-09
9.542460618812121e-06,1.7165644235161005e-09
6.1907280546354596e-06,1.4688852528415031e-09
7.91555812167292e-06,3.5066731084690726e-09
7.969234946933986e-06,2.4154848355058807e-09
8.575284186983547e-06,2.5096350295991367e-09
1.0709106591636109e-05,1.8045702297595662e-09
1.256630154418904e-05,2.0864593165516248e-09
