Sig,Std Dev
2.311729009129449e-06,1.4376936757733359e-09
2.242676305783248e-06,1.3452001848275146e-09
2.254063493214209e-06,1.3415182161961203e-09
2.219490187031828e-06,1.544432191627038e-09
2.3289352942861986e-06,1.4180407479593312e-09
2.198930214363569e-06,1.381574787540027e-09
2.2830288224686927e-06,1.3677851211014425e-09
2.0302563165358616e-06,1.3358471907647644e-09
2.178414426757114e-06,1.2872531978918176e-09
2.0967850826085994e-06,1.4256003252291553e-09
2.003497929237314e-06,1.2596882890946246e-09
2.113166660098359e-06,1.3140273374070584e-09
2.0034916506585172e-06,1.2354851768691469e-09
1.9807877542158113e-06,1.2773317496025245e-09
1.8888918220988782e-06,1.216904918184681e-09
2.074547241156476e-06,1.3594033376427382e-09
1.926903266891306e-06,1.2472938869290257e-09
1.971889946833323e-06,1.2259484143593519e-09
1.8436784433792174e-06,1.2184368578812452e-09
1.9925321811174963e-06,1.2277967371666047e-09
2.052359957896206e-06,1.2850983602987762e-09
1.9473237038078506e-06,1.2115432167906116e-09
1.996235834979463e-06,1.2204521864057264e-09
1.9625132427459466e-06,1.2895728132882942e-09
1.97167062429551e-06,1.2441154211607235e-09
1.9897171967769227e-06,1.2432276078063505e-09
1.8820305086197207e-06,1.2290476749925892e-09
1.893592343476317e-06,1.1562904428203387e-09
1.9650705826729175e-06,1.234656405448078e-09
1.933138662379129e-06,1.2233130559763197e-09
1.9726311963010525e-06,1.172542313040326e-09
2.0374567433771472e-06,1.2444672341069222e-09
1.9207011620868356e-06,1.201352919302545e-09
1.8268535989025397e-06,1.145236286018171e-09
1.948594261239513e-06,1.1644921630991958e-09
1.821671570440928e-06,1.0990858652444489e-09
1.8124480320673317e-06,1.1597102358424887e-09
1.758185849594374e-06,1.0761848559587604e-09
1.853776833269685e-06,1.1428388853808179e-09
1.8041920861118428e-06,1.1193403461334372e-09
1.7300459683375209e-06,1.163240998052111e-09
1.69402264304952e-06,1.0374760357728742e-09
1.7906289795336554e-06,1.1303663357393264e-09
1.7625539847256917e-06,1.0423412712141957e-09
1.7363470404925553e-06,9.81277876323533e-10
1.6633468175563447e-06,9.896146159706493e-10
1.6767051982315157e-06,1.0060631537957229e-09
1.6899839829291852e-06,9.97218072488039e-10
1.5472317542448096e-06,9.557344949682553e-10
1.6226663584772754e-06,9.717722325056135e-10
1.5867452714585373e-06,9.688200837414309e-10
1.5922348721944155e-06,9.884118958828993e-10
1.5243921469983527e-06,9.482709312145494e-10
1.5397327521325732e-06,9.580888325901084e-10
1.5079696225551682e-06,9.466108803325486e-10
1.505489023076243e-06,1.0091081353119899e-09
1.4549862856900182e-06,9.420251065969753e-10
1.4745767053615636e-06,8.646267508558419e-10
1.5018942122010127e-06,9.197435084492187e-10
1.485366357348002e-06,9.573927167018682e-10
1.5701103587547098e-06,9.800675139711314e-10
1.4976657071928642e-06,9.125555966419826e-10
1.4328776707764946e-06,9.200165183065301e-10
1.4692160246302253e-06,8.368931294765413e-10
1.4621393978591284e-06,9.06423970713582e-10
1.418459083587128e-06,8.704021361053409e-10
1.4602582345463478e-06,9.014711728511768e-10
1.407039119490581e-06,8.526549971831607e-10
1.5157663365012322e-06,9.355696785742367e-10
1.4441797026091142e-06,9.508395657913507e-10
1.4811421422465513e-06,9.310827247932098e-10
1.507515091380732e-06,9.110406863540009e-10
1.4489608372930414e-06,9.63888079478544e-10
1.3890068766464188e-06,9.059047588612982e-10
1.470285735187334e-06,8.947606101203732e-10
1.4013345648133355e-06,8.676980782696999e-10
1.474673898434531e-06,8.95482092953625e-10
1.4506594026862253e-06,9.352129905206841e-10
1.3857173914172349e-06,8.777537021584578e-10
1.4637665313110975e-06,9.168373526504239e-10
1.4679149748418083e-06,8.549535379803876e-10
1.5280872159557061e-06,9.40595395616153e-10
1.4803008110480635e-06,9.220468234731599e-10
1.4555098610140755e-06,9.280944787771193e-10
