Sig,Std Dev
2.274129071587201e-05,5.295493905735667e-09
1.660716314764033e-05,6.6179954201878725e-09
4.400186826145327e-06,4.171575094758951e-09
1.9127747553842794e-05,1.1754318667805363e-08
2.89930813999179e-05,6.1706583015285724e-09
3.027580716342528e-05,5.106534968438553e-09
2.904941235545178e-05,5.694775514046184e-09
2.8440122331765288e-05,5.3755488682288155e-09
2.868303455619545e-05,5.465343549702578e-09
2.5160608082001e-05,4.590069061496591e-09
2.346677687900327e-05,5.954898510713816e-09
2.7395026814567295e-05,5.945930860895978e-09
2.7297328186641918e-05,5.740649314913113e-09
3.073606710469113e-05,6.277746668514622e-09
3.129107299652606e-05,5.0532942864307036e-09
2.5907319498289653e-05,5.3961585494290916e-09
2.6874010153972526e-05,5.292791518755618e-09
2.5413112670424608e-05,5.294446038075401e-09
2.1534610000264772e-05,5.878502931733422e-09
2.2884318758119248e-05,7.089964863884268e-09
3.134061435128944e-05,5.21985242973378e-09
3.063322104402744e-05,5.171992816676317e-09
2.803798769105699e-05,5.2983299149232935e-09
2.8665821919449145e-05,4.4516853988115794e-09
3.175491652417968e-05,5.9981647980985986e-09
3.329365646521717e-05,5.498834766061262e-09
2.9277814163708068e-05,5.850166763508609e-09
2.5105864480799832e-05,5.649564305962316e-09
2.206172821588701e-05,7.777143844356333e-09
1.5416672750791682e-05,6.0061726577013945e-09
1.328337158649411e-05,6.1647501202061925e-09
1.3540791634165046e-05,6.052380190842339e-09
1.7916865860253714e-05,5.933376418470648e-09
1.9735547939433e-05,6.29906855625777e-09
1.0866483604320152e-05,6.134647008312972e-09
1.5748966215780828e-05,6.512131664435752e-09
1.28693000034374e-05,5.143536676687272e-09
1.0519418850465962e-05,6.704355058677407e-09
2.0698967797351303e-05,6.86435523114613e-09
2.941140845585163e-05,6.766124654857871e-09
2.7820042097269e-05,6.075953620912172e-09
3.2348583423362264e-05,5.929245609634091e-09
3.33309523692249e-05,5.388482424763137e-09
3.281642019767982e-05,5.82543199259891e-09
