Sig,Std Dev
2.2846052969879808e-06,1.4220406701159776e-09
2.350301566202805e-06,1.416519889628169e-09
2.2017946937275064e-06,1.4407260291395452e-09
2.4075880929535177e-06,1.439989008733969e-09
2.2662786119978957e-06,1.431593618243612e-09
2.199677605872766e-06,1.3846478489670705e-09
2.1989119550678017e-06,1.4023773311657576e-09
2.383235483815538e-06,1.384898762758055e-09
2.2266296626296333e-06,1.3474773822174236e-09
2.070625575524621e-06,1.2578769807953242e-09
2.2484321155494843e-06,1.3618117895332737e-09
2.1819818609389948e-06,1.3712402933005178e-09
2.103301396005576e-06,1.3234192584715203e-09
2.0003055059128954e-06,1.1613822220659511e-09
2.0498824291681853e-06,1.2138763782269005e-09
2.021783297511177e-06,1.267931700250992e-09
2.0636842704369743e-06,1.2380694748465e-09
2.033307775700729e-06,1.2975444535497486e-09
2.0594324085810205e-06,1.2555706656583067e-09
1.902521607379267e-06,1.1712032899432685e-09
1.8926099038246526e-06,1.1247748010319884e-09
1.969984176232831e-06,1.1985099015368e-09
1.9318171682864643e-06,1.1878443557199538e-09
1.9368409013748047e-06,1.219244517064989e-09
1.9063383302766981e-06,1.136329033804343e-09
1.9762053003242167e-06,1.1245098129270829e-09
1.9044708639713147e-06,1.1668125637191577e-09
1.9035690658561436e-06,1.1233089384828649e-09
2.0184207628496644e-06,1.2997591144266343e-09
1.8603222230260791e-06,1.216369624041524e-09
1.8209474548005886e-06,1.13681761443679e-09
1.8928753873126198e-06,1.2473646886741814e-09
1.8226033184854821e-06,1.1382888125378303e-09
1.868502545395131e-06,1.0957033080632696e-09
1.9053547112797834e-06,1.1656094742937076e-09
1.9483436726287276e-06,1.2169730412701382e-09
1.8051671402993153e-06,1.0823980579388063e-09
1.7764958982330471e-06,1.1473142365730045e-09
1.8410482063060432e-06,1.0763314367351282e-09
1.824093578366117e-06,1.1341873087162118e-09
1.7713729162849473e-06,1.0446094553277105e-09
1.7684721657056378e-06,1.033991039483479e-09
1.7289493444358475e-06,1.05255641720713e-09
1.7173519815790066e-06,1.01229632558842e-09
1.6175217375817966e-06,1.0001000483827406e-09
1.6091192675518094e-06,1.0541663838930622e-09
1.6269161827239528e-06,9.580135849073111e-10
1.6376700615303923e-06,1.0048593695258382e-09
1.5963116145572264e-06,9.68647550443911e-10
1.6053823959172087e-06,1.0431002906107336e-09
1.6660539382092252e-06,1.0220553319388625e-09
1.4717191010195865e-06,9.135454524437458e-10
1.5773383652643241e-06,9.17771603008423e-10
1.589336499383139e-06,9.309520257770449e-10
1.504316780890206e-06,9.634585075317217e-10
1.487503566450252e-06,9.210060200147911e-10
1.4746456160401014e-06,9.00058759546268e-10
1.5579793222225324e-06,9.118331823941603e-10
1.4290900331201732e-06,8.694109858383803e-10
1.4860843347256042e-06,8.901873268485297e-10
1.3745394392451813e-06,8.062177898139883e-10
1.4305343003225978e-06,8.345782491742041e-10
1.4340728934636847e-06,9.250794709289298e-10
1.4294759030113079e-06,9.055035297849406e-10
1.428612661059841e-06,8.213242953434971e-10
1.4355411330601435e-06,8.859111931113759e-10
1.4114337716589744e-06,8.697960978161745e-10
1.4353153636428908e-06,8.580009176226451e-10
1.401647142455196e-06,8.689194457907257e-10
1.3691587108800534e-06,8.517333404663477e-10
1.4184482188411944e-06,8.630157678262121e-10
