Sig,Std Dev
2.317941727890347e-06,1.4324478925635593e-09
2.393171673617074e-06,1.5690004521824672e-09
2.333340432143649e-06,1.340730231706498e-09
2.2062497757130005e-06,1.2587587821722524e-09
2.259076187378564e-06,1.4197110679869485e-09
2.2260135801972516e-06,1.3605079943592443e-09
2.1532851424467657e-06,1.3149619669169985e-09
2.225016394654404e-06,1.3455388379465916e-09
2.173401864971779e-06,1.3389587283837143e-09
2.3018432004391643e-06,1.3418365154543489e-09
2.1190834929677275e-06,1.2669560650637497e-09
2.0551425609782327e-06,1.2420719417461524e-09
2.036158333499879e-06,1.264870009349492e-09
2.0555495698246566e-06,1.25908734429182e-09
2.091725070876421e-06,1.273919387700753e-09
2.1526995478130245e-06,1.2829771096031955e-09
2.022958138200451e-06,1.3006188052780857e-09
2.0197947392459362e-06,1.2587040973622286e-09
2.117584669024769e-06,1.3057237080513785e-09
1.982648071324251e-06,1.275079977783142e-09
1.910613772550216e-06,1.1323449986534765e-09
1.9060497698917593e-06,1.2835885365286326e-09
1.906372934329098e-06,1.1408262235265832e-09
1.991238200234152e-06,1.2218325967909765e-09
1.943588541316675e-06,1.2473939126551642e-09
2.0344955002482556e-06,1.2305726494518731e-09
1.9811785260175895e-06,1.1855879986246342e-09
1.906375518248656e-06,1.0898973245720258e-09
1.9957055277406736e-06,1.2424630713210847e-09
1.932874818037632e-06,1.2439739512317958e-09
1.916192432473156e-06,1.1220577806933562e-09
1.8551757888963378e-06,1.1003458839731037e-09
1.8911606137041732e-06,1.1990070911927157e-09
1.961217285582379e-06,1.2255157996172993e-09
1.7893797378692407e-06,1.0778904075976732e-09
1.8176896538016778e-06,1.1345895001272613e-09
1.8704708521725337e-06,1.125719001411011e-09
1.7960279826708674e-06,1.0624137184582928e-09
1.8569944677078761e-06,1.1069787821136969e-09
1.7896154916612453e-06,1.0840203604812019e-09
1.7724783591190212e-06,1.0902691641577466e-09
1.7585481588244176e-06,1.085964505694586e-09
1.790666867643852e-06,1.0767423402894804e-09
1.7107410731018502e-06,1.0884070993187643e-09
1.7388410536775598e-06,1.0337416157807746e-09
1.636508321712009e-06,1.075566476180825e-09
1.5987493854501871e-06,1.0019091517170386e-09
1.6872249081360583e-06,1.0690579244882016e-09
1.6038575366633277e-06,1.0517173401492773e-09
1.551561297692842e-06,9.909384529454008e-10
1.6285946347814622e-06,9.819145327603107e-10
1.5402153889393301e-06,9.598395920362233e-10
1.5552983184761022e-06,9.547400352135127e-10
1.4849178959155846e-06,9.349008180272517e-10
1.4755018721542063e-06,1.0018694478661776e-09
1.4795960712756013e-06,9.011728690531175e-10
1.5670527064121975e-06,9.77416199919588e-10
1.5578174498833768e-06,9.255428742204907e-10
1.4270958789748688e-06,8.642866718454015e-10
1.44437993026103e-06,9.157139052322417e-10
1.5061752357721486e-06,9.358449601132796e-10
1.4905313071593573e-06,1.0074785954790798e-09
1.5093947300642655e-06,9.333079366409975e-10
1.3985080410673977e-06,8.453823600375501e-10
1.5159507124618027e-06,9.468893413406753e-10
1.4487052246056469e-06,8.892556294511306e-10
1.484214297378522e-06,8.909007596734399e-10
1.4013881156810734e-06,8.586915639362557e-10
1.415345847544127e-06,8.752186061968716e-10
1.426881866887858e-06,8.525043609713394e-10
1.5034878606339928e-06,9.167337268051705e-10
1.5049500448908657e-06,8.702128857302389e-10
1.4701209943080344e-06,9.33548383039481e-10
1.5252230911214379e-06,9.234018896793965e-10
1.4467954317301798e-06,8.748554361919706e-10
1.5407212261916423e-06,9.111155720483723e-10
1.455393271787794e-06,9.151898774482968e-10
1.6069355114843836e-06,9.650857243515232e-10
1.5292676510985599e-06,9.692708148930744e-10
1.5226124108561832e-06,9.481121290935334e-10
1.5208743054354276e-06,9.187815577882618e-10
1.5576876436017177e-06,9.60437061028951e-10
1.5009483286705857e-06,9.622332389503862e-10
1.5060562408799465e-06,9.626570785256267e-10
1.5440490512460429e-06,9.454306267886733e-10
1.5377555514328986e-06,9.239585358234192e-10
1.5293821733671385e-06,9.254683402345331e-10
1.5167729616031384e-06,9.572869687005035e-10
1.5414327556667027e-06,9.352938358673417e-10
1.5950188287446024e-06,9.810702241588765e-10
1.5902723678942608e-06,9.470469906835672e-10
1.5226283719037593e-06,9.152206875054015e-10
1.5356049391354202e-06,9.673095620595328e-10
1.512860276306214e-06,8.976191322340264e-10
1.649092678119681e-06,1.063850683343314e-09
1.5687277046459156e-06,9.681890364889928e-10
