Sig,Std Dev
3.330073652670258e-06,1.8914180305768338e-09
3.3369993822594484e-06,1.9237398446249367e-09
3.2895905576027573e-06,1.99717328866e-09
3.3210216130754736e-06,1.9558415260768033e-09
3.371596753485983e-06,2.0610558358899997e-09
3.1269218232882188e-06,1.9291479319814783e-09
3.1703252667172496e-06,1.9426014699849147e-09
3.245960289538116e-06,1.9976750579174198e-09
3.5023262050197117e-06,2.0519046798170757e-09
3.4537879004762227e-06,2.106562195727019e-09
3.397784439463692e-06,2.146167481400242e-09
3.1691775801682102e-06,1.925145220868808e-09
3.3654460740306656e-06,1.9472376436786656e-09
3.139456317437442e-06,1.947320056997798e-09
3.1027123799125138e-06,1.822828282632455e-09
3.088630016663061e-06,1.8070495285407044e-09
3.0628788412510467e-06,1.8369329131878661e-09
3.2299456208805645e-06,1.9170045812679215e-09
3.037532075686032e-06,1.7328638148624747e-09
3.0843406531231398e-06,1.8727209004538293e-09
3.2881154199332906e-06,2.127474727816599e-09
3.322421241087115e-06,2.061496065888553e-09
3.5930023550459743e-06,2.059847974860565e-09
3.7612062365129117e-06,2.447869193402997e-09
3.6733338116071003e-06,2.2544669602888458e-09
4.151840906721649e-06,2.4630428068455005e-09
3.858540712062537e-06,2.3537267505810668e-09
4.176662086674449e-06,2.4854958224322325e-09
4.0646081849130414e-06,2.424587424334187e-09
4.22746734662513e-06,2.5607107709044197e-09
4.26482775482614e-06,2.5646115678498177e-09
4.024742659279102e-06,2.4284061460400712e-09
3.946454915440222e-06,2.3963843663911402e-09
3.7714024227315672e-06,2.2247120281604392e-09
3.6353261454879795e-06,2.221013671309517e-09
3.7763138909301133e-06,2.282835213135878e-09
3.6495326536439103e-06,2.224427003444894e-09
3.910379597687174e-06,2.4347558647067186e-09
4.008904604655065e-06,2.5708718964259768e-09
4.0549040789780195e-06,2.354687981990235e-09
3.7305980227246034e-06,2.3442925264358904e-09
3.969578557448398e-06,2.395768505727047e-09
3.4730555918506563e-06,2.186009278975119e-09
