Sig,Std Dev
6.4738123252113825e-06,3.889453710203009e-09
6.276892537220965e-06,4.06481050746901e-09
6.633026549669458e-06,3.9699611839525135e-09
6.373177498466592e-06,3.959126436360588e-09
6.575262352113431e-06,4.1957094110615695e-09
6.633602985486375e-06,4.1487345676011166e-09
6.1967736428422536e-06,3.986537989998605e-09
6.220936493099874e-06,3.656430526710945e-09
6.423546261200465e-06,4.1232185703516425e-09
6.572072868931037e-06,3.985281316004428e-09
6.5932346646383505e-06,4.0526921104640765e-09
6.295671114216338e-06,3.7083151986229176e-09
6.363349042609599e-06,4.058835034295958e-09
6.795382037872956e-06,4.161065331295021e-09
6.533913658125284e-06,3.932547554662937e-09
6.512261398107653e-06,4.2054725481375734e-09
6.80528983638575e-06,4.269658962720189e-09
6.554349884643076e-06,3.902713904448223e-09
6.8012755360838366e-06,4.114577415634143e-09
6.3719690911388956e-06,3.999310908969051e-09
6.676508519774177e-06,4.199037020994171e-09
6.723407576854501e-06,4.172318843652558e-09
6.73768113716655e-06,4.16992622541929e-09
6.844806579846334e-06,4.113648465468911e-09
6.301154469866474e-06,4.064595754085627e-09
6.45995895989493e-06,4.135912752005271e-09
6.516513094146125e-06,4.141604304982172e-09
6.58309697490461e-06,3.997528141426952e-09
6.553467007947308e-06,4.168641824348211e-09
6.312278852843972e-06,3.9425478709995655e-09
6.706706724706739e-06,4.19001505340715e-09
6.6645228289560695e-06,4.467851899653896e-09
6.6961516930818746e-06,4.352226598035943e-09
6.519853064768851e-06,4.0385935777367995e-09
6.638735896065551e-06,4.2627034350384844e-09
6.719289284225882e-06,4.184034212249922e-09
6.63307329366636e-06,4.113928562550679e-09
6.542683387860088e-06,4.020150045054442e-09
6.836339582354468e-06,4.4936581818099995e-09
6.546977984384537e-06,4.139772438986441e-09
6.893009653963636e-06,4.445156551150199e-09
6.44507025139856e-06,4.063942158981961e-09
6.651752997503076e-06,4.0722775184936136e-09
6.6382980535342585e-06,4.0502944646620976e-09
6.675123660891656e-06,4.279414114534789e-09
6.613338360676638e-06,4.177928445376392e-09
6.810708786765427e-06,4.03171663280106e-09
6.725615591159386e-06,4.279539774696391e-09
6.463515710526224e-06,4.03983007253114e-09
6.440705414067661e-06,3.979090112088002e-09
6.1699806454006815e-06,3.613918643270221e-09
6.627943283203895e-06,4.130367790663084e-09
7.032746201075761e-06,4.422250047399448e-09
6.406490673098909e-06,4.0210519939024366e-09
6.373160535469623e-06,3.879745000280699e-09
6.299233042930494e-06,3.697576117961553e-09
6.689593355817362e-06,4.054226169078542e-09
6.27183854922764e-06,3.827837881881765e-09
6.6019462335115145e-06,4.195389453200485e-09
6.183158707066419e-06,3.6569440338260515e-09
6.370856485854593e-06,3.977390967208928e-09
6.329912078066732e-06,3.5670810541652804e-09
6.242454482844215e-06,4.187974301608311e-09
6.386996701922022e-06,3.6164144272366696e-09
5.8865504304418645e-06,3.644969414341887e-09
6.233740506190012e-06,3.888131582517622e-09
6.16739878622059e-06,3.733434589447846e-09
6.177853353159747e-06,3.7484156632529555e-09
6.0648626610347336e-06,3.738904004637505e-09
5.6757319890679266e-06,3.612011942918824e-09
6.404009818436061e-06,3.72589962426232e-09
6.433742815074869e-06,3.978471785194835e-09
6.5420733541108446e-06,4.124003367691027e-09
6.08988924031171e-06,3.5896836604450225e-09
6.6234446976892974e-06,3.96102869913802e-09
5.906746684453599e-06,3.6981719148927476e-09
6.087294034916604e-06,3.764382317022743e-09
5.6924524515335974e-06,3.4579704614273797e-09
5.865628057446286e-06,3.794143013222954e-09
6.515599183102532e-06,4.0403631142374816e-09
6.261142964446131e-06,3.969866273926315e-09
6.3369745203180545e-06,3.784035427592532e-09
6.765416209288435e-06,4.085309108578459e-09
6.383610045417029e-06,3.849571300943226e-09
6.510573643589755e-06,4.079011823520134e-09
6.48749639477028e-06,3.980989400596401e-09
6.659459353723512e-06,4.23891923613348e-09
6.460445875691756e-06,4.066859817334542e-09
6.779378251017127e-06,4.361695914083518e-09
6.7137021809945815e-06,4.082100564195866e-09
6.598062513065112e-06,3.981495808759411e-09
6.341015013422384e-06,3.751321180072625e-09
6.541866991717295e-06,3.956269381913065e-09
6.536133804793997e-06,4.094786419791192e-09
6.1211844886587794e-06,4.094284953086813e-09
6.489071270510193e-06,4.136121516564107e-09
6.605812294569976e-06,4.139248979886032e-09
6.704435515190179e-06,4.13716220697193e-09
6.756235681910206e-06,4.098099597148227e-09
6.61191982513281e-06,3.9433802840392066e-09
6.6638195876625446e-06,4.2360702768098525e-09
6.548498980043604e-06,4.155286041970089e-09
6.443646160212027e-06,4.090215915135089e-09
6.655965081065894e-06,4.164867369316973e-09
6.5432559991610166e-06,4.1485474920952025e-09
6.655254512910303e-06,3.987311073201538e-09
6.7060597757617676e-06,4.021304507119638e-09
6.570197887097749e-06,4.1565720915125815e-09
6.4619716743817904e-06,3.923079813931337e-09
6.341536121489815e-06,3.886515956905562e-09
6.516192190952324e-06,3.818061622653714e-09
6.137161793669201e-06,3.652038980805217e-09
6.144266475731205e-06,3.744644978686057e-09
6.066341239688258e-06,3.6810536637147316e-09
6.221381261596055e-06,3.7994737169310184e-09
6.133798260771977e-06,3.758786464290701e-09
6.1682248158257415e-06,4.014636684403765e-09
6.154079815705252e-06,3.72436387387875e-09
6.23851292554356e-06,3.975316445212249e-09
6.05240176148092e-06,3.866687330620866e-09
6.648639776316992e-06,3.9828783088309935e-09
6.574685192793788e-06,4.067561618137315e-09
6.72893125100956e-06,4.137015017018881e-09
6.738454190827553e-06,4.222127720312224e-09
6.509989485955101e-06,4.10266264953434e-09
6.23265048875522e-06,4.038547666387749e-09
6.4856327558466905e-06,4.164414645613453e-09
6.583205194046175e-06,4.058633633185045e-09
6.679729002033968e-06,4.156629502912348e-09
6.139153288693133e-06,3.910510402563936e-09
6.327124699588819e-06,3.912003068918974e-09
6.393535951960078e-06,3.6568143745276423e-09
6.521849130822315e-06,4.256006285870213e-09
6.500961371396451e-06,4.0045308648897915e-09
6.598016928203117e-06,4.105244346437412e-09
6.93053720688003e-06,4.250452090644766e-09
6.9770681546448775e-06,4.459420777342058e-09
6.494648253083288e-06,4.24147676544293e-09
6.824128074135579e-06,4.271891231523155e-09
6.807422326408163e-06,4.169855653128792e-09
6.685324839405472e-06,4.316306785374437e-09
6.514608133104586e-06,4.074397221955373e-09
6.225039015070681e-06,3.969770073075098e-09
6.868839131203595e-06,4.328123664286976e-09
6.408924712614742e-06,4.190028790478259e-09
6.174007605661769e-06,3.844236131831396e-09
6.382097734649295e-06,4.027397887509929e-09
6.353892764020301e-06,3.8541870257322416e-09
6.439140479959255e-06,4.03813268487364e-09
6.398214068974228e-06,3.9814458971537725e-09
6.41784621017882e-06,3.779050597144668e-09
6.108559079661717e-06,4.076320393438359e-09
6.397293250628198e-06,3.926095422140504e-09
6.102501725813152e-06,3.899980200500205e-09
6.627767376291958e-06,3.939892165205295e-09
6.600839414519147e-06,3.9959408618460015e-09
6.739475625954613e-06,4.143724766256177e-09
6.6661631690584075e-06,4.08897780463621e-09
6.375150911461802e-06,3.938683605736061e-09
6.821293952014125e-06,4.531591275047257e-09
6.654058957768207e-06,4.095175548667193e-09
6.844575341871008e-06,4.480063592305038e-09
6.548346587905545e-06,3.980512432932057e-09
6.523544481323922e-06,4.021159200244252e-09
6.574144173186717e-06,4.031128403894367e-09
6.65610777343876e-06,3.949478444512065e-09
6.654423125311308e-06,4.208338780946428e-09
6.871326176992944e-06,3.919578703661295e-09
6.383297392773268e-06,4.028506396974822e-09
6.853744897034803e-06,4.237167778362207e-09
6.9137623720123845e-06,4.24177895745177e-09
6.5765741575719954e-06,4.1905504936554965e-09
6.759473679448815e-06,4.243291133319048e-09
6.970304369874989e-06,4.189228271611047e-09
6.45139628061659e-06,4.120353977856573e-09
6.7644780818181e-06,4.120921958900648e-09
6.7393551693909655e-06,4.481240175362543e-09
6.445867368622705e-06,3.91829611240402e-09
6.384429990310004e-06,4.13536292277908e-09
6.705665218419303e-06,4.213298421286873e-09
6.424028052798868e-06,4.126068997940554e-09
6.834603563393606e-06,4.376655722170559e-09
5.877655519390392e-06,3.784514145814478e-09
6.84551750691069e-06,4.304043299986788e-09
6.392375279507455e-06,4.143995615857899e-09
6.497672958980428e-06,4.0378223812747294e-09
6.703676633974204e-06,4.069006610812777e-09
6.1925173519964135e-06,3.8976115654187895e-09
6.847660812212207e-06,4.3414422627864174e-09
6.244454725861899e-06,3.907923741644806e-09
6.793756208196732e-06,4.198857596668412e-09
6.3864066082958786e-06,4.063132679977196e-09
6.388832823844232e-06,3.988882109128284e-09
6.546334089995312e-06,4.1897619169908655e-09
6.606874107699797e-06,3.768878674294161e-09
6.301622126369079e-06,3.872571914648476e-09
6.302612930897092e-06,3.811227524738217e-09
6.42610691578432e-06,4.000267520680559e-09
6.645724573076655e-06,4.183519082684965e-09
6.6354851927170014e-06,4.021317195915041e-09
6.018412456789395e-06,3.82900400616398e-09
6.26237243806312e-06,3.790816701787576e-09
6.03037406772918e-06,4.013555731698107e-09
6.020027079885364e-06,3.597419606858886e-09
5.933497875022664e-06,3.660369849105001e-09
6.0495981195785685e-06,3.703401644818993e-09
6.4312813240947705e-06,3.823172340526772e-09
5.97068610351034e-06,3.778479509989671e-09
6.1513569874602184e-06,3.860339231297712e-09
6.3355276464141e-06,3.909424229202833e-09
6.120535922878203e-06,3.714527389708373e-09
5.958311980505194e-06,3.676189483257512e-09
6.0588182233863665e-06,3.7908261932169956e-09
6.28116848749668e-06,4.069659666910673e-09
6.221658114753451e-06,3.752596821425125e-09
6.277030307321364e-06,3.741600331669608e-09
6.348407127773549e-06,3.830002953692076e-09
5.9715645541939245e-06,3.731646255973507e-09
6.030292930545701e-06,3.690753490234785e-09
5.88122286997797e-06,3.6312128699546975e-09
