Sig,Std Dev
5.987680143405264e-06,3.80518596738645e-09
6.092491305148276e-06,3.820391234616429e-09
5.664976672223395e-06,3.5777316016318647e-09
5.810982544297241e-06,3.4855397442651066e-09
5.949275871508111e-06,3.493580255594548e-09
5.84694535289122e-06,3.801654944148509e-09
5.931374552535797e-06,3.791836138624356e-09
5.943866758800266e-06,3.8065691752615555e-09
6.098414901500795e-06,3.728694863328168e-09
5.910672243809094e-06,3.5477933770102177e-09
6.09587416248156e-06,3.824478344750913e-09
6.352996043501613e-06,3.84725460886717e-09
6.200153576048354e-06,3.842461067908098e-09
6.239630216482867e-06,3.6804526935188973e-09
5.846505047322251e-06,3.594661965470034e-09
6.178708586518052e-06,3.952448682789916e-09
5.8085978185719845e-06,3.583620832537627e-09
6.023555723880738e-06,3.6565138348023626e-09
5.9403455556095815e-06,3.762136368215236e-09
5.749353185724255e-06,3.5921147113744607e-09
6.09009029212107e-06,3.7560567738238155e-09
5.942151931152868e-06,3.6988239615604916e-09
5.754243173756778e-06,3.7202621056474317e-09
6.086574873657032e-06,3.6988317721537272e-09
6.326391504758698e-06,4.050387311833312e-09
5.877050969483881e-06,3.802876294276883e-09
5.8993871540706735e-06,3.949743845763997e-09
5.862650881352697e-06,3.5483380080219475e-09
5.8201845893949195e-06,3.804747683548988e-09
6.139891778283637e-06,3.843155821003484e-09
6.321351845756907e-06,3.886056859864563e-09
6.215217890862246e-06,3.675193563845488e-09
5.897468034966514e-06,3.4701205905934028e-09
5.9878786013331335e-06,3.674462671519662e-09
6.178680088434735e-06,3.6492130590784977e-09
6.160980917249433e-06,3.6452514231208455e-09
5.831472151000643e-06,3.6230898509921888e-09
5.890690160213203e-06,3.614129245865e-09
5.631892945858738e-06,3.720242832572515e-09
6.004235495532238e-06,3.6918486442755795e-09
5.896248170236452e-06,3.755224334736776e-09
6.10110856815131e-06,3.7296167836308124e-09
6.0390244367721495e-06,3.7967579387595136e-09
5.941811494841563e-06,3.6714370444470544e-09
6.154829193397689e-06,3.781555870718006e-09
6.140250720105847e-06,3.5933240352245725e-09
5.797698161423644e-06,3.4892279534913554e-09
5.986767258292484e-06,3.74310560658052e-09
5.989527206060458e-06,3.6049194046961945e-09
6.036492105993109e-06,3.658604465456478e-09
5.958719757752913e-06,3.575389451615141e-09
6.044619777665685e-06,3.8119133238727924e-09
5.925809558010831e-06,3.789382325693851e-09
