Sig,Std Dev
7.442062533736025e-06,4.860225447517413e-09
6.974940087280313e-06,4.102908642346226e-09
6.802048312591485e-06,4.085830542944597e-09
7.468772158314401e-06,4.6475844456125815e-09
7.231057932774082e-06,4.769162998657825e-09
7.305075146273644e-06,4.566936127901788e-09
6.983319746967344e-06,4.530907155510938e-09
7.047290841963742e-06,4.699368103455243e-09
7.289612416975815e-06,4.4031869577692234e-09
7.258353512931894e-06,4.50616500641543e-09
7.384518377452103e-06,4.526225394349116e-09
7.079831809454839e-06,4.37568019615346e-09
7.1230565837915576e-06,4.387245896228298e-09
7.0849245835139335e-06,4.2609629769566265e-09
7.19102576838796e-06,4.414222662313588e-09
7.066045887746673e-06,4.431127917403665e-09
7.000800506103296e-06,4.5096056511479095e-09
7.411611806927769e-06,4.5984855136179225e-09
7.438203386212579e-06,4.692747830625649e-09
7.124283732685777e-06,4.717085109234492e-09
7.336172343079447e-06,4.516955728797077e-09
6.987123185353878e-06,4.487238355182064e-09
6.981226385463844e-06,4.341595135186908e-09
7.389016638798279e-06,4.487987170008735e-09
6.873588007184848e-06,4.366580606497991e-09
7.388160610177403e-06,4.395360146803256e-09
7.099706635967275e-06,4.577610271538605e-09
7.394422842437378e-06,4.594177422358317e-09
7.3943444328936485e-06,4.583557723761213e-09
6.991049050182677e-06,4.281526616011896e-09
7.256983152669581e-06,4.6675372040561245e-09
7.027071421976549e-06,4.457927134081968e-09
7.518624435869594e-06,4.932256149854426e-09
6.908766682501044e-06,4.706679347239845e-09
7.815321593008202e-06,5.043944723233763e-09
7.244019752134202e-06,4.629514558624839e-09
7.850969785545269e-06,5.07409325867765e-09
7.718153451706384e-06,4.839506778791647e-09
7.151961824082029e-06,4.476336743589425e-09
7.3891754402451374e-06,4.6116094444871165e-09
7.5556020016243625e-06,4.534799862735411e-09
7.329430369621212e-06,4.875488749860888e-09
7.3317038965392425e-06,4.534489114848919e-09
7.101681525690425e-06,4.847744671725942e-09
7.045651508354642e-06,4.225905482609529e-09
6.763150810173101e-06,4.2341329745823605e-09
7.339598110888302e-06,4.63883418455385e-09
7.178339203642315e-06,4.251011884195582e-09
7.43682708304253e-06,4.566535838251004e-09
6.7707930094928885e-06,4.216972181681368e-09
