Sig,Std Dev
5.3753435674253175e-06,4.291978286510002e-09
5.1480025763838776e-06,4.4035126114111594e-09
5.522949161062178e-06,5.572436146044613e-09
5.2185504100675125e-06,4.7588535028238096e-09
5.1292085563108e-06,4.863187000961269e-09
5.5713881895123905e-06,5.448543782821907e-09
5.175101772886933e-06,4.5444235918079864e-09
5.466000487963553e-06,4.9245839771040096e-09
5.39415878197071e-06,5.469404592923388e-09
5.369911691052573e-06,4.6973506052116414e-09
5.604627009699939e-06,4.908030376811328e-09
5.43352365591049e-06,4.781287153055188e-09
5.281248179563622e-06,4.343937183828773e-09
5.7565580413213175e-06,4.871792538471837e-09
5.041246133154616e-06,4.709537913980205e-09
5.623300864580362e-06,4.894254395981472e-09
5.84364847345919e-06,4.837320705369255e-09
5.082869849864181e-06,4.150633870121751e-09
5.430246208966666e-06,4.623406364053168e-09
5.680543765073037e-06,5.547400557034484e-09
6.228210567074577e-06,6.0908459412960055e-09
5.582990106014549e-06,5.002177741282228e-09
6.43526998710985e-06,5.381608508066657e-09
6.212029954856823e-06,5.8255702868065584e-09
6.312360896089313e-06,5.5093243359035436e-09
5.961557527286901e-06,4.927576292385888e-09
6.283459767281333e-06,4.984479465159361e-09
6.57665113656914e-06,5.414098695374343e-09
6.886992192736537e-06,5.9428146989435956e-09
7.347423238250583e-06,6.0664239815112674e-09
8.260485904392176e-06,5.9889485145414315e-09
9.912360840292248e-06,7.362267827038574e-09
1.11981051328234e-05,7.196273707502646e-09
1.5029648693172135e-05,9.067991540636322e-09
1.6724788679728484e-05,9.457382889630496e-09
1.916492322221702e-05,8.913303626748382e-09
2.2434668973232674e-05,1.0361740626769128e-08
2.558713031658479e-05,9.689800000551257e-09
2.7458058914985284e-05,9.453943082489281e-09
2.7596079193757822e-05,1.060478028927735e-08
2.3294561433940758e-05,9.982959009093365e-09
2.3717349893768893e-05,1.0555434263803341e-08
1.7687365573289646e-05,1.0640083843453544e-08
1.5445811590487763e-05,1.061320110193618e-08
1.2808413144506074e-05,9.714554335281124e-09
1.1030202554124607e-05,8.829286312693797e-09
9.220264541546715e-06,8.039271379988955e-09
1.0736821089649596e-05,9.158837570169198e-09
9.947127465955639e-06,7.824966937043423e-09
9.07375512384772e-06,7.985243497492971e-09
8.796586404645952e-06,7.753481939392222e-09
8.46242707907279e-06,7.1817972005557265e-09
8.318595132746573e-06,6.7007326005860325e-09
8.40331881967658e-06,6.7599195161056795e-09
9.83148107931815e-06,7.546347309347368e-09
1.2246055647077604e-05,1.041469100088406e-08
1.1210294003259542e-05,8.653095887408154e-09
1.1583266325361325e-05,8.938461879867162e-09
1.0079880151513334e-05,7.990091841426803e-09
7.832016431055087e-06,7.013395409217592e-09
8.117990996635788e-06,6.70722121304259e-09
9.700159750834233e-06,7.555077593022697e-09
1.1267912656009745e-05,7.979361932866607e-09
1.0636893625882215e-05,8.121360061243264e-09
1.1687572281403744e-05,7.930017506177614e-09
1.225706652322451e-05,6.952623235118561e-09
1.0222501833544519e-05,7.002453576284668e-09
9.70574309843244e-06,7.036131589635575e-09
9.036958157521965e-06,6.1589245393906574e-09
9.283104733970407e-06,6.42322265410214e-09
7.3910082439012214e-06,5.677424445282275e-09
8.371340745749659e-06,6.080498990919545e-09
8.711481288029736e-06,6.9150236450064665e-09
7.156029353846576e-06,5.780996170899597e-09
7.318730594752084e-06,6.3878215437345255e-09
7.284571604360226e-06,6.122156739124582e-09
6.221825659800348e-06,5.215427281425793e-09
5.710110318609392e-06,4.779337510022062e-09
5.593939141594713e-06,4.571027852720892e-09
5.632771918100398e-06,4.649517889727722e-09
5.690380053574672e-06,4.8473247458486556e-09
5.600439985830057e-06,4.9218683510673264e-09
5.636984378793873e-06,4.449867455139102e-09
5.241377133510679e-06,4.828801798934972e-09
5.297137568336961e-06,4.542712491507374e-09
5.481842060250964e-06,4.784227470486343e-09
5.309255316166877e-06,4.6458067078602485e-09
5.943717913636859e-06,5.185555023119408e-09
6.6213933245610515e-06,5.1939699224457126e-09
6.8198588010636855e-06,5.354652107277163e-09
6.548505471239165e-06,5.516379151230365e-09
5.944872582666369e-06,4.9079927371098354e-09
6.6011013822319154e-06,5.359307140013017e-09
8.555562444455046e-06,6.281492633930372e-09
8.542809844650942e-06,6.7323896526729345e-09
8.584988100315125e-06,6.160947718136749e-09
8.16278971186113e-06,6.791098514411232e-09
8.26848340354442e-06,6.7273843236930895e-09
8.474618887185153e-06,6.807928339534626e-09
7.627843086872187e-06,6.900375337010456e-09
7.4348187185967295e-06,5.7680027995310515e-09
6.704957152289675e-06,5.2580807511378605e-09
6.5377941894111925e-06,5.58706901984906e-09
6.869543694027217e-06,5.397443550141769e-09
5.775111412456722e-06,5.203089076400734e-09
6.515366350049753e-06,6.104801063619138e-09
7.012564524591092e-06,5.367027133424507e-09
6.310652777620835e-06,5.104248585372691e-09
5.998321471721508e-06,5.632311258375156e-09
6.6365661315820135e-06,5.992890853895609e-09
6.2769008805954606e-06,5.517339015573173e-09
8.89436064395206e-06,6.291529482965243e-09
1.2182010035102684e-05,7.570503567081336e-09
1.4983410867515312e-05,7.048468142769977e-09
1.7124818324099768e-05,7.916251529118859e-09
1.559566345913647e-05,8.587638639144352e-09
1.298373508198474e-05,8.537677548331346e-09
1.1866018632920886e-05,7.912610480942883e-09
1.3584742275375545e-05,8.662759123194835e-09
1.0132375078784913e-05,7.795051941768941e-09
9.242967024693012e-06,7.991349469868928e-09
7.959970830117567e-06,6.7411156672216376e-09
8.302570940212328e-06,7.399568264745601e-09
8.1794681933528e-06,7.218530317322499e-09
7.539110892386898e-06,6.150262527399426e-09
7.973583661476893e-06,6.9981650634374875e-09
9.559499078183746e-06,8.549524405629923e-09
9.893230446949881e-06,8.396031522036353e-09
1.3209466638451943e-05,9.089868241087482e-09
1.3665479719898461e-05,1.0044450709825424e-08
1.3130363052977421e-05,9.04049798020098e-09
1.2178384035747768e-05,9.555531575341507e-09
1.9331632085159907e-05,1.0131020245951823e-08
2.4148595289979e-05,1.1054050773627258e-08
2.6390552351520574e-05,1.0964511903732208e-08
2.4577186258830803e-05,1.0620915402230675e-08
1.7800728181485974e-05,1.0489513137603338e-08
1.089940200576155e-05,8.167096772452158e-09
9.747055698172003e-06,7.236162804468455e-09
7.936496742781689e-06,6.848733463924783e-09
7.323981871351541e-06,6.2749261899939605e-09
6.411915722938182e-06,5.5646678772384104e-09
6.529039619104859e-06,5.425839905178008e-09
6.3555665027199005e-06,5.171856893167944e-09
6.040333644154628e-06,5.024241905616295e-09
6.4379540830671346e-06,5.821199030990044e-09
5.990052158025153e-06,5.459587592879726e-09
5.659373026265255e-06,4.636155501584381e-09
5.416671862190371e-06,5.217583847335145e-09
5.3920329387381545e-06,4.652320350849956e-09
5.913089229318753e-06,4.656568158175577e-09
5.2099790847806705e-06,4.437608126098326e-09
5.730015285488896e-06,4.795791178292131e-09
6.088684023624322e-06,5.190977279896627e-09
5.050432175380038e-06,4.533499329760835e-09
5.6587086944420005e-06,4.534291532017399e-09
5.2612894162226024e-06,4.493219191810291e-09
5.362624599827046e-06,4.874045561231822e-09
5.425990046892235e-06,4.385319222094149e-09
5.4879189983320895e-06,4.9002661802843475e-09
5.4249520121770855e-06,4.765954165053796e-09
5.110721858766399e-06,4.266388348030863e-09
