Sig,Std Dev
4.817606558833699e-06,4.02774103290215e-09
4.799279610976743e-06,4.23700856742492e-09
4.430194499438922e-06,3.8126161000576065e-09
4.6320543460573995e-06,3.604560314630324e-09
4.757363609092657e-06,3.892681409230711e-09
4.970823669132953e-06,4.149453793018785e-09
4.745417106804446e-06,4.098697396587086e-09
4.500030263582103e-06,4.0022786465101295e-09
4.455851465813681e-06,3.750893180844508e-09
4.486972690420039e-06,3.814198729373275e-09
4.819125657765588e-06,3.5926856619960526e-09
4.402942598064536e-06,3.584521445526276e-09
4.6727865452723755e-06,4.453655611982268e-09
4.8338695926385555e-06,3.6788812939396766e-09
4.53709718395081e-06,4.06744356740911e-09
4.370567879273402e-06,3.751542291559428e-09
4.708232573297429e-06,4.098425051910381e-09
4.950891818951111e-06,4.0796558830205946e-09
4.869509931082699e-06,3.913350980429795e-09
4.956827058999499e-06,3.990415784576561e-09
4.668045932102722e-06,3.6584106832766003e-09
4.756553280652528e-06,3.765197581843524e-09
4.598937616171091e-06,3.933147532754032e-09
4.87680415595103e-06,4.093756384790196e-09
4.5809295687911594e-06,3.932945055786959e-09
4.5497887343097295e-06,3.936325668387425e-09
4.878315763646759e-06,4.306789007612788e-09
5.1054203171316494e-06,4.316804866501926e-09
4.5537674154037175e-06,3.755976139954878e-09
5.083580405086056e-06,4.224361993341992e-09
4.964254724779676e-06,4.00165227432757e-09
4.87072775733077e-06,4.238777592350126e-09
5.677738137335975e-06,4.9889651053368705e-09
6.025585828146492e-06,5.120314418987528e-09
5.634558164233305e-06,4.932380029944096e-09
6.798778002328326e-06,4.9462966757768135e-09
7.696073211246072e-06,5.352676963821744e-09
8.04300674178845e-06,6.287860943422305e-09
8.224387489752742e-06,5.238594374643209e-09
8.555509035237959e-06,6.04445711233156e-09
7.8852369236203e-06,5.569089177825008e-09
7.036636765454835e-06,5.0026790035345415e-09
6.759403079255868e-06,5.003522627052171e-09
6.9492954411676934e-06,5.288325350991948e-09
5.8486559919345405e-06,4.551027082338517e-09
6.0820147748829505e-06,4.834868616390228e-09
5.25445220704493e-06,4.111966238037464e-09
5.525459427070714e-06,4.494484996755613e-09
5.074564679636632e-06,4.416140028898083e-09
4.851778597611733e-06,4.186296758921286e-09
5.351353935044922e-06,4.3692652279679545e-09
5.2084649222779486e-06,4.45019763933998e-09
5.0508554310608695e-06,4.275041247578307e-09
5.093456037264062e-06,4.541487378020842e-09
4.780545100684162e-06,3.8996476149497745e-09
4.9509988385833905e-06,4.085811901544604e-09
4.693362941266416e-06,4.150697921737941e-09
4.611955976728585e-06,3.81113763102939e-09
4.8806576029162955e-06,3.780025423504233e-09
4.867267517629439e-06,3.9399432266851106e-09
4.633769767305397e-06,3.872913101960733e-09
4.556254039804448e-06,3.945608943106567e-09
4.7966106232843e-06,4.07107180896773e-09
4.6817005049186264e-06,4.235483399694559e-09
4.633204385979133e-06,3.945058098856329e-09
4.811884749785729e-06,4.187773819195767e-09
4.890177617373739e-06,3.888301107569454e-09
4.815738935298529e-06,3.9073963161236275e-09
4.603947298005896e-06,4.037516032216406e-09
4.781226644853178e-06,3.725445089790968e-09
4.752202326076157e-06,4.16429599994639e-09
