Sig,Std Dev
4.767333981290355e-06,4.207834764681544e-09
4.86304417423566e-06,3.930414300575558e-09
4.741598939787863e-06,3.854399396585654e-09
4.305760411817215e-06,3.759686487025635e-09
4.876641733928527e-06,4.255182212875506e-09
4.8950326460696555e-06,4.494326522453504e-09
4.515683905345363e-06,4.075229879339951e-09
4.531667657346584e-06,4.29756373185408e-09
5.092359221089313e-06,4.211559290431052e-09
4.6878309276472165e-06,4.015954818418552e-09
4.679622561619739e-06,3.690270923429221e-09
5.0055576266928994e-06,4.397594967803158e-09
4.8852226341137845e-06,3.915590435948763e-09
4.5489726137510426e-06,4.041430995854288e-09
4.751167125362761e-06,3.864439458522394e-09
4.793792786380947e-06,4.333361797306086e-09
4.85644684787712e-06,4.1877190845654366e-09
4.6716638127029265e-06,4.0428798291961685e-09
4.888850955482734e-06,4.2125663341868066e-09
4.561939690467863e-06,3.631296021930327e-09
5.15907199116975e-06,4.556416524182199e-09
4.862200799608362e-06,4.333939001074851e-09
5.371808379664786e-06,4.4317320813301475e-09
5.083942533247552e-06,4.313179128487149e-09
5.003389116521376e-06,4.289094161710721e-09
5.194638515974245e-06,4.3043726778809966e-09
5.258164840425554e-06,4.595963692937499e-09
4.7431851080952806e-06,3.996280933604291e-09
5.3158120747174695e-06,4.648562679284329e-09
6.142881208576789e-06,5.173789214146925e-09
6.250939717209e-06,4.925984190761424e-09
9.066420803177801e-06,6.883539785888453e-09
1.2239003741674641e-05,7.33199484919693e-09
1.7992655187021044e-05,8.647098927438519e-09
2.2921459911124825e-05,9.235907121582536e-09
2.6513910554695498e-05,9.62689194221187e-09
3.0104467517349692e-05,9.581320244117826e-09
3.39859266042447e-05,1.0179466375603485e-08
3.563920513903733e-05,9.032074023341379e-09
3.408392878677075e-05,9.626005373495474e-09
3.230547559286073e-05,1.0627429733426394e-08
2.468906893644021e-05,9.678089800255549e-09
1.6196367693197875e-05,1.0043916895234026e-08
1.3616904688747613e-05,7.198574612304601e-09
1.8534887263920435e-05,8.700982108128941e-09
1.362811177259317e-05,8.942220756157968e-09
9.84181127775051e-06,7.842134916706555e-09
1.0744691313470835e-05,8.231278255846257e-09
9.186147264572568e-06,7.269811300716846e-09
9.157167342641392e-06,8.127239653915206e-09
8.596112292192021e-06,6.55739942967031e-09
8.961241849819093e-06,7.46892654136936e-09
7.877592053943355e-06,6.385734077078986e-09
7.181143099532587e-06,6.373698641918989e-09
8.258772996898073e-06,6.934739909484011e-09
7.987746069216126e-06,6.370470063530691e-09
8.21931448327297e-06,6.513328032528914e-09
7.43536419796696e-06,6.768872957436421e-09
7.355643909259121e-06,6.139833944697101e-09
8.304570727689943e-06,6.057104020271724e-09
7.537888826786251e-06,6.022375457480962e-09
9.027030502238974e-06,6.609625899979425e-09
9.314519672459788e-06,6.554158206634973e-09
9.12128999048557e-06,6.4115110799930514e-09
8.402648788559328e-06,5.9403593557982476e-09
7.515833308276619e-06,5.966922290865566e-09
6.47744862532034e-06,5.029947804582153e-09
6.457824835998748e-06,5.430053868842791e-09
6.0629838798441826e-06,4.948535073220809e-09
5.4760704894922235e-06,4.15338198182379e-09
5.5757316243400534e-06,4.652268556316546e-09
4.921738928509147e-06,3.801645701074688e-09
5.007863189016484e-06,4.368893616637366e-09
5.098964861742115e-06,4.347500400434085e-09
5.5786062569576115e-06,4.659098668478386e-09
4.9447607852708464e-06,4.079557665235962e-09
4.738696554292753e-06,3.726049040617383e-09
4.798733350207951e-06,4.2726621423386675e-09
4.864497994106026e-06,4.119466724356075e-09
4.911768673476979e-06,4.21949993647203e-09
4.740500628424389e-06,3.847266477251711e-09
4.703072472051692e-06,4.0598469946157925e-09
4.582504599708368e-06,3.817043029980293e-09
4.8656246316075985e-06,3.7179371743115926e-09
4.811509748182757e-06,4.112622924196175e-09
4.49052688155788e-06,3.77825341900482e-09
4.738609611639284e-06,3.928817485010106e-09
5.309314227908536e-06,4.337294438244044e-09
4.752581207172822e-06,4.146846567015906e-09
5.505736375431083e-06,4.5140802918563935e-09
