Sig,Std Dev
2.440544861141084e-06,2.1423496132977295e-09
2.3635903827671808e-06,2.0533855066068594e-09
2.493263482498629e-06,2.154420383749043e-09
2.3603798410994056e-06,1.887946608167288e-09
2.38266614942915e-06,2.121570327490253e-09
2.479882298883746e-06,2.255227719145744e-09
2.315792847003039e-06,1.9404967007160123e-09
2.4717871608822803e-06,2.2308988158954536e-09
2.4975793615870514e-06,2.2284478442364357e-09
2.6052454740040912e-06,2.279576933455951e-09
2.3018095103350186e-06,1.856069547012377e-09
2.352081054572901e-06,2.094051585835294e-09
2.482443994238686e-06,2.102430097404385e-09
2.6579097413941224e-06,2.2575481351097367e-09
2.550852956426085e-06,2.219797274776993e-09
2.6059428743162213e-06,2.144153673087049e-09
2.640020379215347e-06,2.283757012840425e-09
2.3667298314157988e-06,2.0070651408226307e-09
2.4527745170373146e-06,2.0068883068333396e-09
2.488741990487845e-06,2.2965465947028537e-09
2.367882801108016e-06,2.0377826813256e-09
2.4920418887010595e-06,2.2994969045910944e-09
2.338188218058897e-06,2.130517778299767e-09
2.5739470865719886e-06,2.1417641547483744e-09
2.4302963657627024e-06,2.2425614381704547e-09
2.201219538264089e-06,2.0903817938424544e-09
2.5176109288759156e-06,2.212141085490561e-09
2.3744316651738028e-06,2.036364734596727e-09
2.2904320346375584e-06,1.8380977565266895e-09
2.6040186776462115e-06,2.19064692615593e-09
2.5400505221786544e-06,2.0253418042832286e-09
2.3193806021355756e-06,2.094720548789059e-09
2.693930026407958e-06,2.2812610002586366e-09
2.454414182604816e-06,2.1357885414359473e-09
2.5388734058734264e-06,2.0842279100551886e-09
2.3420767820608392e-06,2.0568946154566123e-09
2.2987169162225046e-06,2.1523697338144105e-09
2.495635578036793e-06,2.2939173919622085e-09
2.3894219499363977e-06,2.1414110539951904e-09
2.302035484352403e-06,2.291431174988172e-09
2.37250024787941e-06,1.905018668284589e-09
2.4077546080650595e-06,2.1232854801250066e-09
2.485602166111223e-06,1.9937753550153485e-09
2.4459813055105824e-06,2.1210238740061766e-09
2.3518252920770994e-06,2.014084855545245e-09
2.3998009494937984e-06,2.337156293925017e-09
2.4705953097509726e-06,2.218427009667039e-09
2.4043790330198645e-06,2.2558467362670515e-09
2.271226496760286e-06,2.140856112507524e-09
2.2696385336042663e-06,2.1399143329757495e-09
2.560959846963274e-06,2.4852178485553216e-09
2.3493610088864855e-06,2.034318996921993e-09
2.2005768053227464e-06,2.1818347694021143e-09
2.621200676988966e-06,2.286816765199106e-09
2.395807909314235e-06,2.106033178034927e-09
2.2727296078768792e-06,2.1692242688800552e-09
2.5052133041670583e-06,2.356693386034461e-09
2.3444880598787875e-06,2.04408258759596e-09
2.4456781909217557e-06,2.1547954350921645e-09
2.366457886311358e-06,1.9023855082130237e-09
2.35480480564491e-06,2.3075339880981724e-09
2.2882391756614403e-06,2.3945603702253875e-09
2.354992911733686e-06,2.214062850097696e-09
2.5044279419193473e-06,2.1431052241116765e-09
2.278459952791698e-06,2.013848154832676e-09
2.3191321260180776e-06,2.172631326767847e-09
2.2099120053501237e-06,2.163507158173737e-09
2.1542448525398553e-06,2.0352323073031095e-09
2.4582711630831858e-06,2.1683251835591135e-09
2.2492122892231796e-06,2.166742702838785e-09
2.185450914445272e-06,2.0535104761267437e-09
