Sig,Std Dev
4.662358097796263e-06,4.0054783499655665e-09
4.881021329728641e-06,4.06095111809414e-09
4.622882068375411e-06,4.164996353665406e-09
4.45363145586124e-06,3.96596929996932e-09
4.617931977758715e-06,4.116797330545254e-09
4.802678254959293e-06,4.3010856233014305e-09
4.616045218746484e-06,3.8081599513393136e-09
4.59874882270479e-06,3.92192561388119e-09
4.9512859794576125e-06,4.889353193673477e-09
6.739952017230722e-06,7.241045048347807e-09
4.94824650893051e-06,4.080875168765647e-09
4.648230645920029e-06,4.28721823799098e-09
5.05993752626903e-06,4.0861014794553576e-09
4.829386885284266e-06,4.0750086324479805e-09
4.634502980792473e-06,3.896805986917062e-09
4.759464627969326e-06,3.997634954487658e-09
5.0070637014071664e-06,4.69536971983344e-09
4.737917476289963e-06,4.701628388978038e-09
4.5247082481703505e-06,3.9828969704516455e-09
4.691713847151004e-06,4.035187756247671e-09
4.952491808756421e-06,4.158925048194164e-09
4.859207205784183e-06,4.2725493916397574e-09
4.903922205768515e-06,4.650594183224293e-09
5.348834238456894e-06,5.552399519782915e-09
4.528612877802361e-06,4.061719074603201e-09
4.942705132012818e-06,4.091845567290014e-09
4.584489737783037e-06,4.046062722736287e-09
5.027813511851607e-06,4.183949405725114e-09
7.353270096112923e-06,8.148827870795702e-09
5.596345232765479e-06,4.454859657594118e-09
5.4217419058628665e-06,4.521660268173387e-09
6.265225295975038e-06,4.9594535456685256e-09
7.442138146341632e-06,5.995895604960335e-09
9.658997096626952e-06,6.9193693673881935e-09
1.2048137220294188e-05,7.366319324400421e-09
1.4615582987077902e-05,7.700951149030332e-09
1.684894959690721e-05,7.571342431434652e-09
2.3096507754942337e-05,8.726429391944104e-09
2.568141318109401e-05,9.679671455084894e-09
2.4956541908017157e-05,8.700849911320031e-09
2.2538672082415643e-05,8.883312854208239e-09
2.0981072664278607e-05,9.778755745347518e-09
1.8036132976780562e-05,1.075077867850376e-08
1.6866333853670774e-05,1.0143908741685253e-08
1.524687140316777e-05,1.00550547017273e-08
1.0181370073955258e-05,8.306354181715845e-09
1.0575635563756132e-05,8.782437959692277e-09
8.179628992380828e-06,6.982060446744269e-09
7.109102522477836e-06,6.845134851866023e-09
7.060335385568612e-06,6.0249753438873675e-09
6.68203651295246e-06,6.0178859937576325e-09
7.070236154626954e-06,5.794543951536294e-09
7.440211880783828e-06,5.759831930590514e-09
7.545154818195461e-06,6.235407230945165e-09
7.5880763712554696e-06,5.635279718186991e-09
7.7852110748962e-06,6.4711520793793206e-09
7.52874601059529e-06,5.95957339454467e-09
7.661096911433876e-06,5.799314291240973e-09
7.118250694392906e-06,6.43899370314441e-09
6.733562492527003e-06,5.179917019901609e-09
7.210810641893376e-06,6.2451564681134076e-09
7.890922904815839e-06,5.453114146768226e-09
7.405597252594789e-06,5.700368429170068e-09
7.329985318745475e-06,5.1560466145610174e-09
8.096652802800589e-06,6.4771141871881766e-09
7.411959870089084e-06,5.918500151923235e-09
6.893363377541601e-06,5.729118238671063e-09
5.697733172797385e-06,4.948331468461597e-09
5.483739086751563e-06,4.8468891256041e-09
5.3915345884499e-06,4.917710938502706e-09
5.861070643482914e-06,5.402327474664979e-09
4.536216146101002e-06,4.528290705685055e-09
5.044794092009916e-06,4.261612764874385e-09
4.968164729596016e-06,4.296527715689552e-09
5.25254735656765e-06,4.4556534664045655e-09
4.797192820536627e-06,3.713587752213276e-09
4.954973514897008e-06,3.822111164120668e-09
4.788500498726264e-06,4.6454047281269735e-09
4.8431537522988125e-06,4.1680884096425765e-09
