Sig,Std Dev
5.615977280948187e-06,4.87375094940912e-09
6.093564601584819e-06,5.754111514827414e-09
5.7407222227039355e-06,4.864378601851371e-09
6.0316809173718825e-06,5.240256790795086e-09
6.104555028812221e-06,5.546661167285094e-09
5.719726301883519e-06,5.678776552218474e-09
5.635024953186386e-06,5.287637910843945e-09
6.242822402961521e-06,5.681825797289932e-09
5.914667874152614e-06,5.5411347900004424e-09
5.976107408875061e-06,5.4112268101712435e-09
6.382342809252004e-06,5.353567039299585e-09
6.304606283099866e-06,5.655553744789385e-09
6.026368660124118e-06,5.504394519803512e-09
6.095205401981301e-06,5.403363132868532e-09
6.069662285618141e-06,5.779464796996198e-09
5.9872019092428444e-06,5.062293765745101e-09
6.190220997978294e-06,5.719758209543093e-09
6.078967881768644e-06,5.6542738798082865e-09
5.8898242511649596e-06,5.523693418298617e-09
5.9882051829296255e-06,5.22179878386246e-09
6.000061446509586e-06,4.936598775304482e-09
5.742059603537094e-06,4.977642252448989e-09
5.5633846543950515e-06,5.1846994011275455e-09
5.874179722302123e-06,5.4313664858264845e-09
5.848506588566633e-06,5.22274419000038e-09
6.166019244052504e-06,5.398598229764022e-09
5.8344757329580835e-06,4.899682031734803e-09
6.9247158126455155e-06,6.246060994010633e-09
6.494966037065834e-06,5.708135294882392e-09
6.120645965926528e-06,5.263576351491467e-09
6.4103844547531285e-06,5.628960670373353e-09
6.3379247075127275e-06,5.546770916453998e-09
5.842246195756768e-06,5.18968811754035e-09
6.059684870706445e-06,5.55803087676422e-09
5.997260549098035e-06,5.395926939819724e-09
5.996819480829604e-06,5.133298482554173e-09
6.01708977193139e-06,5.183262433993676e-09
6.43650677146495e-06,5.579620544302361e-09
6.193006387191459e-06,5.607865316454594e-09
6.178514885915667e-06,5.143512536131332e-09
6.129216119093314e-06,5.494517642550879e-09
6.584477914638295e-06,5.543062024325142e-09
6.697376624609969e-06,5.5073624897670966e-09
6.230253116772976e-06,5.122403257822588e-09
6.514592298833331e-06,5.400208167115824e-09
5.535605000433775e-06,4.736839312935062e-09
6.026522492277631e-06,5.5149418587231975e-09
5.959991396743987e-06,5.462127535563617e-09
5.967555480270198e-06,5.1298169605127325e-09
6.058484633632551e-06,5.572787772579461e-09
6.029697551745668e-06,5.503981858929223e-09
6.304270116014054e-06,5.621129804225934e-09
6.512837479025163e-06,5.54105820025139e-09
6.282362073250858e-06,5.4588494543385775e-09
6.344976563824139e-06,5.475292074186668e-09
6.401961523952167e-06,5.814686422796693e-09
5.7169314548472034e-06,6.0425072151117394e-09
6.2306596499292044e-06,5.203384450736548e-09
6.676418297590031e-06,6.515336584257355e-09
5.888561762126441e-06,5.399099920361527e-09
6.3073439457006845e-06,5.533622958774605e-09
5.757202449859232e-06,5.313748942502532e-09
6.346432273944457e-06,6.077964164593024e-09
6.228411884668098e-06,5.263598138015897e-09
6.435485142588714e-06,5.342669115887809e-09
6.163253018576006e-06,5.464615806343598e-09
6.1086238829462276e-06,5.5996082173961225e-09
6.479342173052066e-06,6.3756356555893016e-09
6.358725746448539e-06,5.537799018909042e-09
5.813560068592509e-06,5.386438062891034e-09
6.414829893815967e-06,5.659133326309552e-09
