Sig,Std Dev
5.666647986925632e-06,4.747044737615283e-09
6.006712133702255e-06,5.030365202833056e-09
5.82338529181161e-06,5.103931830955422e-09
5.812168178944625e-06,5.152698578967567e-09
5.840076694919564e-06,5.485742389161542e-09
5.969371890097469e-06,4.739687212412518e-09
5.825827809088942e-06,5.114661675042303e-09
6.047330259468545e-06,5.513718319822007e-09
5.725246574941216e-06,4.462300565680783e-09
6.07656605397403e-06,5.44019920364518e-09
6.026946534175986e-06,5.147550445200963e-09
6.280004922304962e-06,4.771400585992711e-09
6.780528300879631e-06,5.640950648105453e-09
6.060669984576461e-06,5.213775184945274e-09
6.268856909753854e-06,5.645035331909109e-09
5.952264062189334e-06,5.462780065951271e-09
6.397523843837216e-06,5.545530148849779e-09
6.499849949953324e-06,5.686545394475944e-09
6.200330019156206e-06,5.143350968239371e-09
6.478290403841613e-06,5.707484900650931e-09
6.332834943893332e-06,5.652961845283113e-09
7.071921962949038e-06,5.4014726840230685e-09
6.207017804595307e-06,5.284777400945854e-09
6.34388144119679e-06,6.163862115535069e-09
6.684888696513849e-06,5.8738661713022604e-09
6.669387434111882e-06,5.486769692729079e-09
6.228086203279473e-06,5.1405193617700896e-09
6.443799334819978e-06,5.875670119000073e-09
6.587841063861015e-06,5.7197748905022794e-09
6.69222340232122e-06,5.319592051025507e-09
6.487950872778276e-06,5.0770375752679186e-09
5.886535232205351e-06,4.939057424773103e-09
6.538212755556947e-06,5.57742531540758e-09
6.095399169382302e-06,5.0054710554886565e-09
6.8517985992830774e-06,5.940978677481904e-09
5.838649838268263e-06,5.615664640156777e-09
6.881103690832922e-06,5.913477880520174e-09
6.669730667525287e-06,5.817286166864105e-09
6.455296182544893e-06,5.422711968823418e-09
6.176986136870916e-06,5.986781711439432e-09
6.188461378668484e-06,6.287585040879597e-09
6.1541842572498614e-06,5.898923485346796e-09
6.681073775455303e-06,5.517332653265423e-09
6.683192438762892e-06,5.6833464447415e-09
5.875061815082872e-06,5.4454680389995025e-09
5.998890136857402e-06,5.226681129870217e-09
6.802089643719248e-06,6.378870890350865e-09
6.5810373920819075e-06,5.3494813416267725e-09
6.402095142693201e-06,5.802813143521283e-09
5.7756283307102976e-06,4.62948054072982e-09
6.082681550836392e-06,5.735939120129435e-09
5.946225009458932e-06,5.065110765689423e-09
5.852203286819349e-06,5.0342359143421154e-09
5.98702358164261e-06,5.012779644102975e-09
6.089756721075969e-06,5.139886596494271e-09
5.8160736758873615e-06,5.097417184136241e-09
5.531917760486173e-06,5.029281373719788e-09
5.8870162061568115e-06,5.283919504608604e-09
5.5960059321253645e-06,5.1245209321017495e-09
5.841327823889618e-06,4.828415593536022e-09
5.327452034805439e-06,4.7013507466902795e-09
5.322409939678429e-06,5.232394068133116e-09
5.9536804679124415e-06,5.450569572140543e-09
5.785217380130316e-06,5.4367165771478096e-09
5.883179109666321e-06,5.291325675293024e-09
5.64475562952961e-06,5.191611217916571e-09
5.26254867733134e-06,4.400491794422213e-09
6.06502368853147e-06,5.248276302841005e-09
6.093066843303108e-06,5.321781377021771e-09
5.35942461209918e-06,4.6912875831500715e-09
5.793136493959712e-06,5.081609655312501e-09
5.815276363645735e-06,4.935010748090199e-09
5.617788094312403e-06,5.2743293935359e-09
5.612663264553876e-06,4.5921183822095515e-09
6.092431511387866e-06,5.227592605192114e-09
5.593490269741658e-06,4.658713464653271e-09
5.3597253053404635e-06,4.924536150949625e-09
5.916046122718299e-06,5.118115701881898e-09
5.709189679548584e-06,5.259835509616704e-09
5.8785678868010176e-06,5.325272385732314e-09
5.767831412195001e-06,4.911482283810507e-09
6.0471485016301025e-06,5.431828190098743e-09
5.5517570155214805e-06,4.955593655115828e-09
5.804917673234174e-06,5.603134275583819e-09
5.862725112794001e-06,5.175701084658553e-09
5.572537959969533e-06,5.418647429127857e-09
5.778869760300904e-06,4.9250033518950126e-09
5.4451664549541585e-06,4.8579181254446265e-09
5.44270956611228e-06,4.752292421239404e-09
6.031078035164175e-06,5.0459995067971424e-09
5.810375997960714e-06,5.02660224231927e-09
5.70896513450894e-06,5.182758593038435e-09
5.425977830453189e-06,4.80414610860419e-09
5.450983220326888e-06,4.711432590399816e-09
5.708380134418349e-06,4.9043079218598005e-09
5.531021833216161e-06,5.358398150154205e-09
5.8564279850280865e-06,4.790323284147647e-09
5.880488530465371e-06,4.566072404294475e-09
6.29959098462181e-06,5.408395500464013e-09
5.94054235503941e-06,5.341250453494463e-09
5.917165369974488e-06,5.158787983749894e-09
5.875572293761224e-06,5.239752418410604e-09
5.365645089043509e-06,4.796352132944698e-09
6.054894481398767e-06,5.506492464663673e-09
5.858444468021095e-06,4.563664544186655e-09
5.764327345034942e-06,5.198086858052828e-09
6.0349286068129604e-06,5.13216232842477e-09
5.792650556690631e-06,4.7795623392882145e-09
6.551455838532532e-06,5.417912295113939e-09
5.632123711548235e-06,4.851920724117029e-09
5.811970279856121e-06,5.251617207184938e-09
6.004531108879716e-06,5.492247185315972e-09
5.741078880843945e-06,4.763545824199533e-09
6.067135022358052e-06,5.342537420214247e-09
5.494608749263071e-06,5.075579143262773e-09
5.664565928216394e-06,4.9647046157969794e-09
5.948807243415651e-06,5.242343791011973e-09
5.936704183843732e-06,5.594959801615023e-09
6.176916508804183e-06,4.842485583452418e-09
5.751217378822296e-06,5.049293475483107e-09
5.597222867861539e-06,5.1245923755710565e-09
6.037298955155573e-06,4.9447549793653975e-09
5.819598311697107e-06,4.939200313102421e-09
5.451660486269282e-06,4.77648906962669e-09
5.707110408954396e-06,4.899482426281282e-09
5.814147471869124e-06,5.228339618177379e-09
5.7878053397081575e-06,4.938998329418159e-09
5.894988196916876e-06,4.893651088028544e-09
5.856289525365968e-06,5.2527212498176385e-09
6.244146036420251e-06,5.321417914112142e-09
5.810422175880367e-06,5.179828712286511e-09
5.422989310101062e-06,4.760201910207086e-09
5.829023601837642e-06,5.208651204025141e-09
5.917312067419649e-06,4.903932626146421e-09
6.1616463029454125e-06,5.799937365698837e-09
5.6507444558288615e-06,5.116072721479512e-09
5.769627517616067e-06,5.223692053828256e-09
5.753035402493454e-06,4.969191301999422e-09
5.690378873439021e-06,4.697155674213e-09
5.848423509347447e-06,5.416520370836654e-09
6.086802623573793e-06,5.3426355897857355e-09
5.3684277130429905e-06,4.513105748803221e-09
5.935730055033951e-06,4.77610232985143e-09
5.923679216981914e-06,4.925222056723936e-09
5.671466004609317e-06,5.24002792048216e-09
5.67936860175292e-06,4.846141455146272e-09
6.010371712975259e-06,5.294911560638943e-09
5.669565983392859e-06,4.674395460433176e-09
5.878978397632706e-06,4.6312233045480056e-09
5.991654118133462e-06,5.089447747328962e-09
5.632927434264287e-06,4.62721169400616e-09
5.660709006092474e-06,4.5428723889910445e-09
5.6404575824996835e-06,4.970826904270875e-09
5.5131409570863965e-06,4.625722735335249e-09
5.454883561432567e-06,4.749893084999127e-09
5.204606181793523e-06,4.391292301033735e-09
5.594041594987445e-06,5.063358695484387e-09
5.713883365801603e-06,4.802083149710719e-09
5.68696320095255e-06,4.638380502183847e-09
5.280299230647822e-06,4.746383781597872e-09
5.820637220233821e-06,4.795099778079839e-09
5.52706038453696e-06,4.86858641995011e-09
5.558743914066341e-06,5.2406995628405825e-09
5.661076750213667e-06,4.7569003696427475e-09
5.435701043053624e-06,4.630259425989845e-09
5.8447235595427064e-06,5.058948662361097e-09
5.718222520710125e-06,5.427595219418748e-09
5.836781163301443e-06,5.078054295598868e-09
5.304345446947524e-06,4.652078904534256e-09
5.471295983498012e-06,4.272034533531307e-09
5.766131746023517e-06,4.844452637038526e-09
5.50905188456852e-06,4.4983218702264445e-09
5.7372302724383485e-06,4.943357828871938e-09
5.7437963342814585e-06,5.398952372106661e-09
5.797499460001887e-06,4.947627024445782e-09
5.542217123793576e-06,4.613226373687416e-09
