Sig,Std Dev
5.665199390767307e-06,4.763142019976508e-09
5.95620989847353e-06,4.9701886486798096e-09
5.182563097109143e-06,4.417691504319451e-09
5.51341717025076e-06,4.610064732758584e-09
5.581743528138354e-06,4.9094988859563895e-09
5.389247682402746e-06,4.7160811551108935e-09
5.777764195186939e-06,5.047459165205811e-09
5.5193097998947255e-06,4.639258100196411e-09
5.534327766771465e-06,4.836673593827927e-09
5.62530358957681e-06,5.030496647245395e-09
5.447770367389733e-06,4.8089317925982986e-09
5.49242351828581e-06,4.646901650248125e-09
5.4989445039559065e-06,4.2565640899113526e-09
5.7677636866952445e-06,4.7204583697385196e-09
5.877539305314541e-06,4.916836676408039e-09
6.0230152601936974e-06,5.3043068883705934e-09
5.77026703593424e-06,5.109564766989652e-09
5.659608160654292e-06,5.378356671793375e-09
5.811097939512973e-06,4.891041599187837e-09
6.22484746010173e-06,5.313137925925533e-09
6.005906941536775e-06,5.037012688686117e-09
5.8580686025016605e-06,5.2203296968326665e-09
5.544488832714718e-06,5.121008731207651e-09
5.84870979780452e-06,4.6711179744214625e-09
6.330886817179706e-06,6.257270826888668e-09
5.750077659715189e-06,5.362401830553333e-09
6.2030578946098645e-06,5.153378244383357e-09
5.956632525114472e-06,5.719642875844955e-09
6.276873628505714e-06,5.418705850665533e-09
6.155903444950014e-06,5.80263830616937e-09
5.8950164850437965e-06,5.3773243626392e-09
5.845264833393501e-06,5.218651369163572e-09
6.052805895264417e-06,5.50294766100509e-09
6.2769926795612555e-06,5.702620382838367e-09
5.913589575952029e-06,5.323583834437161e-09
5.927967996466816e-06,4.781164302213092e-09
6.139698543279003e-06,6.89531441704675e-09
6.1190393412646305e-06,5.2339030904302355e-09
6.4476765374680476e-06,5.7034787224644894e-09
6.588313831656554e-06,5.883579132314275e-09
6.593168154513491e-06,5.356790340726746e-09
5.936205319142378e-06,5.03535810304153e-09
6.1851380863966085e-06,5.4717145274964705e-09
6.027989373323429e-06,5.267109244996565e-09
6.09227555817367e-06,5.198339004306443e-09
6.094087304344737e-06,5.107241894644021e-09
5.791637320799954e-06,5.157702308960327e-09
5.612252956888409e-06,4.686771291995456e-09
6.4429727308116845e-06,5.368070670198659e-09
6.1403518790773e-06,5.78877627312014e-09
5.660547256182685e-06,4.7721476180970355e-09
6.009691548470661e-06,5.616279003844998e-09
5.914185945140825e-06,4.955535901210883e-09
5.800771017620812e-06,5.179803253288015e-09
6.0485140088310424e-06,5.166623726409887e-09
5.746973397991117e-06,5.375120764681617e-09
6.097679274035186e-06,4.698759773406521e-09
5.922611145389682e-06,4.951923827483454e-09
5.906799724493577e-06,4.755398139497244e-09
5.8003170747559905e-06,5.004953351480058e-09
5.664704340746746e-06,4.713584215448624e-09
6.313777766036227e-06,5.054499920753867e-09
6.093557466183449e-06,4.972226268902849e-09
5.539323832581958e-06,5.109389966964899e-09
5.783862340878037e-06,5.000576884748093e-09
5.790727984303645e-06,5.838802572428222e-09
5.852808964602459e-06,5.2951054383996655e-09
6.108063187502773e-06,5.165463965366267e-09
5.873136318628718e-06,5.482843006328168e-09
5.561746921085611e-06,5.12213930648568e-09
5.808525932383229e-06,5.201285813275097e-09
5.652878694437552e-06,4.9185299316748524e-09
6.108617000751243e-06,5.162852130387162e-09
6.1313397260710275e-06,5.492067469079899e-09
5.649176721804367e-06,5.652443187935906e-09
6.341649257611976e-06,5.8096640561333184e-09
5.853820690405134e-06,4.6605018639343185e-09
5.37935262503794e-06,4.9650502019361e-09
5.864425079659369e-06,4.985542188871427e-09
6.161622771521263e-06,5.66261463770745e-09
5.764192060538044e-06,4.7596032325123805e-09
6.034510770092295e-06,5.234464279163087e-09
6.0564573977035065e-06,5.54315865245701e-09
6.341047892782926e-06,5.444627521234652e-09
5.682023111588759e-06,4.440658758204816e-09
6.288408722891996e-06,5.968300909666252e-09
6.194417241400161e-06,5.142311648884769e-09
6.542456033867551e-06,5.591870721367664e-09
5.758240058347166e-06,4.966169040774209e-09
5.632777320555461e-06,5.097910312852278e-09
5.8812501600351895e-06,5.4438502553964776e-09
5.911440650442065e-06,4.806643356190796e-09
5.940982234477178e-06,4.905159618522318e-09
6.390113525494447e-06,5.496179655452516e-09
6.362869927945696e-06,5.298598347033352e-09
6.421025707884698e-06,5.1621161952057836e-09
6.309743817705784e-06,5.609046622505502e-09
6.095981925321202e-06,5.350791988963804e-09
6.270222121487406e-06,5.09595873874273e-09
6.14994044737745e-06,5.27226213099684e-09
6.554390624997324e-06,5.404374710240814e-09
6.1350801984273835e-06,5.723018465777717e-09
6.143013530744883e-06,5.398544511532345e-09
6.201576390799919e-06,5.271677110773697e-09
6.063656700496581e-06,4.830137911257646e-09
5.823381618805875e-06,4.645309808044302e-09
