Sig,Std Dev
1.8888249967703427e-05,7.247278245653614e-09
1.931739123640652e-05,6.913413945869134e-09
1.4446471329890236e-05,8.282913316899886e-09
1.279248724727241e-05,9.687545128292864e-09
2.1679571856666662e-05,7.213405497488725e-09
1.1962669545853203e-05,6.969004501285713e-09
8.900652437470386e-06,8.24343075781071e-09
6.982796388785419e-06,5.512868591808216e-09
5.737573416622599e-06,4.950638356008427e-09
1.980900998787324e-05,8.586699088482595e-09
2.4138895722444396e-05,6.9315526617034924e-09
1.7267164524422768e-05,1.4773394922315786e-08
2.0767981152096637e-05,9.343293377404814e-09
2.005590352470515e-05,1.0922203944287696e-08
1.0485137167987972e-05,7.185163212776539e-09
1.4723495125268651e-05,9.467444680772396e-09
1.7002542087735436e-05,1.2048911956396594e-08
2.6857388360548832e-05,8.148748162198241e-09
1.8829709068692097e-05,8.009622609332224e-09
1.9543500557051713e-05,9.658122707667882e-09
1.4914826696254582e-05,8.566015379326929e-09
2.1892722847735908e-05,9.112133796487724e-09
2.9295746538966e-05,7.1622199361916735e-09
1.883292706351868e-05,8.739940616251025e-09
2.1843813370328888e-05,7.395609929813613e-09
2.932483608613125e-05,8.03944084731181e-09
2.68954250125432e-05,8.68748894790613e-09
2.8234530181876924e-05,7.618007243704526e-09
2.594912260815624e-05,8.368043207706365e-09
2.6216758844562546e-05,7.041082049062221e-09
2.641680447993739e-05,7.613333184654768e-09
2.5699970482342508e-05,6.917414151840075e-09
2.4705436605830437e-05,7.367981404533603e-09
2.5666683486216017e-05,7.79259324105022e-09
2.417482736354941e-05,7.79244813656343e-09
2.4136260563943473e-05,8.06436094798359e-09
2.2299598382497484e-05,7.998274429616029e-09
2.4313988134481265e-05,7.98480718892307e-09
2.3111831558084404e-05,7.934899515023687e-09
2.3847536412378922e-05,8.719834269434869e-09
2.5304030282946154e-05,7.864841625546638e-09
2.119288585122683e-05,7.643843975979425e-09
2.1244093927513084e-05,8.759477722680804e-09
1.6948819437432654e-05,8.17682992829646e-09
1.875909613731817e-05,7.741014973828592e-09
1.9082392387786154e-05,7.3964800667591065e-09
1.7473617710486274e-05,7.476782620833995e-09
2.1801786507306765e-05,9.10597809278579e-09
2.2465757587068124e-05,8.927912367488087e-09
1.672798483278735e-05,8.138196907810064e-09
2.2680141169579878e-05,7.434091625590593e-09
1.6408572780186544e-05,7.137385944693117e-09
1.3291047147914511e-05,7.794100287065576e-09
1.5567593604107155e-05,8.483831002132087e-09
1.728089504528488e-05,8.312401951748461e-09
1.7477471038596714e-05,7.905036994085724e-09
1.655215096332641e-05,8.65007197679433e-09
1.3447833123293183e-05,7.258049650344252e-09
1.6275719093258954e-05,8.388058390774062e-09
1.637738888511957e-05,7.971464544090229e-09
1.4390578845009313e-05,8.06453709280281e-09
1.8863025083338363e-05,7.819533720251813e-09
1.268188283973075e-05,7.798226089261565e-09
1.177041614010096e-05,7.292692658141706e-09
9.500821575439113e-06,6.2537698957861314e-09
1.3566800280740981e-05,8.62296006804025e-09
1.4271771149011178e-05,6.5351303719705e-09
1.6422468829679942e-05,9.12472039112267e-09
1.791695105857797e-05,6.73652562618162e-09
1.7727535788277072e-05,8.169765570605867e-09
1.6727395262986998e-05,9.595605474552843e-09
9.666670544107968e-06,6.848876558098634e-09
1.0555674489520754e-05,6.224146435076643e-09
1.023553303056949e-05,7.1952623894894496e-09
1.3952945700870563e-05,7.412670469647592e-09
1.654929974737033e-05,7.01120474073938e-09
1.264805562195936e-05,7.53258939958163e-09
1.558173073513261e-05,8.509576787004859e-09
1.7334945011067013e-05,6.836170270066458e-09
1.5980982438435233e-05,7.584024711829364e-09
1.07499230054258e-05,6.718677140167143e-09
9.607155458612344e-06,7.08708323621384e-09
9.204630525352694e-06,6.058859923941523e-09
1.5362321935564046e-05,9.723214491234848e-09
1.9285977669309953e-05,7.802430851394655e-09
1.9591976080485192e-05,7.857147157318054e-09
2.0008241435535798e-05,7.752494014142268e-09
1.9989157530156127e-05,7.699300777546908e-09
1.914451708077622e-05,8.46092064097414e-09
1.8205141093025527e-05,8.686450928663804e-09
1.8942053613830195e-05,7.526903552506495e-09
1.979346807916521e-05,7.286394066898159e-09
1.85024105487748e-05,7.1285547686584285e-09
1.7079120452074483e-05,7.479003516071945e-09
2.0865354217603373e-05,8.281889136451855e-09
1.4671358002271824e-05,1.0015788143630388e-08
1.0521605299052727e-05,6.89856085544013e-09
2.1713017094308913e-05,7.557891981338595e-09
2.2093323189675614e-05,8.306079639916982e-09
1.930115368691288e-05,9.514343442869248e-09
2.5018705807380294e-05,8.567466995165778e-09
2.3928196937257594e-05,7.664262212441393e-09
2.2252488242104915e-05,9.383511343689397e-09
1.0480874933910407e-05,7.331893842865936e-09
9.315744905442435e-06,6.240983923932272e-09
1.7484883065771935e-05,1.127643787252758e-08
2.763482412481171e-05,7.642802104902495e-09
2.8554761243878502e-05,8.294338442949532e-09
2.688839508474952e-05,8.670787116236709e-09
2.8347973989702277e-05,8.253090814754861e-09
1.54150483500871e-05,1.0495454882316955e-08
9.518491499261345e-06,7.295735619564224e-09
1.1709035954314749e-05,7.519452671884826e-09
9.947544077889771e-06,7.480749550165844e-09
1.1211888440702678e-05,8.19647228676547e-09
2.784529605320422e-05,8.046079542271939e-09
2.4723656272462142e-05,1.1383203985782766e-08
1.1381123492858307e-05,6.799574691957598e-09
1.1230935810407363e-05,7.861800602136618e-09
9.900101334909031e-06,6.337209143807487e-09
1.405437986453153e-05,9.469279910333154e-09
2.4261086554554604e-05,8.103227145274971e-09
2.59256155094873e-05,7.922808998532364e-09
