Sig,Std Dev
2.0319728590968558e-06,1.2334508659551646e-09
1.9434767980780312e-06,1.1563950718080692e-09
2.0219054036398303e-06,1.1631384241310998e-09
1.8850379095508066e-06,1.0924462870991232e-09
1.8353044929729196e-06,1.1667260363685639e-09
1.6399267279925753e-06,9.751098283436656e-10
1.6952431450537957e-06,1.0358871588988092e-09
1.5783693657557873e-06,9.587426801099715e-10
1.830653939237615e-06,9.846268997648776e-10
2.1509965035465636e-06,1.0638182621291144e-09
2.5313284797819485e-06,1.2636492930581815e-09
2.5616656640210894e-06,1.3855864599433544e-09
2.32883500022063e-06,1.304163153529554e-09
2.2544525586452987e-06,1.3916129381433222e-09
2.4505116217082506e-06,1.445416128693207e-09
2.7367855059515094e-06,1.6244248499558364e-09
2.9154536787807545e-06,1.8068364595448574e-09
3.0892467009194483e-06,1.980455855493085e-09
3.0362751508095555e-06,1.9661208323107435e-09
2.914929692381244e-06,1.8639309811073976e-09
2.5617748234374417e-06,1.5812756087839167e-09
2.15165928092093e-06,1.2587596474483695e-09
1.8118232736316424e-06,1.06668893648181e-09
2.5976459162071055e-06,1.0676053150769029e-09
2.029527833767101e-06,1.081512847969777e-09
1.7251122816007539e-06,9.9622265769161e-10
2.178039845392319e-06,1.2444687407515396e-09
2.2944314699419537e-06,1.321604485756281e-09
2.5200548740638123e-06,1.5781339870715736e-09
2.5573077354391276e-06,1.6317961379080032e-09
2.5613235996033794e-06,1.5438599424131657e-09
2.567458239759784e-06,1.4898230503326015e-09
2.2042979115163788e-06,1.3610130425103289e-09
2.2671085025927693e-06,1.4547790759308242e-09
1.9335801471212164e-06,1.164317399806017e-09
1.8549080208341044e-06,1.1999198368416179e-09
1.827549460609809e-06,1.1322573627906245e-09
1.642608287299229e-06,1.0078090483940613e-09
1.65607347711266e-06,9.054293406313704e-10
1.7244156616734305e-06,9.524945374335376e-10
1.8820069229160812e-06,1.0166225342990378e-09
1.7786351490005319e-06,9.118470531870339e-10
2.0352689276685956e-06,9.494557589496124e-10
1.9784087604893733e-06,8.994320931236201e-10
1.6259866824110225e-06,8.832728555978423e-10
1.7699873850671156e-06,9.797789858666717e-10
2.250302301282578e-06,1.0080500865903367e-09
2.8511767695510045e-06,1.0750574282737958e-09
2.6058252656505634e-06,1.192940126276681e-09
2.6162112949301503e-06,1.2285553961327995e-09
1.932805954348238e-06,1.0781853641222085e-09
2.218391274592811e-06,1.2066800597697684e-09
2.566387369986643e-06,1.2811075246509188e-09
4.241437307905384e-06,1.384758583042041e-09
4.28563742102687e-06,1.3105421705212527e-09
5.0702978314809875e-06,1.7096546428342469e-09
6.290713113823389e-06,1.1574489315758413e-09
5.560908659474642e-06,1.2438169559181516e-09
5.158054238292057e-06,1.268137992115248e-09
4.691870716789206e-06,1.179018699134419e-09
5.557895091300914e-06,1.1527969975513447e-09
5.618430947043842e-06,1.2423326919510496e-09
6.436361062023469e-06,1.2090417987095535e-09
7.71813352780833e-06,1.2412367606500707e-09
8.707935304261515e-06,1.1838739095376429e-09
5.958040564280939e-06,1.2901516041330882e-09
8.904180265232339e-06,1.5980545640232908e-09
1.425748131021762e-05,1.4889258324004397e-09
1.774944403073376e-05,1.4133498075770373e-09
1.6761433601206322e-05,1.4122950559150571e-09
1.4666518323783142e-05,1.7390588136983752e-09
1.2087528071621962e-05,1.2006107686570718e-09
1.0979124116589163e-05,1.1955010160302222e-09
9.496656977999867e-06,1.1221934918918378e-09
8.599376953616733e-06,1.1109541306809508e-09
8.702198148896251e-06,1.2752387836287472e-09
8.650564333759041e-06,1.0588406215082484e-09
8.600200539233313e-06,1.158781706060935e-09
4.81990870464159e-06,1.430423771492068e-09
2.6728493646338864e-06,1.2087576646628959e-09
3.315974840374739e-06,1.4840345091543074e-09
3.1285888537639074e-06,1.5379174121597082e-09
3.675628922759552e-06,1.7120500226728282e-09
4.446924811070903e-06,1.4128105180882136e-09
3.488456384150297e-06,1.5590088535930451e-09
2.2083593176426583e-06,1.1441115463383382e-09
2.2668805307371767e-06,1.1353162820673172e-09
1.8702305428284598e-06,1.068352078877664e-09
1.90789141794894e-06,1.186921623406466e-09
2.3965108351552834e-06,1.01524311873825e-09
1.4273413162977503e-06,9.26500812631448e-10
1.5878543324018653e-06,8.621472961946834e-10
1.5196375615737607e-06,8.983792705614644e-10
1.3760050883330206e-06,8.088399288127119e-10
1.5568045193535213e-06,8.886362847773017e-10
1.4689488589602931e-06,8.379572651484486e-10
1.5592836728289533e-06,8.714663414308305e-10
1.424253356822208e-06,8.425204819176485e-10
1.4619263383215517e-06,8.300612153815751e-10
1.3680702828704293e-06,7.792881855535286e-10
1.297163912202409e-06,8.002974084983415e-10
1.40112037655917e-06,8.603024740452649e-10
1.3459195011250574e-06,7.694256626127843e-10
1.2299688539589161e-06,7.079333945019419e-10
1.3286808798803521e-06,7.816142448261485e-10
1.3264648474900293e-06,8.017754046995164e-10
1.241587743701742e-06,7.488300649775747e-10
1.4567128122895187e-06,8.491947731669735e-10
1.5530534234711936e-06,9.08643502524864e-10
1.593219022700549e-06,9.528555274572949e-10
1.6170391783248316e-06,1.0372332546344115e-09
1.7240054023479114e-06,1.0716261417205875e-09
1.7517861109076595e-06,1.0955025526145682e-09
1.7702450439216238e-06,1.1218230320348883e-09
1.6952386406328809e-06,1.0396926928798148e-09
1.6816298210208861e-06,1.0330607383507193e-09
1.5852329211527941e-06,9.533629918195382e-10
1.6266225798617104e-06,9.055508225898235e-10
1.4071557758724298e-06,8.117168301301841e-10
