Sig,Std Dev
1.85040342241125e-06,1.1569142718747338e-09
1.922326073560379e-06,1.1552123981766238e-09
1.957454294303136e-06,1.1711013398651849e-09
1.9377982816243614e-06,1.160326826544159e-09
1.7485098873279746e-06,1.1045131093051856e-09
1.7086313895871468e-06,1.0421087271877443e-09
1.567615365811821e-06,9.93741122926064e-10
1.423008080162946e-06,8.781279673710914e-10
1.3084766756107229e-06,8.438227699625912e-10
1.2759703203858496e-06,7.758869341565854e-10
1.266963559626343e-06,7.335339219857025e-10
1.5146449037590832e-06,9.433274374242473e-10
1.7108629709301001e-06,1.061341619465015e-09
2.191137352962194e-06,1.3678082877650203e-09
2.399700771979881e-06,1.575379802480702e-09
2.6284797345289148e-06,1.5079667316526597e-09
2.9750365204106126e-06,1.774247505840272e-09
2.9480655459205025e-06,1.970814793062578e-09
3.129355846921889e-06,2.0098690031258782e-09
3.0180079220216547e-06,1.820692440406138e-09
2.5712186491626585e-06,1.503002107225191e-09
1.930837612610202e-06,1.240941197377102e-09
1.430351837643655e-06,8.287534714891436e-10
1.1892852528405187e-06,7.204969726377889e-10
1.3760778939521218e-06,7.838086254439511e-10
1.743462141320699e-06,1.0832489331006004e-09
2.038834442182617e-06,1.2883202174386819e-09
2.314709309187005e-06,1.4073231953955999e-09
2.3778824224221376e-06,1.439243604796746e-09
2.445175205463034e-06,1.5633735955112414e-09
2.413355423986937e-06,1.4954409141513534e-09
2.4027168496795016e-06,1.5503183178748353e-09
2.2423379957004153e-06,1.5424657456147459e-09
2.0561572394753023e-06,1.2446898655158777e-09
2.0071703132593647e-06,1.2141088038106727e-09
1.794681080189103e-06,1.0426729773750185e-09
1.5727718713935016e-06,9.808052473351498e-10
1.4831103352620901e-06,8.943405037180143e-10
1.395180058408402e-06,8.532205917496804e-10
1.3649117379479442e-06,8.439549325263469e-10
1.2084389327496745e-06,8.003455474471224e-10
1.1839957346007494e-06,7.342762791670493e-10
1.1155942845640526e-06,6.697069032742852e-10
1.0843276369468943e-06,6.78562306769651e-10
1.099949203792796e-06,6.392569051124161e-10
1.1156680228301664e-06,7.442328931925481e-10
1.2050729733761119e-06,7.601638257328244e-10
1.137737593553949e-06,6.560309285223105e-10
1.1521847116801625e-06,6.995156035131468e-10
1.1885906868691526e-06,7.294353573652546e-10
1.3037737857660943e-06,8.144192354843257e-10
1.2754050198727383e-06,8.174903901653348e-10
1.238489304975985e-06,7.681040854657109e-10
1.2136716239353427e-06,7.372634279059415e-10
1.151966483740441e-06,6.659381331336335e-10
1.0574747993142202e-06,6.547889549253609e-10
1.0959886484953115e-06,6.641398045033183e-10
1.0979144307432404e-06,6.760970030985922e-10
1.1091266449660756e-06,6.805838995685863e-10
1.1994177741700933e-06,7.384855326056468e-10
1.2266372103580484e-06,7.443382913797406e-10
1.3283882807406362e-06,7.77785771443011e-10
1.3115966151669694e-06,7.826485454509472e-10
1.3142122658147925e-06,8.321886273752117e-10
1.3704452942809278e-06,8.352835391463525e-10
1.3996860886374224e-06,8.495084794284783e-10
1.333378014103392e-06,8.922397617665816e-10
1.338820194558314e-06,8.661498146800789e-10
1.464935801256751e-06,8.926988219447893e-10
1.421018137127079e-06,9.151797100721834e-10
1.3733690463093373e-06,8.173664542039302e-10
1.4336128869491812e-06,8.42648919654993e-10
1.2810744996783227e-06,8.190102959351786e-10
1.1767999130012986e-06,7.246542988243704e-10
1.096509262898971e-06,6.716928945486452e-10
1.1614781729274492e-06,7.194259435920448e-10
1.1668451873208333e-06,6.701743450271188e-10
1.1456022021321012e-06,7.654355985680016e-10
1.2638078450489272e-06,8.063938153462666e-10
1.3974922120051689e-06,8.481542122891721e-10
1.4510254813502458e-06,9.84866033558884e-10
1.6342628286187027e-06,9.240252379559457e-10
1.5219321446672622e-06,9.099347832084002e-10
1.5006876881342652e-06,8.808048055146052e-10
1.434799717878461e-06,8.396450017225017e-10
1.3210249691266755e-06,8.450013300849881e-10
1.3000408691286922e-06,8.136012629484472e-10
1.1957685487227301e-06,7.474121596684024e-10
1.1988451211796158e-06,7.020415232523252e-10
1.1312415459922998e-06,6.766175615941422e-10
1.16062448419445e-06,7.412436458884403e-10
1.0501018811645654e-06,6.731269970954434e-10
1.0979375143740362e-06,6.631616755605583e-10
1.2503540137272825e-06,7.570991368419769e-10
1.1807427176949889e-06,7.323524983090535e-10
1.161798534696319e-06,7.799975348175279e-10
1.227702013501186e-06,7.575410212708129e-10
1.2784662525164352e-06,7.385434883651463e-10
1.2936823922134892e-06,7.882504225341309e-10
1.255259758923748e-06,7.365861928479225e-10
1.245488766065242e-06,7.419212631585567e-10
1.2199320418225783e-06,7.393998145557405e-10
1.269513873869817e-06,7.53760450966245e-10
1.1682096529688813e-06,7.476597885293335e-10
1.1324050640221214e-06,6.883876388511967e-10
1.1645701908802581e-06,7.089896300929198e-10
1.1509526065771398e-06,6.606815418840547e-10
1.201783628208532e-06,7.61234506995412e-10
1.2825701218462435e-06,7.740165870763808e-10
1.3739899777151722e-06,8.331185122635749e-10
1.5926138435910949e-06,1.0998231865601278e-09
1.717844842985999e-06,1.0722601034633318e-09
1.7549332652206593e-06,1.0432770220145896e-09
1.781592941257538e-06,1.125209138560583e-09
1.6459829335334197e-06,1.0592222407607876e-09
1.5234962866372504e-06,9.058981569676277e-10
1.4657612522074245e-06,8.821509174373006e-10
1.1639179170633425e-06,7.185883558311035e-10
1.1418412001917898e-06,7.050739669539517e-10
